construct_id	u2os_cas9b_t21_S3_trimmed53_len_filtered_counts	u2os_trex2b_t21_S5_trimmed53_len_filtered_counts	u2os_trex2a_t21_S4_trimmed53_len_filtered_counts	u2os_parent_t21_S1_trimmed53_len_filtered_counts	u2os_cas9a_t21_S2_trimmed53_len_filtered_counts
CHEK1_chr11_125496644__SRC_chr20_36022600	780	1057	2011	725	1238
CHEK1_chr11_125496644__TOP1_chr20_39690055	52	0	452	680	162
CHEK1_chr11_125496644__TOP1_chr20_39690109	394	47	545	116	289
CHEK1_chr11_125496644__TSC1_chr9_135796748	439	67	118	295	697
CHEK1_chr11_125496644__TSC1_chr9_135796796	238	5628	2	754	640
CHEK1_chr11_125496644__TYMS_chr18_657730	2289	761	2447	1315	951
CHEK1_chr11_125496644__TYMS_chr18_659665	1499	938	1216	560	2017
CHEK1_chr11_125496644__VEGFA_chr6_43738425	987	442	515	1002	753
CHEK1_chr11_125496644__VEGFA_chr6_43742108	305	429	1916	686	183
CHEK1_chr11_125496644__VHL_chr3_10183518	823	319	92	490	974
CHEK1_chr11_125496644__WEE1_chr11_9595845	425	1	226	294	272
CHEK1_chr11_125496687__ABL1_chr9_133589790	98	0	0	24	0
CHEK1_chr11_125496687__ABL1_chr9_133738356	513	17	0	300	0
CHEK1_chr11_125496687__ADA_chr20_43257696	120	0	0	33	1
CHEK1_chr11_125496687__ADA_chr20_43280245	24	1	0	308	168
CHEK1_chr11_125496687__AKT1_chr14_105239609	0	0	0	117	86
CHEK1_chr11_125496687__AKT1_chr14_105258968	95	0	0	280	26
CHEK1_chr11_125496687__ALK_chr2_29541171	0	0	0	38	0
CHEK1_chr11_125496687__ALK_chr2_30143522	213	0	324	456	18
CHEK1_chr11_125496687__APC_chr5_112043408	297	0	206	309	1
CHEK1_chr11_125496687__APC_chr5_112102023	122	0	1	109	1
CHEK1_chr11_125496687__ARID1A_chr1_27022876	0	0	0	273	0
CHEK1_chr11_125496687__ARID1A_chr1_27056288	2	33	1098	483	0
CHEK1_chr11_125496687__ARID2_chr12_46123614	50	0	0	119	36
CHEK1_chr11_125496687__ARID2_chr12_46205318	0	0	0	78	0
CHEK1_chr11_125496687__ATM_chr11_108098390	470	0	2	261	188
CHEK1_chr11_125496687__ATM_chr11_108098402	1	0	1	53	10
CHEK1_chr11_125496687__BCL2_chr18_60795945	0	0	1	178	0
CHEK1_chr11_125496687__BCL2_chr18_60795960	124	0	0	147	98
CHEK1_chr11_125496687__BCL2_chr18_60985877	40	0	0	256	0
CHEK1_chr11_125496687__BRAF_chr7_140508787	25	0	2	301	1
CHEK1_chr11_125496687__BRCA1_chr17_41256141	198	1	0	191	0
CHEK1_chr11_125496687__BRCA1_chr17_41267735	0	7	0	25	304
CHEK1_chr11_125496687__BRCA1_chr17_41276018	42	0	120	667	0
CHEK1_chr11_125496687__BRCA2_chr13_32914228	22	0	42	240	14
CHEK1_chr11_125496687__BRD4_chr19_15376361	12	0	0	176	2
CHEK1_chr11_125496687__BRD4_chr19_15376403	3	0	0	97	0
CHEK1_chr11_125496687__BRD4_chr19_15383894	0	0	0	134	0
CHEK1_chr11_125496687__CASP8_chr2_202131404	29	0	1	293	0
CHEK1_chr11_125496687__CASP8_chr2_202134297	311	25	1	594	45
CHEK1_chr11_125496687__CDH1_chr16_68771300	123	0	146	324	0
CHEK1_chr11_125496687__CDH1_chr16_68772250	29	0	0	187	0
CHEK1_chr11_125496687__CDK4_chr12_58143253	0	0	0	291	331
CHEK1_chr11_125496687__CDK4_chr12_58145497	10	0	565	284	92
CHEK1_chr11_125496687__CDK6_chr7_92244474	12	0	1	226	0
CHEK1_chr11_125496687__CDK6_chr7_92252365	4	0	1413	183	0
CHEK1_chr11_125496687__CDK9_chr9_130548409	2	206	0	800	0
CHEK1_chr11_125496687__CDK9_chr9_130550235	47	0	2	104	19
CHEK1_chr11_125496687__CDKN1B_chr12_12870777	1	0	1425	357	0
CHEK1_chr11_125496687__CDKN1B_chr12_12871196	200	1	0	793	221
CHEK1_chr11_125496687__CDKN2A_chr9_21968726	1	78	1	904	96
CHEK1_chr11_125496687__CDKN2A_chr9_21971100	68	0	0	693	0
CHEK1_chr11_125496687__CHEK2_chr22_29130694	1	0	2	395	95
CHEK1_chr11_125496687__DHFR_chr5_79950216	1	1	60	78	0
CHEK1_chr11_125496687__EGFR_chr7_55086962	123	0	0	20	1
CHEK1_chr11_125496687__EGFR_chr7_55209986	174	310	1	197	109
CHEK1_chr11_125496687__FGFR2_chr10_123298118	2	0	0	416	4
CHEK1_chr11_125496687__FGFR2_chr10_123298215	0	0	1	278	0
CHEK1_chr11_125496687__FLT3_chr13_28636172	89	0	67	134	21
CHEK1_chr11_125496687__GATA3_chr10_8097612	0	0	1	319	131
CHEK1_chr11_125496687__GATA3_chr10_8097722	27	0	17	510	308
CHEK1_chr11_125496687__HDAC1_chr1_32792601	2	0	0	376	2
CHEK1_chr11_125496687__HDAC6_chrX_48661385	300	1	2	467	0
CHEK1_chr11_125496687__HSP90AA1_chr14_102551760	0	0	0	89	0
CHEK1_chr11_125496687__HSP90AA1_chr14_102605736	55	0	0	922	103
CHEK1_chr11_125496687__IGF1R_chr15_99192824	3	0	495	898	477
CHEK1_chr11_125496687__JAK2_chr9_5021970	0	0	0	181	0
CHEK1_chr11_125496687__JAK2_chr9_5050816	0	0	209	3	0
CHEK1_chr11_125496687__KDM5C_chrX_53241022	33	0	1	14	32
CHEK1_chr11_125496687__KDM6A_chrX_44732838	0	0	1	427	1
CHEK1_chr11_125496687__KDM6A_chrX_44820616	477	7	0	565	43
CHEK1_chr11_125496687__KIT_chr4_55524164	115	0	10	596	18
CHEK1_chr11_125496687__KIT_chr4_55524176	18	0	272	314	191
CHEK1_chr11_125496687__KMT2D_chr12_49448161	0	1	0	35	0
CHEK1_chr11_125496687__MAP2K1_chr15_66679721	116	0	0	1057	149
CHEK1_chr11_125496687__MAP2K1_chr15_66679756	0	3	253	333	1
CHEK1_chr11_125496687__MAP3K1_chr5_56111382	422	92	0	415	0
CHEK1_chr11_125496687__MAP3K1_chr5_56152485	4	26	35	379	36
CHEK1_chr11_125496687__MET_chr7_116339123	0	0	0	7	1
CHEK1_chr11_125496687__MET_chr7_116340188	11	0	1	284	115
CHEK1_chr11_125496687__MLH1_chr3_37045912	0	0	0	84	21
CHEK1_chr11_125496687__MTOR_chr1_11319459	1	0	1	61	8
CHEK1_chr11_125496687__NonTargetingControlGuideForHuman0362	13	0	0	45	102
CHEK1_chr11_125496687__NonTargetingControlGuideForHuman0412	66	0	0	10	0
CHEK1_chr11_125496687__PARP1_chr1_226578249	14	3058	0	304	138
CHEK1_chr11_125496687__PARP1_chr1_226595581	0	0	0	261	0
CHEK1_chr11_125496687__PBRM1_chr3_52696257	0	0	1	31	0
CHEK1_chr11_125496687__PBRM1_chr3_52702516	2	0	1	894	0
CHEK1_chr11_125496687__PBRM1_chr3_52713723	2	639	0	261	0
CHEK1_chr11_125496687__PIK3CA_chr3_178916614	1	0	1	86	0
CHEK1_chr11_125496687__PIK3CA_chr3_178919070	1	0	0	133	0
CHEK1_chr11_125496687__PIK3CA_chr3_178919167	0	0	0	552	0
CHEK1_chr11_125496687__PIK3R1_chr5_67576421	0	0	0	99	37
CHEK1_chr11_125496687__PRKDC_chr8_48686398	20	0	1	74	0
CHEK1_chr11_125496687__PRKDC_chr8_48686781	76	0	0	86	86
CHEK1_chr11_125496687__RB1_chr13_48934148	1	0	1	22	0
CHEK1_chr11_125496687__ROR1_chr1_64240089	1	0	0	82	35
CHEK1_chr11_125496687__ROR1_chr1_64240143	14	0	57	614	28
CHEK1_chr11_125496687__RPS6KB1_chr17_57987922	1	0	0	510	0
CHEK1_chr11_125496687__RRM2_chr2_10262728	0	0	0	129	0
CHEK1_chr11_125496687__RRM2_chr2_10262940	245	0	1	542	57
CHEK1_chr11_125496687__RRM2_chr2_10262957	67	77	267	846	43
CHEK1_chr11_125496687__SETD2_chr3_47142951	2	0	1025	495	425
CHEK1_chr11_125496687__SETD2_chr3_47142972	19	0	0	39	148
CHEK1_chr11_125496687__SMAD4_chr18_48573460	28	0	0	383	0
CHEK1_chr11_125496687__SMAD4_chr18_48575673	44	1	113	396	308
CHEK1_chr11_125496687__SMARCA4_chr19_11094819	97	0	383	618	25
CHEK1_chr11_125496687__SMARCB1_chr22_24129339	0	0	2	14	47
CHEK1_chr11_125496687__SMARCB1_chr22_24133993	0	0	0	159	127
CHEK1_chr11_125496687__SMO_chr7_128845081	0	1	0	1	0
CHEK1_chr11_125496687__SMO_chr7_128845117	1	0	0	107	0
CHEK1_chr11_125496687__SRC_chr20_36012562	0	0	0	55	124
CHEK1_chr11_125496687__SRC_chr20_36014563	1	0	0	356	2
CHEK1_chr11_125496687__SRC_chr20_36022600	1	0	110	354	0
CHEK1_chr11_125496687__TOP1_chr20_39690055	0	0	1	546	199
CHEK1_chr11_125496687__TP53_chr17_7578373	0	0	2	152	1
CHEK1_chr11_125496687__TP53_chr17_7579881	0	0	30	104	86
CHEK1_chr11_125496687__TYMS_chr18_659656	0	1	1	148	144
CHEK1_chr11_125496687__TYMS_chr18_659665	0	1	1	34	3
CHEK1_chr11_125496687__VEGFA_chr6_43742077	121	0	0	388	1
CHEK1_chr11_125496687__VEGFA_chr6_43742108	2	0	51	151	0
CHEK1_chr11_125496687__WEE1_chr11_9595462	2	0	1	608	1
CHEK1_chr11_125499147__ABL1_chr9_133738283	91	479	0	443	85
CHEK1_chr11_125499147__ALK_chr2_30143522	30	2	139	616	1242
CHEK1_chr11_125499147__APC_chr5_112102933	146	0	1	558	1
CHEK1_chr11_125499147__ARID1A_chr1_27056288	7	1	56	200	0
CHEK1_chr11_125499147__ARID2_chr12_46205318	367	1	177	792	228
CHEK1_chr11_125499147__ATM_chr11_108098390	1	1	1	350	0
CHEK1_chr11_125499147__ATM_chr11_108098402	2	0	1	199	204
CHEK1_chr11_125499147__BCL2_chr18_60985877	19	305	0	251	98
CHEK1_chr11_125499147__BRAF_chr7_140508787	134	0	3	891	250
CHEK1_chr11_125499147__BRCA1_chr17_41256141	523	0	230	829	1344
CHEK1_chr11_125499147__BRCA1_chr17_41267735	29	6	0	526	132
CHEK1_chr11_125499147__BRCA2_chr13_32914228	22	0	1	310	174
CHEK1_chr11_125499147__BRD4_chr19_15376361	18	0	0	556	1
CHEK1_chr11_125499147__BTK_chrX_100626613	2	6	609	375	32
CHEK1_chr11_125499147__BTK_chrX_100629565	577	56	1	737	21
CHEK1_chr11_125499147__BTK_chrX_100645534	251	0	0	494	219
CHEK1_chr11_125499147__CASP8_chr2_202123033	813	231	2	1102	897
CHEK1_chr11_125499147__CASP8_chr2_202134297	174	2	81	465	262
CHEK1_chr11_125499147__CDH1_chr16_68772250	93	1791	1112	958	167
CHEK1_chr11_125499147__CDK6_chr7_92252365	276	0	991	442	204
CHEK1_chr11_125499147__CDK9_chr9_130548409	356	0	181	993	762
CHEK1_chr11_125499147__CDK9_chr9_130548998	37	0	1	75	107
CHEK1_chr11_125499147__CDK9_chr9_130550235	23	118	0	793	60
CHEK1_chr11_125499147__CDKN1B_chr12_12870777	25	38	697	313	268
CHEK1_chr11_125499147__CDKN1B_chr12_12870931	0	2	90	153	0
CHEK1_chr11_125499147__CDKN2A_chr9_21968726	209	0	101	287	5
CHEK1_chr11_125499147__CHEK2_chr22_29085137	0	0	216	478	1
CHEK1_chr11_125499147__CHEK2_chr22_29090029	235	68	0	538	1
CHEK1_chr11_125499147__CHEK2_chr22_29130694	104	158	18	595	181
CHEK1_chr11_125499147__DHFR_chr5_79950216	300	2	330	364	215
CHEK1_chr11_125499147__EGFR_chr7_55209986	685	2	0	1025	49
CHEK1_chr11_125499147__ERBB2_chr17_37868221	114	158	509	948	120
CHEK1_chr11_125499147__ERBB2_chr17_37868292	272	1	0	134	89
CHEK1_chr11_125499147__FGFR2_chr10_123298118	3	1973	4	461	1
CHEK1_chr11_125499147__FGFR2_chr10_123353328	125	2	197	589	327
CHEK1_chr11_125499147__FGFR3_chr4_1795655	33	89	165	280	175
CHEK1_chr11_125499147__FGFR3_chr4_1795735	75	4	729	1303	96
CHEK1_chr11_125499147__FGFR3_chr4_1795736	276	11	16	242	45
CHEK1_chr11_125499147__FLT3_chr13_28636131	361	0	0	377	2
CHEK1_chr11_125499147__FLT3_chr13_28674643	25	222	2768	985	760
CHEK1_chr11_125499147__GATA3_chr10_8097612	192	3	3	391	85
CHEK1_chr11_125499147__HDAC2_chr6_114266539	1	0	0	438	285
CHEK1_chr11_125499147__HDAC2_chr6_114292056	951	92	0	281	144
CHEK1_chr11_125499147__HDAC6_chrX_48661089	191	2	1	216	83
CHEK1_chr11_125499147__HDAC6_chrX_48661385	3	2914	2	633	181
CHEK1_chr11_125499147__HDAC6_chrX_48674389	9	631	6082	234	86
CHEK1_chr11_125499147__HSP90AA1_chr14_102552141	1	0	1	882	229
CHEK1_chr11_125499147__HSP90AA1_chr14_102605736	4	1	649	720	81
CHEK1_chr11_125499147__IGF1R_chr15_99192824	783	1	1090	1093	139
CHEK1_chr11_125499147__IGF1R_chr15_99434664	280	2	44	918	58
CHEK1_chr11_125499147__IGF1R_chr15_99434807	1	139	35	848	60
CHEK1_chr11_125499147__KDM5C_chrX_53254068	1485	2	1	860	370
CHEK1_chr11_125499147__KDM6A_chrX_44820616	624	523	1	569	180
CHEK1_chr11_125499147__KIT_chr4_55524164	1142	2	1247	1085	210
CHEK1_chr11_125499147__KMT2D_chr12_49448168	978	24	832	1352	537
CHEK1_chr11_125499147__KMT2D_chr12_49448468	119	3	312	243	775
CHEK1_chr11_125499147__MAP2K1_chr15_66679728	528	0	3	455	1
CHEK1_chr11_125499147__MAP3K1_chr5_56111382	0	0	1	500	21
CHEK1_chr11_125499147__MAP3K1_chr5_56152466	62	13	2	679	524
CHEK1_chr11_125499147__MAP3K1_chr5_56152485	71	2	201	823	154
CHEK1_chr11_125499147__MET_chr7_116339123	277	0	1	221	194
CHEK1_chr11_125499147__MET_chr7_116340207	85	9	115	313	133
CHEK1_chr11_125499147__MLH1_chr3_37035029	201	89	309	164	3
CHEK1_chr11_125499147__MLH1_chr3_37045912	84	0	1	432	0
CHEK1_chr11_125499147__NF1_chr17_29422308	75	2	16	650	151
CHEK1_chr11_125499147__NF1_chr17_29483039	336	3	410	272	55
CHEK1_chr11_125499147__NonTargetingControlGuideForHuman0352	226	2	1399	424	22
CHEK1_chr11_125499147__PARP1_chr1_226595581	137	91	21	1018	12
CHEK1_chr11_125499147__PBRM1_chr3_52696257	77	4	0	534	39
CHEK1_chr11_125499147__PBRM1_chr3_52713723	326	0	0	50	19
CHEK1_chr11_125499147__PDGFRA_chr4_55129914	603	1	0	504	50
CHEK1_chr11_125499147__PIK3CA_chr3_178916614	98	0	2	253	436
CHEK1_chr11_125499147__PIK3R1_chr5_67576410	1	0	48	541	0
CHEK1_chr11_125499147__PIK3R1_chr5_67576421	126	0	4	528	58
CHEK1_chr11_125499147__PRKDC_chr8_48686398	346	45	319	348	35
CHEK1_chr11_125499147__PRKDC_chr8_48872683	310	4	10	1021	119
CHEK1_chr11_125499147__PTEN_chr10_89653786	179	0	1	622	111
CHEK1_chr11_125499147__PTEN_chr10_89685297	222	0	68	875	210
CHEK1_chr11_125499147__PTEN_chr10_89711868	140	167	1	496	0
CHEK1_chr11_125499147__RB1_chr13_48878054	108	0	116	485	0
CHEK1_chr11_125499147__RB1_chr13_48934148	875	1	403	503	616
CHEK1_chr11_125499147__RPS6KB1_chr17_57970538	232	1	1	433	147
CHEK1_chr11_125499147__RRM2_chr2_10262728	19	0	1	41	0
CHEK1_chr11_125499147__RUNX1_chr21_36252902	374	1	3112	605	39
CHEK1_chr11_125499147__SETD2_chr3_47142951	228	1	80	301	49
CHEK1_chr11_125499147__SETD2_chr3_47205411	129	979	3	303	284
CHEK1_chr11_125499147__SMAD4_chr18_48573460	0	112	0	62	100
CHEK1_chr11_125499147__SMAD4_chr18_48575673	318	2	167	295	106
CHEK1_chr11_125499147__SMAD4_chr18_48586241	23	0	138	104	1
CHEK1_chr11_125499147__SMARCB1_chr22_24129339	191	1	302	299	222
CHEK1_chr11_125499147__SMO_chr7_128828974	160	15	280	493	64
CHEK1_chr11_125499147__SMO_chr7_128845081	467	2	1	237	32
CHEK1_chr11_125499147__SRC_chr20_36022600	332	1	884	719	953
CHEK1_chr11_125499147__TOP1_chr20_39657693	100	1725	117	1721	535
CHEK1_chr11_125499147__TOP1_chr20_39690055	262	87	0	229	127
CHEK1_chr11_125499147__TP53_chr17_7577537	321	179	863	602	56
CHEK1_chr11_125499147__TP53_chr17_7579881	492	698	0	748	529
CHEK1_chr11_125499147__TSC1_chr9_135796748	250	473	518	1395	744
CHEK1_chr11_125499147__TYMS_chr18_657730	148	2	160	1416	29
CHEK1_chr11_125499147__TYMS_chr18_659656	213	54	1	642	69
CHEK1_chr11_125499147__TYMS_chr18_659665	606	0	187	556	289
CHEK1_chr11_125499147__VEGFA_chr6_43738425	373	2	420	940	5
CHEK1_chr11_125499147__VEGFA_chr6_43742108	361	0	0	101	29
CHEK1_chr11_125499147__VHL_chr3_10183518	23	53	1	435	2
CHEK1_chr11_125499147__WEE1_chr11_9595462	406	1	221	717	904
CHEK2_chr22_29085137__ABL1_chr9_133589790	1537	3	1293	647	701
CHEK2_chr22_29085137__ABL1_chr9_133738356	135	719	4624	910	232
CHEK2_chr22_29085137__ADA_chr20_43257696	346	579	646	497	266
CHEK2_chr22_29085137__ADA_chr20_43257769	955	973	813	792	1140
CHEK2_chr22_29085137__ADA_chr20_43280245	1461	615	220	765	243
CHEK2_chr22_29085137__AKT1_chr14_105239686	1240	595	38	59	664
CHEK2_chr22_29085137__ALK_chr2_29541171	326	207	235	406	146
CHEK2_chr22_29085137__ALK_chr2_30143522	245	83	4	360	77
CHEK2_chr22_29085137__APC_chr5_112102023	1	34	2	106	68
CHEK2_chr22_29085137__APC_chr5_112102933	187	107	439	760	356
CHEK2_chr22_29085137__ARID1A_chr1_27022876	152	417	82	392	104
CHEK2_chr22_29085137__ARID1A_chr1_27056286	126	158	682	353	356
CHEK2_chr22_29085137__ARID1A_chr1_27056288	1494	120	3213	1052	226
CHEK2_chr22_29085137__ATM_chr11_108098390	542	132	529	209	314
CHEK2_chr22_29085137__ATM_chr11_108098402	320	95	759	428	9
CHEK2_chr22_29085137__BCL2_chr18_60795945	269	4963	3716	162	393
CHEK2_chr22_29085137__BCL2_chr18_60795960	255	1346	237	376	236
CHEK2_chr22_29085137__BCL2_chr18_60985877	343	41	239	181	241
CHEK2_chr22_29085137__BRAF_chr7_140508787	942	118	1003	1298	103
CHEK2_chr22_29085137__BRAF_chr7_140624501	362	78	1201	292	150
CHEK2_chr22_29085137__BRCA1_chr17_41267735	1	0	0	8	0
CHEK2_chr22_29085137__BRCA2_chr13_32890586	199	62	238	144	82
CHEK2_chr22_29085137__BRCA2_chr13_32914228	1369	3	60	837	564
CHEK2_chr22_29085137__BRD4_chr19_15376361	196	20	158	505	42
CHEK2_chr22_29085137__BRD4_chr19_15376403	2075	651	526	611	620
CHEK2_chr22_29085137__BRD4_chr19_15383894	368	404	1070	513	256
CHEK2_chr22_29085137__BTK_chrX_100626613	219	655	1	199	860
CHEK2_chr22_29085137__BTK_chrX_100645534	276	4006	1148	221	478
CHEK2_chr22_29085137__CASP8_chr2_202123033	860	410	1033	631	437
CHEK2_chr22_29085137__CASP8_chr2_202131404	204	2876	3552	448	315
CHEK2_chr22_29085137__CDH1_chr16_68772250	14	7	7	361	341
CHEK2_chr22_29085137__CDH1_chr16_68772255	879	114	257	235	338
CHEK2_chr22_29085137__CDK4_chr12_58143253	2	2	0	69	79
CHEK2_chr22_29085137__CDK6_chr7_92244474	268	297	617	506	431
CHEK2_chr22_29085137__CDK6_chr7_92252365	427	0	803	511	748
CHEK2_chr22_29085137__CDK9_chr9_130548998	64	0	440	261	0
CHEK2_chr22_29085137__CDKN1B_chr12_12870777	187	5	368	377	715
CHEK2_chr22_29085137__CDKN2A_chr9_21968726	759	208	208	299	238
CHEK2_chr22_29085137__CDKN2A_chr9_21971100	605	1088	3487	1436	818
CHEK2_chr22_29085137__CHEK1_chr11_125496687	819	2	1070	100	372
CHEK2_chr22_29085137__DHFR_chr5_79950216	1517	27	592	1274	672
CHEK2_chr22_29085137__DHFR_chr5_79950217	541	2437	262	1287	590
CHEK2_chr22_29085137__EGFR_chr7_55086962	327	2	2	53	507
CHEK2_chr22_29085137__EGFR_chr7_55209992	221	133	2684	465	357
CHEK2_chr22_29085137__ERBB2_chr17_37868292	170	4	3	184	239
CHEK2_chr22_29085137__FGFR2_chr10_123353328	711	102	148	632	395
CHEK2_chr22_29085137__FGFR3_chr4_1795735	1742	1417	2661	1411	619
CHEK2_chr22_29085137__FGFR3_chr4_1795736	446	447	1056	592	215
CHEK2_chr22_29085137__FLT3_chr13_28674643	594	1170	5	90	553
CHEK2_chr22_29085137__FNTA_chr8_42914260	182	287	826	1244	400
CHEK2_chr22_29085137__FNTA_chr8_42924781	201	165	40	5	351
CHEK2_chr22_29085137__GATA3_chr10_8097722	87	2278	81	337	979
CHEK2_chr22_29085137__GATA3_chr10_8097790	259	150	831	502	1985
CHEK2_chr22_29085137__HDAC1_chr1_32792601	702	2661	577	889	809
CHEK2_chr22_29085137__HSP90AA1_chr14_102551760	161	533	259	208	167
CHEK2_chr22_29085137__HSP90AA1_chr14_102552141	572	36	334	338	418
CHEK2_chr22_29085137__HSP90AA1_chr14_102605736	276	941	11561	459	1588
CHEK2_chr22_29085137__IGF1R_chr15_99192824	1508	51	1149	686	438
CHEK2_chr22_29085137__JAK2_chr9_5021970	7	97	1	27	15
CHEK2_chr22_29085137__KDM5C_chrX_53241022	148	2	144	362	324
CHEK2_chr22_29085137__KDM5C_chrX_53254068	226	6523	7012	499	927
CHEK2_chr22_29085137__KDM6A_chrX_44732838	361	675	34	728	343
CHEK2_chr22_29085137__KDM6A_chrX_44820615	139	783	1254	555	580
CHEK2_chr22_29085137__KMT2D_chr12_49448161	133	884	220	327	336
CHEK2_chr22_29085137__KMT2D_chr12_49448468	272	19	138	202	230
CHEK2_chr22_29085137__MAP2K1_chr15_66679721	1227	4	1218	390	598
CHEK2_chr22_29085137__MAP2K1_chr15_66679728	642	230	136	411	530
CHEK2_chr22_29085137__MET_chr7_116340188	386	0	709	249	1057
CHEK2_chr22_29085137__MLH1_chr3_37045912	690	527	191	791	353
CHEK2_chr22_29085137__MTOR_chr1_11317010	586	73	262	867	395
CHEK2_chr22_29085137__MTOR_chr1_11317149	113	322	25	322	252
CHEK2_chr22_29085137__MTOR_chr1_11319459	1542	1172	1	171	408
CHEK2_chr22_29085137__NF1_chr17_29422308	439	103	431	1080	168
CHEK2_chr22_29085137__NonTargetingControlGuideForHuman0352	1657	842	2269	997	642
CHEK2_chr22_29085137__PARP1_chr1_226578249	703	643	2469	1272	647
CHEK2_chr22_29085137__PBRM1_chr3_52696257	175	1895	24	104	429
CHEK2_chr22_29085137__PBRM1_chr3_52702516	1318	883	204	698	283
CHEK2_chr22_29085137__PDGFRA_chr4_55124932	328	5	973	360	296
CHEK2_chr22_29085137__PDGFRA_chr4_55124963	543	838	543	778	617
CHEK2_chr22_29085137__PDGFRA_chr4_55129914	611	2	38	212	505
CHEK2_chr22_29085137__PIK3R1_chr5_67576410	476	104	849	39	278
CHEK2_chr22_29085137__PIK3R1_chr5_67576421	586	5235	270	1315	719
CHEK2_chr22_29085137__PRKDC_chr8_48686398	338	252	1910	1019	289
CHEK2_chr22_29085137__PRKDC_chr8_48872683	171	90	24	723	605
CHEK2_chr22_29085137__PTEN_chr10_89653786	402	58	12	145	145
CHEK2_chr22_29085137__PTEN_chr10_89711868	2	11	46	32	106
CHEK2_chr22_29085137__RB1_chr13_48936969	1200	221	511	367	110
CHEK2_chr22_29085137__ROR1_chr1_64240089	909	7	607	405	63
CHEK2_chr22_29085137__RPS6KB1_chr17_57970538	130	3	385	646	92
CHEK2_chr22_29085137__RPS6KB1_chr17_57987922	829	235	697	481	1065
CHEK2_chr22_29085137__RPS6KB1_chr17_57987949	291	1420	3007	1046	301
CHEK2_chr22_29085137__RRM2_chr2_10262728	226	183	412	435	71
CHEK2_chr22_29085137__RRM2_chr2_10262940	1349	1	339	288	726
CHEK2_chr22_29085137__RRM2_chr2_10262957	1860	2	103	436	523
CHEK2_chr22_29085137__RUNX1_chr21_36252902	1002	2438	21	361	364
CHEK2_chr22_29085137__SETD2_chr3_47142951	241	130	378	297	240
CHEK2_chr22_29085137__SMAD4_chr18_48575673	1022	63	1242	410	216
CHEK2_chr22_29085137__SMARCA4_chr19_11095011	820	2	189	393	517
CHEK2_chr22_29085137__SMARCB1_chr22_24133993	103	2	822	696	51
CHEK2_chr22_29085137__SMO_chr7_128828974	460	3538	112	355	436
CHEK2_chr22_29085137__SMO_chr7_128845117	5	584	110	339	108
CHEK2_chr22_29085137__SRC_chr20_36012562	480	7	431	294	247
CHEK2_chr22_29085137__SRC_chr20_36022600	1186	94	681	1026	1410
CHEK2_chr22_29085137__TOP1_chr20_39690055	2	3	0	296	35
CHEK2_chr22_29085137__TOP1_chr20_39690109	452	218	26	143	599
CHEK2_chr22_29085137__TSC1_chr9_135796748	588	140	4019	707	702
CHEK2_chr22_29085137__TSC1_chr9_135796796	407	494	5578	484	956
CHEK2_chr22_29085137__TYMS_chr18_657730	1842	3403	610	850	1321
CHEK2_chr22_29085137__TYMS_chr18_659665	30	3	372	25	120
CHEK2_chr22_29085137__VHL_chr3_10183518	1320	257	452	33	421
CHEK2_chr22_29085137__WEE1_chr11_9595845	2	3	40	202	141
CHEK2_chr22_29090029__ABL1_chr9_133738283	188	31	675	686	523
CHEK2_chr22_29090029__ABL1_chr9_133738356	159	106	8	402	267
CHEK2_chr22_29090029__ADA_chr20_43257769	785	1106	427	420	205
CHEK2_chr22_29090029__AKT1_chr14_105239609	697	7	588	552	946
CHEK2_chr22_29090029__AKT1_chr14_105239686	1211	1664	1314	280	385
CHEK2_chr22_29090029__ALK_chr2_29541172	59	17	161	453	1030
CHEK2_chr22_29090029__ALK_chr2_30143522	168	81	1117	996	1183
CHEK2_chr22_29090029__APC_chr5_112102933	721	342	2	448	2
CHEK2_chr22_29090029__ARID2_chr12_46205318	908	138	4734	526	1339
CHEK2_chr22_29090029__ATM_chr11_108098350	189	0	0	119	256
CHEK2_chr22_29090029__BCL2_chr18_60985877	1044	570	28	118	53
CHEK2_chr22_29090029__BRAF_chr7_140508787	789	5	2084	1703	579
CHEK2_chr22_29090029__BRAF_chr7_140624501	107	0	3	5	1
CHEK2_chr22_29090029__BRCA2_chr13_32912006	890	3	3	424	1086
CHEK2_chr22_29090029__BRD4_chr19_15383894	412	62	199	350	321
CHEK2_chr22_29090029__BTK_chrX_100626613	2	30	3	241	33
CHEK2_chr22_29090029__BTK_chrX_100629565	339	3	7	341	13
CHEK2_chr22_29090029__BTK_chrX_100645534	761	140	1580	467	281
CHEK2_chr22_29090029__CASP8_chr2_202123033	147	398	112	449	1047
CHEK2_chr22_29090029__CASP8_chr2_202131404	699	104	5286	255	256
CHEK2_chr22_29090029__CASP8_chr2_202134297	507	37	1096	421	1483
CHEK2_chr22_29090029__CDH1_chr16_68771300	315	593	120	233	177
CHEK2_chr22_29090029__CDK4_chr12_58143253	641	324	687	519	912
CHEK2_chr22_29090029__CDK4_chr12_58144705	2276	544	1475	918	1543
CHEK2_chr22_29090029__CDK6_chr7_92244474	443	200	323	155	426
CHEK2_chr22_29090029__CDK6_chr7_92462628	145	438	411	727	125
CHEK2_chr22_29090029__CDK9_chr9_130548998	260	1	0	363	91
CHEK2_chr22_29090029__CDK9_chr9_130550235	14	108	2140	308	115
