construct_id	ln229cas9At28_S2_trimmed53_len_filtered_counts	ln229parentt28_S1_trimmed53_len_filtered_counts	ln229cas9trex2Bt28_S5_trimmed53_len_filtered_counts	Undetermined_S0_trimmed53_len_filtered_counts	ln229cas9trex2At28_S4_trimmed53_len_filtered_counts	ln229cas9Bt28_S3_trimmed53_len_filtered_counts
ARID1A_chr1_27056288__CDKN1B_chr12_12870931	17	59	1	6	132	141
ARID1A_chr1_27056288__CDKN2A_chr9_21994327	49	138	28	21	249	49
ARID1A_chr1_27056288__CHEK2_chr22_29090029	268	256	111	17	74	81
ARID1A_chr1_27056288__DHFR_chr5_79949819	2	172	52	20	541	112
ARID1A_chr1_27056288__DHFR_chr5_79950216	286	440	762	56	42	924
ARID1A_chr1_27056288__DHFR_chr5_79950217	463	312	210	33	479	590
ARID1A_chr1_27056288__EGFR_chr7_55209986	1005	844	185	52	271	199
ARID1A_chr1_27056288__EGFR_chr7_55209992	551	236	76	34	76	272
ARID1A_chr1_27056288__ERBB2_chr17_37868221	397	286	31	24	137	322
ARID1A_chr1_27056288__FGFR2_chr10_123298118	855	783	802	88	263	1124
ARID1A_chr1_27056288__FGFR2_chr10_123298215	7	106	2	4	2	4
ARID1A_chr1_27056288__FGFR2_chr10_123353328	251	439	192	40	144	298
ARID1A_chr1_27056288__FGFR3_chr4_1795735	1597	346	950	87	227	862
ARID1A_chr1_27056288__FGFR3_chr4_1795736	108	247	404	50	1180	360
ARID1A_chr1_27056288__FLT3_chr13_28636172	770	178	195	41	22	291
ARID1A_chr1_27056288__FLT3_chr13_28674643	1042	496	145	60	285	192
ARID1A_chr1_27056288__FNTA_chr8_42911471	3	267	343	28	309	181
ARID1A_chr1_27056288__FNTA_chr8_42914260	543	114	260	27	1	327
ARID1A_chr1_27056288__FNTA_chr8_42924781	7	836	4	50	3	326
ARID1A_chr1_27056288__GATA3_chr10_8097612	1128	182	2480	93	28	271
ARID1A_chr1_27056288__GATA3_chr10_8097722	655	328	162	37	217	41
ARID1A_chr1_27056288__HDAC1_chr1_32757816	69	1022	363	78	384	290
ARID1A_chr1_27056288__HDAC1_chr1_32792637	795	732	460	95	675	576
ARID1A_chr1_27056288__HDAC2_chr6_114292056	17	123	6	36	879	562
ARID1A_chr1_27056288__HDAC6_chrX_48661385	442	657	337	69	326	803
ARID1A_chr1_27056288__HDAC6_chrX_48674389	4	429	266	44	1	89
ARID1A_chr1_27056288__HSP90AA1_chr14_102552141	171	142	106	35	623	65
ARID1A_chr1_27056288__IGF1R_chr15_99192824	93	230	176	36	94	695
ARID1A_chr1_27056288__IGF1R_chr15_99434807	526	446	191	40	207	161
ARID1A_chr1_27056288__JAK2_chr9_5050721	283	442	99	26	338	10
ARID1A_chr1_27056288__JAK2_chr9_5050816	58	211	1276	53	5	1129
ARID1A_chr1_27056288__KDM5C_chrX_53241022	268	872	169	52	135	194
ARID1A_chr1_27056288__KDM6A_chrX_44732838	698	325	307	54	247	780
ARID1A_chr1_27056288__KIT_chr4_55524164	1029	401	1233	94	3	611
ARID1A_chr1_27056288__KIT_chr4_55524229	114	610	239	50	2	491
ARID1A_chr1_27056288__KMT2D_chr12_49448468	617	438	373	49	242	223
ARID1A_chr1_27056288__MAP2K1_chr15_66679728	347	227	279	48	403	641
ARID1A_chr1_27056288__MAP3K1_chr5_56111382	350	115	466	24	183	89
ARID1A_chr1_27056288__MET_chr7_116339123	94	299	6	27	291	202
ARID1A_chr1_27056288__MET_chr7_116340188	709	215	449	42	572	148
ARID1A_chr1_27056288__MLH1_chr3_37038179	1435	417	457	66	235	484
ARID1A_chr1_27056288__MLH1_chr3_37045912	60	139	403	24	38	416
ARID1A_chr1_27056288__MSH6_chr2_48018154	5	593	194	33	92	116
ARID1A_chr1_27056288__MTOR_chr1_11317010	9	265	9	18	7	451
ARID1A_chr1_27056288__MTOR_chr1_11319459	472	234	302	44	774	67
ARID1A_chr1_27056288__NF1_chr17_29422308	675	1369	763	111	120	760
ARID1A_chr1_27056288__NF1_chr17_29483038	994	134	432	39	5	172
ARID1A_chr1_27056288__NonTargetingControlGuideForHuman0362	280	759	698	107	426	1968
ARID1A_chr1_27056288__NonTargetingControlGuideForHuman0412	202	192	172	35	535	237
ARID1A_chr1_27056288__PBRM1_chr3_52696257	724	454	239	42	1	359
ARID1A_chr1_27056288__PDGFRA_chr4_55124932	1161	628	334	81	377	533
ARID1A_chr1_27056288__PDGFRA_chr4_55124963	1207	936	106	82	642	404
ARID1A_chr1_27056288__PDGFRA_chr4_55129914	211	182	8	15	68	147
ARID1A_chr1_27056288__PIK3CA_chr3_178916614	971	756	204	88	711	681
ARID1A_chr1_27056288__PIK3R1_chr5_67576410	191	248	48	20	257	349
ARID1A_chr1_27056288__PRKDC_chr8_48686398	85	316	181	16	4	67
ARID1A_chr1_27056288__PRKDC_chr8_48686781	1202	650	277	71	778	455
ARID1A_chr1_27056288__PTEN_chr10_89653786	339	180	616	28	103	215
ARID1A_chr1_27056288__PTEN_chr10_89685297	883	383	467	54	4	708
ARID1A_chr1_27056288__RB1_chr13_48878054	33	153	445	17	3	6
ARID1A_chr1_27056288__RB1_chr13_48936969	571	358	5	37	93	379
ARID1A_chr1_27056288__ROR1_chr1_64240089	36	283	398	34	338	205
ARID1A_chr1_27056288__RPS6KB1_chr17_57987922	185	74	354	23	58	198
ARID1A_chr1_27056288__RPS6KB1_chr17_57987949	693	187	265	50	6	543
ARID1A_chr1_27056288__RRM2_chr2_10262940	78	343	136	22	2	351
ARID1A_chr1_27056288__RUNX1_chr21_36252860	1786	307	386	64	137	228
ARID1A_chr1_27056288__RUNX1_chr21_36421144	208	307	29	26	424	0
ARID1A_chr1_27056288__SMAD4_chr18_48573460	623	92	147	27	455	384
ARID1A_chr1_27056288__SMARCB1_chr22_24129339	243	180	521	37	95	761
ARID1A_chr1_27056288__SMO_chr7_128828974	296	290	708	58	752	588
ARID1A_chr1_27056288__SMO_chr7_128845081	478	495	355	70	357	284
ARID1A_chr1_27056288__TOP1_chr20_39690055	16	85	1	5	31	4
ARID1A_chr1_27056288__TOP1_chr20_39690109	162	288	43	42	959	3
ARID1A_chr1_27056288__TP53_chr17_7577537	539	847	885	94	961	487
ARID1A_chr1_27056288__TSC1_chr9_135796796	229	318	187	39	1	355
ARID1A_chr1_27056288__TSC1_chr9_135804256	568	433	401	53	618	316
ARID1A_chr1_27056288__TYMS_chr18_657730	62	1066	483	55	20	294
ARID1A_chr1_27056288__TYMS_chr18_659656	319	140	6	11	11	51
ARID1A_chr1_27056288__VEGFA_chr6_43738425	47	110	97	11	147	203
ARID1A_chr1_27056288__VHL_chr3_10183791	53	45	1	9	31	196
ARID1A_chr1_27056288__WEE1_chr11_9595542	4	315	601	34	32	246
ARID2_chr12_46123614__ABL1_chr9_133589790	602	126	232	42	159	6
ARID2_chr12_46123614__ABL1_chr9_133738283	353	66	4	33	394	375
ARID2_chr12_46123614__ADA_chr20_43257696	13	39	316	18	6	300
ARID2_chr12_46123614__ADA_chr20_43257769	100	436	209	35	3	371
ARID2_chr12_46123614__AKT1_chr14_105239609	4	129	309	21	0	99
ARID2_chr12_46123614__AKT1_chr14_105239686	306	484	915	81	131	912
ARID2_chr12_46123614__ALK_chr2_29541171	26	30	28	3	2	1
ARID2_chr12_46123614__APC_chr5_112043408	1093	109	27	66	580	516
ARID2_chr12_46123614__ARID1A_chr1_27056286	3	133	3	19	1	337
ARID2_chr12_46123614__ARID1A_chr1_27056288	306	184	254	59	1073	4
ARID2_chr12_46123614__ATM_chr11_108098390	753	383	494	68	1	296
ARID2_chr12_46123614__ATM_chr11_108098402	0	12	2	0	0	3
ARID2_chr12_46123614__BCL2_chr18_60795960	8	179	821	45	165	679
ARID2_chr12_46123614__BRAF_chr7_140508787	403	80	352	47	636	215
ARID2_chr12_46123614__BRCA1_chr17_41267735	278	13	714	44	118	273
ARID2_chr12_46123614__BRCA1_chr17_41276018	119	197	6	53	559	913
ARID2_chr12_46123614__BRCA2_chr13_32914228	531	188	72	44	329	288
ARID2_chr12_46123614__BRD4_chr19_15376403	260	85	10	25	3	516
ARID2_chr12_46123614__BTK_chrX_100629565	258	61	391	28	3	334
ARID2_chr12_46123614__CASP8_chr2_202131404	694	80	6	34	171	287
ARID2_chr12_46123614__CASP8_chr2_202134297	112	108	9	35	267	349
ARID2_chr12_46123614__CDH1_chr16_68772250	3	204	11	11	103	35
ARID2_chr12_46123614__CDH1_chr16_68772255	115	24	2	5	2	4
ARID2_chr12_46123614__CDK4_chr12_58144705	892	44	363	33	159	243
ARID2_chr12_46123614__CDK4_chr12_58145497	588	288	188	76	1190	309
ARID2_chr12_46123614__CDK6_chr7_92244474	366	188	809	46	126	158
ARID2_chr12_46123614__CDK6_chr7_92252365	184	80	67	22	263	308
ARID2_chr12_46123614__CDK9_chr9_130548998	86	16	3	10	0	164
ARID2_chr12_46123614__CDK9_chr9_130550235	27	220	20	18	0	66
ARID2_chr12_46123614__CDKN1B_chr12_12870777	239	50	41	9	5	3
ARID2_chr12_46123614__CDKN1B_chr12_12870931	208	181	1	44	393	417
ARID2_chr12_46123614__CDKN1B_chr12_12871196	463	122	13	22	30	100
ARID2_chr12_46123614__CDKN2A_chr9_21968726	1753	138	4	49	0	49
ARID2_chr12_46123614__CDKN2A_chr9_21994327	6	216	2	52	831	922
ARID2_chr12_46123614__CHEK1_chr11_125499147	691	147	271	45	498	290
ARID2_chr12_46123614__CHEK2_chr22_29085137	324	173	33	54	1550	8
ARID2_chr12_46123614__CHEK2_chr22_29090029	5	76	5	17	5	579
ARID2_chr12_46123614__DHFR_chr5_79949819	1	79	30	9	33	214
ARID2_chr12_46123614__ERBB2_chr17_37855800	9	103	242	19	77	52
ARID2_chr12_46123614__FGFR2_chr10_123298118	178	48	156	29	501	176
ARID2_chr12_46123614__FGFR2_chr10_123298215	64	36	35	9	6	210
ARID2_chr12_46123614__FGFR3_chr4_1795735	819	153	684	65	56	751
ARID2_chr12_46123614__FLT3_chr13_28636131	1908	624	278	110	148	105
ARID2_chr12_46123614__FLT3_chr13_28674643	793	447	351	85	745	373
ARID2_chr12_46123614__FNTA_chr8_42911471	753	63	454	61	257	464
ARID2_chr12_46123614__FNTA_chr8_42914260	2	26	3	10	137	350
ARID2_chr12_46123614__FNTA_chr8_42924781	31	31	74	34	1042	0
ARID2_chr12_46123614__HDAC1_chr1_32757816	969	142	327	40	118	24
ARID2_chr12_46123614__HDAC1_chr1_32792637	597	58	88	29	7	152
ARID2_chr12_46123614__HDAC2_chr6_114266539	469	156	162	34	83	4
ARID2_chr12_46123614__HDAC6_chrX_48661089	100	130	522	29	14	166
ARID2_chr12_46123614__HDAC6_chrX_48661385	773	304	367	64	624	55
ARID2_chr12_46123614__HSP90AA1_chr14_102552141	2	115	4	8	90	30
ARID2_chr12_46123614__HSP90AA1_chr14_102605736	205	163	340	30	325	61
ARID2_chr12_46123614__IGF1R_chr15_99434664	64	102	4	22	118	375
ARID2_chr12_46123614__JAK2_chr9_5021970	565	35	295	33	415	39
ARID2_chr12_46123614__JAK2_chr9_5050721	3	53	154	16	169	217
ARID2_chr12_46123614__JAK2_chr9_5050816	146	220	1	28	403	55
ARID2_chr12_46123614__KDM5C_chrX_53241021	1	84	153	33	457	307
ARID2_chr12_46123614__KDM5C_chrX_53241022	97	339	909	110	324	1859
ARID2_chr12_46123614__KDM6A_chrX_44820615	5	38	93	6	3	5
ARID2_chr12_46123614__KIT_chr4_55524164	299	32	6	7	2	6
ARID2_chr12_46123614__KIT_chr4_55524229	285	279	247	40	97	736
ARID2_chr12_46123614__KMT2D_chr12_49448161	5	240	41	32	384	41
ARID2_chr12_46123614__MAP2K1_chr15_66679721	81	164	45	18	5	162
ARID2_chr12_46123614__MAP2K1_chr15_66679728	27	212	11	32	165	230
ARID2_chr12_46123614__MAP2K1_chr15_66679756	1266	265	294	67	386	552
ARID2_chr12_46123614__MET_chr7_116339123	1	111	769	44	503	95
ARID2_chr12_46123614__MET_chr7_116340207	831	407	8	44	84	230
ARID2_chr12_46123614__MLH1_chr3_37035029	117	345	273	46	3	322
ARID2_chr12_46123614__MTOR_chr1_11317149	3	33	1	1	2	8
ARID2_chr12_46123614__MTOR_chr1_11319459	1	165	23	11	1	42
ARID2_chr12_46123614__NonTargetingControlGuideForHuman0362	795	170	450	60	77	888
ARID2_chr12_46123614__NonTargetingControlGuideForHuman0412	121	109	472	55	552	237
ARID2_chr12_46123614__PARP1_chr1_226578301	7	35	38	2	4	4
ARID2_chr12_46123614__PBRM1_chr3_52696257	1	28	3	7	190	7
ARID2_chr12_46123614__PDGFRA_chr4_55124932	195	348	104	36	277	18
ARID2_chr12_46123614__PIK3CA_chr3_178916614	75	57	688	34	3	13
ARID2_chr12_46123614__PIK3CA_chr3_178919070	5	87	3	28	175	439
ARID2_chr12_46123614__PIK3CA_chr3_178919167	51	56	3	14	170	107
ARID2_chr12_46123614__PIK3R1_chr5_67576421	292	60	21	10	5	3
ARID2_chr12_46123614__PRKDC_chr8_48686398	165	27	602	28	2	362
ARID2_chr12_46123614__PRKDC_chr8_48872683	340	164	593	28	32	115
ARID2_chr12_46123614__PTEN_chr10_89685297	230	69	3	11	9	15
ARID2_chr12_46123614__PTEN_chr10_89711868	173	108	558	55	521	331
ARID2_chr12_46123614__ROR1_chr1_64240072	365	107	117	19	3	12
ARID2_chr12_46123614__RPS6KB1_chr17_57987922	184	58	295	16	90	29
ARID2_chr12_46123614__RPS6KB1_chr17_57987949	483	651	867	146	790	2292
ARID2_chr12_46123614__RUNX1_chr21_36252902	82	213	2	18	157	44
ARID2_chr12_46123614__SETD2_chr3_47142972	944	301	889	58	80	92
ARID2_chr12_46123614__SETD2_chr3_47205411	11	86	215	28	31	414
ARID2_chr12_46123614__SMAD4_chr18_48586241	84	37	7	29	200	754
ARID2_chr12_46123614__SMARCA4_chr19_11094819	318	352	1279	93	4	1104
ARID2_chr12_46123614__SMARCA4_chr19_11095011	692	151	423	70	493	739
ARID2_chr12_46123614__SMARCB1_chr22_24129339	140	48	222	25	76	259
ARID2_chr12_46123614__SMARCB1_chr22_24133949	42	136	4	10	148	1
ARID2_chr12_46123614__SMO_chr7_128845117	8	72	335	21	3	6
ARID2_chr12_46123614__SRC_chr20_36014563	655	596	164	64	12	10
ARID2_chr12_46123614__SRC_chr20_36022600	323	488	82	39	18	172
ARID2_chr12_46123614__TOP1_chr20_39690055	123	52	89	5	32	3
ARID2_chr12_46123614__TP53_chr17_7577537	356	99	148	24	141	73
ARID2_chr12_46123614__TP53_chr17_7578373	688	697	67	64	79	51
ARID2_chr12_46123614__TSC1_chr9_135804256	49	25	45	11	2	231
ARID2_chr12_46123614__TYMS_chr18_657730	327	104	216	34	164	340
ARID2_chr12_46123614__TYMS_chr18_659665	111	71	681	33	107	142
ARID2_chr12_46123614__VEGFA_chr6_43742077	247	72	345	23	3	49
ARID2_chr12_46123614__VHL_chr3_10183518	178	42	5	7	5	72
ARID2_chr12_46123614__WEE1_chr11_9595542	1031	138	543	98	1015	145
ARID2_chr12_46205318__ABL1_chr9_133738283	786	481	588	34	3	472
ARID2_chr12_46205318__ABL1_chr9_133738356	916	915	507	133	2577	740
ARID2_chr12_46205318__ADA_chr20_43257696	53	147	8	19	139	155
ARID2_chr12_46205318__AKT1_chr14_105239609	672	558	362	56	560	365
ARID2_chr12_46205318__AKT1_chr14_105258968	356	191	95	32	660	688
ARID2_chr12_46205318__ALK_chr2_29541172	271	174	416	46	249	2061
ARID2_chr12_46205318__APC_chr5_112043408	564	517	2274	104	853	777
ARID2_chr12_46205318__APC_chr5_112102933	2004	251	1353	63	198	336
ARID2_chr12_46205318__ARID1A_chr1_27056288	880	871	155	79	457	446
ARID2_chr12_46205318__ATM_chr11_108098390	198	515	199	55	851	477
ARID2_chr12_46205318__BRAF_chr7_140534469	560	2197	389	121	1032	1249
ARID2_chr12_46205318__BRAF_chr7_140624501	1647	126	872	79	634	287
ARID2_chr12_46205318__BRCA1_chr17_41256141	2063	482	52	63	443	546
ARID2_chr12_46205318__BRCA1_chr17_41267735	135	113	9	16	217	258
ARID2_chr12_46205318__BRCA1_chr17_41276018	198	229	80	45	1415	347
ARID2_chr12_46205318__BRCA2_chr13_32890586	580	102	46	18	49	152
ARID2_chr12_46205318__BRCA2_chr13_32912006	382	165	45	32	1008	483
ARID2_chr12_46205318__BRD4_chr19_15376403	1003	331	307	69	1461	639
ARID2_chr12_46205318__BTK_chrX_100629565	423	223	13	25	205	375
ARID2_chr12_46205318__CASP8_chr2_202131404	663	123	285	45	751	518
ARID2_chr12_46205318__CDH1_chr16_68771300	1464	409	1794	84	543	1105
ARID2_chr12_46205318__CDK4_chr12_58144705	1352	547	954	92	900	679
ARID2_chr12_46205318__CDK9_chr9_130548409	129	213	61	33	228	620
ARID2_chr12_46205318__CDK9_chr9_130550235	136	294	153	34	133	1161
ARID2_chr12_46205318__CDKN1B_chr12_12870931	21	74	3	7	10	110
ARID2_chr12_46205318__CDKN1B_chr12_12871196	592	605	147	65	881	846
ARID2_chr12_46205318__CDKN2A_chr9_21994327	34	143	216	18	4	317
ARID2_chr12_46205318__CHEK1_chr11_125496644	499	362	145	36	460	471
ARID2_chr12_46205318__CHEK2_chr22_29085137	761	765	270	68	1607	996
ARID2_chr12_46205318__DHFR_chr5_79949819	741	566	191	55	554	327
ARID2_chr12_46205318__DHFR_chr5_79950216	1305	1262	630	97	465	912
ARID2_chr12_46205318__DHFR_chr5_79950217	534	375	58	28	441	205
ARID2_chr12_46205318__EGFR_chr7_55209986	1942	526	14	99	1530	1038
ARID2_chr12_46205318__ERBB2_chr17_37855800	688	136	531	35	291	695
ARID2_chr12_46205318__ERBB2_chr17_37868221	790	548	309	57	542	420
ARID2_chr12_46205318__FGFR2_chr10_123298118	263	859	233	66	1260	605
ARID2_chr12_46205318__FGFR3_chr4_1795655	780	412	492	48	589	333
ARID2_chr12_46205318__FLT3_chr13_28636131	2315	214	265	65	7	711
ARID2_chr12_46205318__FLT3_chr13_28636172	2267	807	563	115	1642	175
ARID2_chr12_46205318__FNTA_chr8_42911471	101	252	402	34	911	289
ARID2_chr12_46205318__FNTA_chr8_42924781	1880	180	85	57	137	903
ARID2_chr12_46205318__GATA3_chr10_8097612	1375	181	117	56	181	961
ARID2_chr12_46205318__HDAC1_chr1_32757816	367	464	152	31	541	270
ARID2_chr12_46205318__HDAC1_chr1_32792601	8	151	8	31	910	47
ARID2_chr12_46205318__HDAC1_chr1_32792637	129	240	183	43	1183	385
ARID2_chr12_46205318__HDAC2_chr6_114266539	1208	455	1268	103	996	1022
ARID2_chr12_46205318__HDAC2_chr6_114267214	352	802	360	62	280	343
ARID2_chr12_46205318__HDAC2_chr6_114292056	1023	141	98	32	154	602
ARID2_chr12_46205318__HDAC6_chrX_48661385	1624	569	598	63	233	827
ARID2_chr12_46205318__HDAC6_chrX_48674389	1034	459	119	44	139	1087
ARID2_chr12_46205318__HSP90AA1_chr14_102552141	545	131	744	52	1092	72
ARID2_chr12_46205318__HSP90AA1_chr14_102605736	179	553	1498	92	1669	737
ARID2_chr12_46205318__JAK2_chr9_5050816	1153	307	446	52	232	601
ARID2_chr12_46205318__KDM5C_chrX_53241022	705	181	1287	56	151	610
ARID2_chr12_46205318__KDM6A_chrX_44820615	115	450	101	35	165	532
ARID2_chr12_46205318__KDM6A_chrX_44820616	391	262	152	51	526	280
ARID2_chr12_46205318__KIT_chr4_55524164	140	510	33	35	635	191
ARID2_chr12_46205318__KIT_chr4_55524176	795	170	10	27	311	123
ARID2_chr12_46205318__KIT_chr4_55524229	309	130	623	29	347	24
ARID2_chr12_46205318__KMT2D_chr12_49448168	3029	801	1032	110	188	1046
ARID2_chr12_46205318__MAP2K1_chr15_66679756	369	437	449	54	1102	282
ARID2_chr12_46205318__MAP3K1_chr5_56152485	536	534	1397	67	488	100
ARID2_chr12_46205318__MET_chr7_116339123	186	224	48	25	4	630
ARID2_chr12_46205318__MLH1_chr3_37035029	940	422	125	45	167	338
ARID2_chr12_46205318__MLH1_chr3_37038179	825	486	239	57	779	355
ARID2_chr12_46205318__MSH6_chr2_48010356	171	372	441	25	173	229
ARID2_chr12_46205318__MSH6_chr2_48018111	974	353	569	58	818	251
ARID2_chr12_46205318__NF1_chr17_29422308	1353	732	1731	145	733	2060
ARID2_chr12_46205318__NF1_chr17_29483038	1165	225	1492	66	87	502
ARID2_chr12_46205318__NF1_chr17_29483039	41	673	83	29	267	33
ARID2_chr12_46205318__NonTargetingControlGuideForHuman0362	135	309	1189	61	693	176
ARID2_chr12_46205318__NonTargetingControlGuideForHuman0412	1104	577	85	53	230	26
ARID2_chr12_46205318__PARP1_chr1_226578301	1939	108	1290	78	499	498
ARID2_chr12_46205318__PDGFRA_chr4_55124963	3244	524	1080	143	1699	974
ARID2_chr12_46205318__PDGFRA_chr4_55129914	870	377	566	63	855	515
ARID2_chr12_46205318__PIK3CA_chr3_178916614	835	504	795	72	343	320
ARID2_chr12_46205318__PIK3CA_chr3_178919070	296	236	945	42	232	476
ARID2_chr12_46205318__PIK3CA_chr3_178919167	2362	941	488	115	1383	2043
ARID2_chr12_46205318__PIK3R1_chr5_67576421	1456	522	202	70	746	117
ARID2_chr12_46205318__PRKDC_chr8_48686398	12	159	173	20	4	360
ARID2_chr12_46205318__PTEN_chr10_89653786	345	327	168	18	170	108
ARID2_chr12_46205318__PTEN_chr10_89685297	5749	171	613	134	861	1147
ARID2_chr12_46205318__RB1_chr13_48878054	426	388	95	37	135	537
ARID2_chr12_46205318__RB1_chr13_48934148	338	95	318	19	6	55
ARID2_chr12_46205318__RB1_chr13_48936969	381	714	342	68	1500	522
ARID2_chr12_46205318__ROR1_chr1_64240072	448	523	570	42	174	305
ARID2_chr12_46205318__ROR1_chr1_64240089	69	242	303	39	1089	206
ARID2_chr12_46205318__ROR1_chr1_64240143	392	254	173	39	982	188
ARID2_chr12_46205318__RPS6KB1_chr17_57987922	472	129	197	26	404	579
ARID2_chr12_46205318__RRM2_chr2_10262728	875	397	155	63	492	902
ARID2_chr12_46205318__RRM2_chr2_10262957	238	276	83	58	1486	195
ARID2_chr12_46205318__RUNX1_chr21_36252860	104	368	186	18	98	180
ARID2_chr12_46205318__RUNX1_chr21_36421144	1235	986	741	72	480	228
ARID2_chr12_46205318__SETD2_chr3_47142951	11	249	337	19	61	157
ARID2_chr12_46205318__SETD2_chr3_47142972	1179	594	261	54	304	659
ARID2_chr12_46205318__SETD2_chr3_47205411	646	401	1617	103	1485	721
ARID2_chr12_46205318__SMARCA4_chr19_11094819	1483	131	675	50	185	426
ARID2_chr12_46205318__SMARCA4_chr19_11094851	1342	829	479	98	870	844
ARID2_chr12_46205318__SMARCA4_chr19_11095011	1111	584	1032	64	96	1166
ARID2_chr12_46205318__SMARCB1_chr22_24129339	952	137	6	16	19	144
ARID2_chr12_46205318__SMARCB1_chr22_24133949	492	235	349	19	49	368
ARID2_chr12_46205318__SMARCB1_chr22_24133993	313	232	480	37	406	587
ARID2_chr12_46205318__SMO_chr7_128845081	217	351	623	49	411	140
ARID2_chr12_46205318__SRC_chr20_36014563	2065	628	50	70	565	374
ARID2_chr12_46205318__SRC_chr20_36022600	699	427	818	66	824	793
ARID2_chr12_46205318__TOP1_chr20_39690055	254	184	203	11	0	84
ARID2_chr12_46205318__TOP1_chr20_39690109	308	60	185	14	168	11
ARID2_chr12_46205318__TP53_chr17_7577537	2090	316	592	72	345	530
ARID2_chr12_46205318__TP53_chr17_7578373	128	111	114	17	132	566
ARID2_chr12_46205318__TSC1_chr9_135804256	1221	601	261	43	3	492
ARID2_chr12_46205318__TYMS_chr18_659656	757	423	222	47	343	463
ARID2_chr12_46205318__VEGFA_chr6_43738425	750	269	221	39	246	887
ARID2_chr12_46205318__VEGFA_chr6_43742077	881	602	532	69	916	395
ARID2_chr12_46205318__VHL_chr3_10183773	1087	321	13	73	592	1955
ARID2_chr12_46205318__WEE1_chr11_9595462	37	243	132	34	619	379
ARID2_chr12_46254608__ABL1_chr9_133738283	296	261	635	22	42	223
ARID2_chr12_46254608__ABL1_chr9_133738356	1286	646	701	105	1057	920
ARID2_chr12_46254608__ADA_chr20_43257696	960	662	992	78	675	442
ARID2_chr12_46254608__ADA_chr20_43257769	2220	326	1784	79	70	546
ARID2_chr12_46254608__ADA_chr20_43280245	280	206	201	36	907	335
ARID2_chr12_46254608__AKT1_chr14_105239686	678	748	249	82	1073	1011
ARID2_chr12_46254608__ALK_chr2_29541171	652	173	261	20	3	87
ARID2_chr12_46254608__ALK_chr2_29541172	3642	799	893	130	1023	1144
ARID2_chr12_46254608__ALK_chr2_30143522	154	317	72	23	794	498
ARID2_chr12_46254608__APC_chr5_112043408	2244	1362	1931	185	2237	1562
ARID2_chr12_46254608__APC_chr5_112102023	513	90	59	15	65	126
ARID2_chr12_46254608__ARID1A_chr1_27056286	839	292	847	48	272	613
ARID2_chr12_46254608__ARID1A_chr1_27056288	401	945	388	61	710	548
ARID2_chr12_46254608__BCL2_chr18_60795945	66	318	1177	36	209	700
ARID2_chr12_46254608__BRAF_chr7_140534469	1512	985	965	102	690	1471
ARID2_chr12_46254608__BRCA1_chr17_41256141	1890	852	1236	86	117	696
ARID2_chr12_46254608__BRCA1_chr17_41267735	15	251	49	7	44	9
ARID2_chr12_46254608__BRCA2_chr13_32890586	1369	166	338	27	3	353
ARID2_chr12_46254608__BRCA2_chr13_32912006	547	192	633	37	86	868
ARID2_chr12_46254608__BRCA2_chr13_32914228	273	676	44	28	291	357
ARID2_chr12_46254608__BRD4_chr19_15376361	157	173	477	29	659	837
ARID2_chr12_46254608__BRD4_chr19_15376403	1144	426	148	74	753	938
ARID2_chr12_46254608__BRD4_chr19_15383894	427	261	144	29	179	624
ARID2_chr12_46254608__BTK_chrX_100645534	600	255	585	51	328	1258
ARID2_chr12_46254608__CASP8_chr2_202123033	24	1502	924	70	259	298
ARID2_chr12_46254608__CASP8_chr2_202131404	440	685	950	78	1268	1320
ARID2_chr12_46254608__CASP8_chr2_202134297	2097	425	1026	78	513	683
ARID2_chr12_46254608__CDH1_chr16_68771300	934	627	674	45	1015	706
ARID2_chr12_46254608__CDK4_chr12_58143253	457	278	12	20	2	326
ARID2_chr12_46254608__CDK4_chr12_58145497	835	765	759	49	248	156
ARID2_chr12_46254608__CDK6_chr7_92244474	414	566	621	62	599	1174
ARID2_chr12_46254608__CDK6_chr7_92462628	645	536	272	52	1234	856
ARID2_chr12_46254608__CDK9_chr9_130548409	507	1189	2702	105	545	1522
ARID2_chr12_46254608__CDK9_chr9_130550235	1196	519	651	89	876	1149
ARID2_chr12_46254608__CDKN1B_chr12_12871196	974	403	1241	66	251	669
ARID2_chr12_46254608__CDKN2A_chr9_21971100	2090	693	1378	113	1830	1339
ARID2_chr12_46254608__CHEK1_chr11_125496644	1594	538	496	78	502	844
ARID2_chr12_46254608__CHEK1_chr11_125496687	176	235	343	44	822	1276
ARID2_chr12_46254608__CHEK1_chr11_125499147	1912	388	136	39	115	444
ARID2_chr12_46254608__CHEK2_chr22_29085137	740	426	1040	37	305	614
ARID2_chr12_46254608__CHEK2_chr22_29090029	605	458	129	43	621	290
ARID2_chr12_46254608__DHFR_chr5_79949819	737	277	696	58	424	163
ARID2_chr12_46254608__EGFR_chr7_55209986	1456	334	230	55	853	1265
ARID2_chr12_46254608__EGFR_chr7_55209992	903	235	490	30	93	492
ARID2_chr12_46254608__ERBB2_chr17_37868221	1394	542	564	73	1370	622
ARID2_chr12_46254608__FGFR2_chr10_123298118	429	454	858	32	633	487
ARID2_chr12_46254608__FGFR2_chr10_123353328	1273	460	565	80	1194	642
ARID2_chr12_46254608__FGFR3_chr4_1795655	1165	579	239	41	873	406
