construct_id	UCTAt1-2_S4_trimmed53_len_filtered_counts	UCAt1-2_S2_trimmed53_len_filtered_counts	UCBt1-2_S3_trimmed53_len_filtered_counts	UCTBt1-2_S5_trimmed53_len_filtered_counts	UPt1-2_S1_trimmed53_len_filtered_counts
CHEK1_chr11_125496644__SMO_chr7_128828974	941	1272	930	3291	96
CHEK1_chr11_125496644__SMO_chr7_128845117	1	296	32	0	308
CHEK1_chr11_125496644__SRC_chr20_36012562	3	8	226	2	652
CHEK1_chr11_125496644__SRC_chr20_36022600	280	1314	998	1174	895
CHEK1_chr11_125496644__TOP1_chr20_39690055	1394	5	314	7	1
CHEK1_chr11_125496644__TOP1_chr20_39690109	3	71	600	5	375
CHEK1_chr11_125496644__TSC1_chr9_135796748	2178	422	794	32	51
CHEK1_chr11_125496644__TSC1_chr9_135796796	46	1357	687	369	314
CHEK1_chr11_125496644__TYMS_chr18_657730	1604	1729	1057	361	13
CHEK1_chr11_125496644__TYMS_chr18_659665	9	2183	1048	223	375
CHEK1_chr11_125496644__VEGFA_chr6_43738425	3	566	1181	482	1281
CHEK1_chr11_125496644__VEGFA_chr6_43742108	4	530	377	6	12
CHEK1_chr11_125496644__VHL_chr3_10183518	4	2273	622	1125	473
CHEK1_chr11_125496644__WEE1_chr11_9595845	7003	78	148	1540	962
CHEK1_chr11_125496687__ABL1_chr9_133589790	1143	58	134	371	54
CHEK1_chr11_125496687__ABL1_chr9_133738356	55	98	447	561	781
CHEK1_chr11_125496687__ADA_chr20_43257696	1	19	53	146	3
CHEK1_chr11_125496687__ADA_chr20_43280245	1550	42	321	1	461
CHEK1_chr11_125496687__AKT1_chr14_105239609	230	2	745	163	338
CHEK1_chr11_125496687__AKT1_chr14_105258968	1346	74	208	2	396
CHEK1_chr11_125496687__ALK_chr2_29541171	34	5	63	2	489
CHEK1_chr11_125496687__ALK_chr2_30143522	34	199	293	1	512
CHEK1_chr11_125496687__APC_chr5_112043408	579	132	344	435	1493
CHEK1_chr11_125496687__APC_chr5_112102023	2	47	7	0	266
CHEK1_chr11_125496687__ARID1A_chr1_27022876	1409	158	54	942	689
CHEK1_chr11_125496687__ARID1A_chr1_27056288	59	24	151	316	61
CHEK1_chr11_125496687__ARID2_chr12_46123614	20	18	122	1	180
CHEK1_chr11_125496687__ARID2_chr12_46205318	108	1	52	1	101
CHEK1_chr11_125496687__ATM_chr11_108098390	1081	444	146	505	887
CHEK1_chr11_125496687__ATM_chr11_108098402	0	0	102	805	23
CHEK1_chr11_125496687__BCL2_chr18_60795945	2	42	23	3	319
CHEK1_chr11_125496687__BCL2_chr18_60795960	483	44	80	323	62
CHEK1_chr11_125496687__BCL2_chr18_60985877	1183	8	23	751	138
CHEK1_chr11_125496687__BRAF_chr7_140508787	42	420	917	662	967
CHEK1_chr11_125496687__BRCA1_chr17_41256141	1622	244	166	833	1598
CHEK1_chr11_125496687__BRCA1_chr17_41267735	20	239	214	219	0
CHEK1_chr11_125496687__BRCA1_chr17_41276018	29	100	442	1710	1379
CHEK1_chr11_125496687__BRCA2_chr13_32914228	53	19	38	164	220
CHEK1_chr11_125496687__BRD4_chr19_15376361	63	1	17	1	99
CHEK1_chr11_125496687__BRD4_chr19_15376403	875	1	94	1636	822
CHEK1_chr11_125496687__BRD4_chr19_15383894	3	4	105	132	401
CHEK1_chr11_125496687__CASP8_chr2_202131404	48	102	213	3	362
CHEK1_chr11_125496687__CASP8_chr2_202134297	3	58	423	184	432
CHEK1_chr11_125496687__CDH1_chr16_68771300	269	2	337	441	413
CHEK1_chr11_125496687__CDH1_chr16_68772250	1501	1	143	1	342
CHEK1_chr11_125496687__CDK4_chr12_58143253	22	0	266	0	77
CHEK1_chr11_125496687__CDK4_chr12_58145497	5	40	121	1	0
CHEK1_chr11_125496687__CDK6_chr7_92244474	1358	102	151	343	1539
CHEK1_chr11_125496687__CDK6_chr7_92252365	502	72	29	624	353
CHEK1_chr11_125496687__CDK9_chr9_130548409	870	24	42	0	221
CHEK1_chr11_125496687__CDK9_chr9_130550235	743	159	96	294	46
CHEK1_chr11_125496687__CDKN1B_chr12_12870777	511	21	60	281	132
CHEK1_chr11_125496687__CDKN1B_chr12_12871196	8	311	160	1	709
CHEK1_chr11_125496687__CDKN2A_chr9_21968726	67	1	179	1	570
CHEK1_chr11_125496687__CDKN2A_chr9_21971100	76	1	460	1	404
CHEK1_chr11_125496687__CHEK2_chr22_29130694	4	17	469	449	155
CHEK1_chr11_125496687__DHFR_chr5_79950216	2	111	341	1	470
CHEK1_chr11_125496687__EGFR_chr7_55086962	842	2	4	2	1
CHEK1_chr11_125496687__EGFR_chr7_55209986	87	78	45	128	174
CHEK1_chr11_125496687__FGFR2_chr10_123298118	1843	15	92	59	63
CHEK1_chr11_125496687__FGFR2_chr10_123298215	675	286	159	274	972
CHEK1_chr11_125496687__FLT3_chr13_28636172	2	0	24	157	391
CHEK1_chr11_125496687__GATA3_chr10_8097612	587	19	25	1135	330
CHEK1_chr11_125496687__GATA3_chr10_8097722	3	879	423	406	45
CHEK1_chr11_125496687__HDAC1_chr1_32792601	120	0	65	513	1244
CHEK1_chr11_125496687__HDAC6_chrX_48661385	4	118	328	4	2
CHEK1_chr11_125496687__HSP90AA1_chr14_102551760	1	8	75	0	324
CHEK1_chr11_125496687__HSP90AA1_chr14_102605736	128	156	217	3	431
CHEK1_chr11_125496687__IGF1R_chr15_99192824	5	193	717	370	274
CHEK1_chr11_125496687__JAK2_chr9_5021970	1	42	335	416	233
CHEK1_chr11_125496687__JAK2_chr9_5050816	2	17	42	1	25
CHEK1_chr11_125496687__KDM5C_chrX_53241022	2	8	9	2	59
CHEK1_chr11_125496687__KDM6A_chrX_44732838	716	24	118	5	2
CHEK1_chr11_125496687__KDM6A_chrX_44820616	74	54	155	549	353
CHEK1_chr11_125496687__KIT_chr4_55524164	3	15	272	0	59
CHEK1_chr11_125496687__KIT_chr4_55524176	2549	7	82	283	206
CHEK1_chr11_125496687__KMT2D_chr12_49448161	239	118	70	66	936
CHEK1_chr11_125496687__MAP2K1_chr15_66679721	5	282	452	666	445
CHEK1_chr11_125496687__MAP2K1_chr15_66679756	581	21	126	0	364
CHEK1_chr11_125496687__MAP3K1_chr5_56111382	3	2	390	2584	0
CHEK1_chr11_125496687__MAP3K1_chr5_56152485	10	55	213	1	39
CHEK1_chr11_125496687__MET_chr7_116339123	276	1	5	1	74
CHEK1_chr11_125496687__MET_chr7_116340188	367	97	163	180	359
CHEK1_chr11_125496687__MLH1_chr3_37045912	105	310	202	2	587
CHEK1_chr11_125496687__MTOR_chr1_11319459	1	44	9	0	3
CHEK1_chr11_125496687__NonTargetingControlGuideForHuman0362	907	137	114	1	128
CHEK1_chr11_125496687__NonTargetingControlGuideForHuman0412	5	1	11	1	162
CHEK1_chr11_125496687__PARP1_chr1_226578249	138	48	487	133	0
CHEK1_chr11_125496687__PARP1_chr1_226595581	250	66	35	3	1
CHEK1_chr11_125496687__PBRM1_chr3_52696257	1	1	38	2	2
CHEK1_chr11_125496687__PBRM1_chr3_52702516	528	41	109	0	676
CHEK1_chr11_125496687__PBRM1_chr3_52713723	3	47	87	126	151
CHEK1_chr11_125496687__PIK3CA_chr3_178916614	653	11	129	787	1570
CHEK1_chr11_125496687__PIK3CA_chr3_178919070	5	89	68	389	335
CHEK1_chr11_125496687__PIK3CA_chr3_178919167	32	45	240	311	232
CHEK1_chr11_125496687__PIK3R1_chr5_67576421	469	0	3	96	685
CHEK1_chr11_125496687__PRKDC_chr8_48686398	716	127	2	31	1678
CHEK1_chr11_125496687__PRKDC_chr8_48686781	878	266	56	4	333
CHEK1_chr11_125496687__RB1_chr13_48934148	31	2	4	2	439
CHEK1_chr11_125496687__ROR1_chr1_64240089	492	68	384	1250	72
CHEK1_chr11_125496687__ROR1_chr1_64240143	659	95	121	2	184
CHEK1_chr11_125496687__RPS6KB1_chr17_57987922	0	0	273	3	313
CHEK1_chr11_125496687__RRM2_chr2_10262728	187	25	64	217	2
CHEK1_chr11_125496687__RRM2_chr2_10262940	117	116	174	152	649
CHEK1_chr11_125496687__RRM2_chr2_10262957	3108	26	225	113	392
CHEK1_chr11_125496687__SETD2_chr3_47142951	445	1	337	802	90
CHEK1_chr11_125496687__SETD2_chr3_47142972	1662	18	34	1	683
CHEK1_chr11_125496687__SMAD4_chr18_48573460	5	60	178	1	1
CHEK1_chr11_125496687__SMAD4_chr18_48575673	396	747	161	0	132
CHEK1_chr11_125496687__SMARCA4_chr19_11094819	2013	25	212	3	34
CHEK1_chr11_125496687__SMARCB1_chr22_24129339	1	19	6	1665	14
CHEK1_chr11_125496687__SMARCB1_chr22_24133993	1843	820	56	4	0
CHEK1_chr11_125496687__SMO_chr7_128845081	68	3	26	90	201
CHEK1_chr11_125496687__SMO_chr7_128845117	45	13	5	144	4
CHEK1_chr11_125496687__SRC_chr20_36012562	16	394	153	1	672
CHEK1_chr11_125496687__SRC_chr20_36014563	1	14	155	224	344
CHEK1_chr11_125496687__SRC_chr20_36022600	2	60	178	183	728
CHEK1_chr11_125496687__TOP1_chr20_39690055	363	637	395	3	800
CHEK1_chr11_125496687__TP53_chr17_7578373	129	0	43	2	0
CHEK1_chr11_125496687__TP53_chr17_7579881	125	49	48	344	705
CHEK1_chr11_125496687__TYMS_chr18_659656	88	71	228	868	491
CHEK1_chr11_125496687__TYMS_chr18_659665	3	3	9	1	3
CHEK1_chr11_125496687__VEGFA_chr6_43742077	222	59	68	1	1097
CHEK1_chr11_125496687__VEGFA_chr6_43742108	2	24	9	2	3
CHEK1_chr11_125496687__WEE1_chr11_9595462	1801	168	87	98	858
CHEK1_chr11_125499147__ABL1_chr9_133738283	52	658	399	891	507
CHEK1_chr11_125499147__ALK_chr2_30143522	135	3206	711	718	1161
CHEK1_chr11_125499147__APC_chr5_112102933	235	62	53	2	340
CHEK1_chr11_125499147__ARID1A_chr1_27056288	87	25	109	95	653
CHEK1_chr11_125499147__ARID2_chr12_46205318	44	258	260	1	1403
CHEK1_chr11_125499147__ATM_chr11_108098390	1	1	278	0	449
CHEK1_chr11_125499147__ATM_chr11_108098402	0	420	147	6	765
CHEK1_chr11_125499147__BCL2_chr18_60985877	0	420	209	4	1144
CHEK1_chr11_125499147__BRAF_chr7_140508787	3077	583	526	10	207
CHEK1_chr11_125499147__BRCA1_chr17_41256141	749	1730	349	5	77
CHEK1_chr11_125499147__BRCA1_chr17_41267735	1	5	337	0	2
CHEK1_chr11_125499147__BRCA2_chr13_32914228	2021	67	57	465	267
CHEK1_chr11_125499147__BRD4_chr19_15376361	633	20	118	890	319
CHEK1_chr11_125499147__BTK_chrX_100626613	1	114	137	94	312
CHEK1_chr11_125499147__BTK_chrX_100629565	500	464	157	4	78
CHEK1_chr11_125499147__BTK_chrX_100645534	30	472	574	384	298
CHEK1_chr11_125499147__CASP8_chr2_202123033	2766	411	632	1259	943
CHEK1_chr11_125499147__CASP8_chr2_202134297	970	535	524	1243	516
CHEK1_chr11_125499147__CDH1_chr16_68772250	2013	170	454	4	135
CHEK1_chr11_125499147__CDK6_chr7_92252365	203	388	377	521	0
CHEK1_chr11_125499147__CDK9_chr9_130548409	1558	1032	317	9	1161
CHEK1_chr11_125499147__CDK9_chr9_130548998	359	2	148	2	0
CHEK1_chr11_125499147__CDK9_chr9_130550235	12	147	215	4	247
CHEK1_chr11_125499147__CDKN1B_chr12_12870777	169	19	7	0	17
CHEK1_chr11_125499147__CDKN1B_chr12_12870931	1	0	10	1219	2
CHEK1_chr11_125499147__CDKN2A_chr9_21968726	234	24	452	733	146
CHEK1_chr11_125499147__CHEK2_chr22_29085137	56	22	74	1	0
CHEK1_chr11_125499147__CHEK2_chr22_29090029	70	30	101	1	312
CHEK1_chr11_125499147__CHEK2_chr22_29130694	700	4	183	2	2
CHEK1_chr11_125499147__DHFR_chr5_79950216	337	15	273	38	2
CHEK1_chr11_125499147__EGFR_chr7_55209986	3	76	874	574	413
CHEK1_chr11_125499147__ERBB2_chr17_37868221	1841	460	446	612	254
CHEK1_chr11_125499147__ERBB2_chr17_37868292	133	119	251	290	1065
CHEK1_chr11_125499147__FGFR2_chr10_123298118	56	100	86	1388	54
CHEK1_chr11_125499147__FGFR2_chr10_123353328	964	171	203	5	39
CHEK1_chr11_125499147__FGFR3_chr4_1795655	1037	22	321	6	833
CHEK1_chr11_125499147__FGFR3_chr4_1795735	1137	52	315	5	1819
CHEK1_chr11_125499147__FGFR3_chr4_1795736	6	1	26	3	587
CHEK1_chr11_125499147__FLT3_chr13_28636131	830	20	63	164	60
CHEK1_chr11_125499147__FLT3_chr13_28674643	1	931	669	1148	1259
CHEK1_chr11_125499147__GATA3_chr10_8097612	58	197	326	251	850
CHEK1_chr11_125499147__HDAC2_chr6_114266539	0	1128	276	3	569
CHEK1_chr11_125499147__HDAC2_chr6_114292056	52	203	103	478	83
CHEK1_chr11_125499147__HDAC6_chrX_48661089	33	45	233	516	4
CHEK1_chr11_125499147__HDAC6_chrX_48661385	1651	10	216	399	1422
CHEK1_chr11_125499147__HDAC6_chrX_48674389	10	120	433	228	660
CHEK1_chr11_125499147__HSP90AA1_chr14_102552141	3	251	731	73	419
CHEK1_chr11_125499147__HSP90AA1_chr14_102605736	724	48	275	1300	688
CHEK1_chr11_125499147__IGF1R_chr15_99192824	384	79	325	527	284
CHEK1_chr11_125499147__IGF1R_chr15_99434664	1580	254	243	56	597
CHEK1_chr11_125499147__IGF1R_chr15_99434807	1405	353	274	250	2
CHEK1_chr11_125499147__KDM5C_chrX_53254068	167	816	440	2	748
CHEK1_chr11_125499147__KDM6A_chrX_44820616	682	522	214	348	592
CHEK1_chr11_125499147__KIT_chr4_55524164	955	384	435	360	207
CHEK1_chr11_125499147__KMT2D_chr12_49448168	15	1332	818	5	1098
CHEK1_chr11_125499147__KMT2D_chr12_49448468	830	500	416	4	641
CHEK1_chr11_125499147__MAP2K1_chr15_66679728	320	28	1017	1252	712
CHEK1_chr11_125499147__MAP3K1_chr5_56111382	1351	2	144	2	0
CHEK1_chr11_125499147__MAP3K1_chr5_56152466	37	405	797	1155	326
CHEK1_chr11_125499147__MAP3K1_chr5_56152485	63	522	544	670	539
CHEK1_chr11_125499147__MET_chr7_116339123	2236	315	181	478	1
CHEK1_chr11_125499147__MET_chr7_116340207	1	750	343	1	1
CHEK1_chr11_125499147__MLH1_chr3_37035029	574	44	189	2	461
CHEK1_chr11_125499147__MLH1_chr3_37045912	3	5	215	2	137
CHEK1_chr11_125499147__NF1_chr17_29422308	2107	522	388	154	931
CHEK1_chr11_125499147__NF1_chr17_29483039	72	12	246	320	850
CHEK1_chr11_125499147__NonTargetingControlGuideForHuman0352	814	25	217	564	482
CHEK1_chr11_125499147__PARP1_chr1_226595581	333	2	240	1	106
CHEK1_chr11_125499147__PBRM1_chr3_52696257	0	21	329	550	274
CHEK1_chr11_125499147__PBRM1_chr3_52713723	3	2	86	117	1
CHEK1_chr11_125499147__PDGFRA_chr4_55129914	3	152	276	216	501
CHEK1_chr11_125499147__PIK3CA_chr3_178916614	2	854	81	4	883
CHEK1_chr11_125499147__PIK3R1_chr5_67576410	302	21	241	762	855
CHEK1_chr11_125499147__PIK3R1_chr5_67576421	7	3	176	193	4
CHEK1_chr11_125499147__PRKDC_chr8_48686398	2	105	130	4	227
CHEK1_chr11_125499147__PRKDC_chr8_48872683	5	159	366	151	61
CHEK1_chr11_125499147__PTEN_chr10_89653786	1	12	37	2	203
CHEK1_chr11_125499147__PTEN_chr10_89685297	134	74	282	278	352
CHEK1_chr11_125499147__PTEN_chr10_89711868	370	24	315	5	322
CHEK1_chr11_125499147__RB1_chr13_48878054	1009	190	151	412	286
CHEK1_chr11_125499147__RB1_chr13_48934148	161	533	810	1562	4
CHEK1_chr11_125499147__RPS6KB1_chr17_57970538	276	20	294	2	212
CHEK1_chr11_125499147__RRM2_chr2_10262728	415	15	52	1	1
CHEK1_chr11_125499147__RUNX1_chr21_36252902	711	4	237	464	112
CHEK1_chr11_125499147__SETD2_chr3_47142951	215	123	591	0	589
CHEK1_chr11_125499147__SETD2_chr3_47205411	47	817	256	4	44
CHEK1_chr11_125499147__SMAD4_chr18_48573460	1	63	10	1	715
CHEK1_chr11_125499147__SMAD4_chr18_48575673	0	1	262	1	83
CHEK1_chr11_125499147__SMAD4_chr18_48586241	69	86	143	225	87
CHEK1_chr11_125499147__SMARCB1_chr22_24129339	41	715	159	1540	3
CHEK1_chr11_125499147__SMO_chr7_128828974	397	140	161	2	407
CHEK1_chr11_125499147__SMO_chr7_128845081	4	43	113	575	62
CHEK1_chr11_125499147__SRC_chr20_36022600	4108	1408	644	866	693
CHEK1_chr11_125499147__TOP1_chr20_39657693	707	144	421	2	204
CHEK1_chr11_125499147__TOP1_chr20_39690055	4	6	926	1	78
CHEK1_chr11_125499147__TP53_chr17_7577537	769	80	374	5	470
CHEK1_chr11_125499147__TP53_chr17_7579881	61	432	383	574	353
CHEK1_chr11_125499147__TSC1_chr9_135796748	78	1314	1690	2750	858
CHEK1_chr11_125499147__TYMS_chr18_657730	4	628	964	165	1043
CHEK1_chr11_125499147__TYMS_chr18_659656	4	6	352	1941	336
CHEK1_chr11_125499147__TYMS_chr18_659665	2	675	340	1315	899
CHEK1_chr11_125499147__VEGFA_chr6_43738425	99	36	284	2	282
CHEK1_chr11_125499147__VEGFA_chr6_43742108	574	60	217	3	413
CHEK1_chr11_125499147__VHL_chr3_10183518	3	127	144	2	4
CHEK1_chr11_125499147__WEE1_chr11_9595462	2243	937	685	5	3
CHEK2_chr22_29085137__ABL1_chr9_133589790	2	1211	591	1393	885
CHEK2_chr22_29085137__ABL1_chr9_133738356	42	79	619	4	2
CHEK2_chr22_29085137__ADA_chr20_43257696	1722	234	376	941	3
CHEK2_chr22_29085137__ADA_chr20_43257769	971	1353	1570	2548	1775
CHEK2_chr22_29085137__ADA_chr20_43280245	786	56	799	1	507
CHEK2_chr22_29085137__AKT1_chr14_105239686	3	1091	737	9	148
CHEK2_chr22_29085137__ALK_chr2_29541171	261	400	438	1024	112
CHEK2_chr22_29085137__ALK_chr2_30143522	2	75	288	2	58
CHEK2_chr22_29085137__APC_chr5_112102023	0	561	69	4	79
CHEK2_chr22_29085137__APC_chr5_112102933	38	592	394	1	384
CHEK2_chr22_29085137__ARID1A_chr1_27022876	4	357	469	466	2
CHEK2_chr22_29085137__ARID1A_chr1_27056286	715	218	201	1	130
CHEK2_chr22_29085137__ARID1A_chr1_27056288	1675	170	748	254	591
CHEK2_chr22_29085137__ATM_chr11_108098390	541	43	664	341	249
CHEK2_chr22_29085137__ATM_chr11_108098402	151	19	339	2114	47
CHEK2_chr22_29085137__BCL2_chr18_60795945	139	709	325	501	2
CHEK2_chr22_29085137__BCL2_chr18_60795960	4	325	346	6	1026
CHEK2_chr22_29085137__BCL2_chr18_60985877	1	344	139	0	2
CHEK2_chr22_29085137__BRAF_chr7_140508787	8	308	244	4	928
CHEK2_chr22_29085137__BRAF_chr7_140624501	53	405	569	180	1793
CHEK2_chr22_29085137__BRCA1_chr17_41267735	21	28	9	1	1
CHEK2_chr22_29085137__BRCA2_chr13_32890586	1	6	122	3	275
CHEK2_chr22_29085137__BRCA2_chr13_32914228	0	7	673	5	117
CHEK2_chr22_29085137__BRD4_chr19_15376361	83	9	372	2	794
CHEK2_chr22_29085137__BRD4_chr19_15376403	118	319	465	2289	1532
CHEK2_chr22_29085137__BRD4_chr19_15383894	1	4	186	0	56
CHEK2_chr22_29085137__BTK_chrX_100626613	0	829	516	2	389
CHEK2_chr22_29085137__BTK_chrX_100645534	6	837	749	741	2
CHEK2_chr22_29085137__CASP8_chr2_202123033	227	433	641	474	256
CHEK2_chr22_29085137__CASP8_chr2_202131404	3208	110	373	820	4
CHEK2_chr22_29085137__CDH1_chr16_68772250	289	188	319	184	0
CHEK2_chr22_29085137__CDH1_chr16_68772255	507	298	357	819	261
CHEK2_chr22_29085137__CDK4_chr12_58143253	1009	426	221	3	3
CHEK2_chr22_29085137__CDK6_chr7_92244474	1960	467	512	6	79
CHEK2_chr22_29085137__CDK6_chr7_92252365	699	965	814	5	692
CHEK2_chr22_29085137__CDK9_chr9_130548998	1	227	233	158	225
CHEK2_chr22_29085137__CDKN1B_chr12_12870777	165	813	400	12	3
CHEK2_chr22_29085137__CDKN2A_chr9_21968726	659	238	838	477	386
CHEK2_chr22_29085137__CDKN2A_chr9_21971100	6081	607	788	1168	663
CHEK2_chr22_29085137__CHEK1_chr11_125496687	75	217	464	11	549
CHEK2_chr22_29085137__DHFR_chr5_79950216	813	413	853	532	1387
CHEK2_chr22_29085137__DHFR_chr5_79950217	177	170	372	13	1407
CHEK2_chr22_29085137__EGFR_chr7_55086962	1884	12	636	648	6
CHEK2_chr22_29085137__EGFR_chr7_55209992	14	771	548	1256	4
CHEK2_chr22_29085137__ERBB2_chr17_37868292	1	3	96	2	2
CHEK2_chr22_29085137__FGFR2_chr10_123353328	10	58	305	4	217
CHEK2_chr22_29085137__FGFR3_chr4_1795735	1073	1199	1479	919	742
CHEK2_chr22_29085137__FGFR3_chr4_1795736	615	676	592	252	581
CHEK2_chr22_29085137__FLT3_chr13_28674643	3	653	1072	98	182
CHEK2_chr22_29085137__FNTA_chr8_42914260	19	571	883	360	44
CHEK2_chr22_29085137__FNTA_chr8_42924781	62	459	253	4	2
CHEK2_chr22_29085137__GATA3_chr10_8097722	4	1034	1529	4	1066
CHEK2_chr22_29085137__GATA3_chr10_8097790	16	1143	664	1442	1335
CHEK2_chr22_29085137__HDAC1_chr1_32792601	7	677	545	700	565
CHEK2_chr22_29085137__HSP90AA1_chr14_102551760	66	90	167	695	115
CHEK2_chr22_29085137__HSP90AA1_chr14_102552141	2	110	955	263	21
CHEK2_chr22_29085137__HSP90AA1_chr14_102605736	86	1880	735	975	796
CHEK2_chr22_29085137__IGF1R_chr15_99192824	921	198	753	945	381
CHEK2_chr22_29085137__JAK2_chr9_5021970	4	11	21	34	2
CHEK2_chr22_29085137__KDM5C_chrX_53241022	2925	318	405	436	283
CHEK2_chr22_29085137__KDM5C_chrX_53254068	315	1663	995	857	2471
CHEK2_chr22_29085137__KDM6A_chrX_44732838	375	281	1096	64	199
CHEK2_chr22_29085137__KDM6A_chrX_44820615	86	912	323	398	2
CHEK2_chr22_29085137__KMT2D_chr12_49448161	141	245	491	212	281
CHEK2_chr22_29085137__KMT2D_chr12_49448468	2	10	356	98	40
CHEK2_chr22_29085137__MAP2K1_chr15_66679721	2	661	315	1350	58
CHEK2_chr22_29085137__MAP2K1_chr15_66679728	3999	263	636	1	90
CHEK2_chr22_29085137__MET_chr7_116340188	1053	1026	689	5	644
CHEK2_chr22_29085137__MLH1_chr3_37045912	4	10	332	924	683
CHEK2_chr22_29085137__MTOR_chr1_11317010	4	205	293	330	0
CHEK2_chr22_29085137__MTOR_chr1_11317149	23	4	207	1	500
CHEK2_chr22_29085137__MTOR_chr1_11319459	278	862	387	4	770
CHEK2_chr22_29085137__NF1_chr17_29422308	47	186	486	4	1177
CHEK2_chr22_29085137__NonTargetingControlGuideForHuman0352	234	238	1636	249	2675
CHEK2_chr22_29085137__PARP1_chr1_226578249	6	420	701	1571	562
CHEK2_chr22_29085137__PBRM1_chr3_52696257	904	35	367	525	716
CHEK2_chr22_29085137__PBRM1_chr3_52702516	20	357	714	198	443
CHEK2_chr22_29085137__PDGFRA_chr4_55124932	0	44	161	1	28
CHEK2_chr22_29085137__PDGFRA_chr4_55124963	707	47	347	30	416
CHEK2_chr22_29085137__PDGFRA_chr4_55129914	6	829	479	718	3
CHEK2_chr22_29085137__PIK3R1_chr5_67576410	25	444	275	2	49
CHEK2_chr22_29085137__PIK3R1_chr5_67576421	2	720	1257	1857	725
CHEK2_chr22_29085137__PRKDC_chr8_48686398	214	964	1152	761	638
CHEK2_chr22_29085137__PRKDC_chr8_48872683	4105	472	419	275	177
CHEK2_chr22_29085137__PTEN_chr10_89653786	1031	7	443	1594	222
CHEK2_chr22_29085137__PTEN_chr10_89711868	695	6	25	379	443
CHEK2_chr22_29085137__RB1_chr13_48936969	2008	508	869	5	725
CHEK2_chr22_29085137__ROR1_chr1_64240089	39	593	237	1	654
CHEK2_chr22_29085137__RPS6KB1_chr17_57970538	0	402	161	644	2
CHEK2_chr22_29085137__RPS6KB1_chr17_57987922	28	2498	693	3	1754
CHEK2_chr22_29085137__RPS6KB1_chr17_57987949	178	704	651	386	512
CHEK2_chr22_29085137__RRM2_chr2_10262728	14	14	219	252	122
CHEK2_chr22_29085137__RRM2_chr2_10262940	259	239	456	170	1554
CHEK2_chr22_29085137__RRM2_chr2_10262957	55	447	684	159	182
CHEK2_chr22_29085137__RUNX1_chr21_36252902	3	511	235	1	268
CHEK2_chr22_29085137__SETD2_chr3_47142951	1703	467	297	1	4
CHEK2_chr22_29085137__SMAD4_chr18_48575673	52	689	516	740	256
CHEK2_chr22_29085137__SMARCA4_chr19_11095011	108	607	587	7	2056
CHEK2_chr22_29085137__SMARCB1_chr22_24133993	666	2	336	14	1
CHEK2_chr22_29085137__SMO_chr7_128828974	518	635	265	122	702
CHEK2_chr22_29085137__SMO_chr7_128845117	29	0	783	435	2
CHEK2_chr22_29085137__SRC_chr20_36012562	1423	7	357	903	3
CHEK2_chr22_29085137__SRC_chr20_36022600	9	1826	1222	2	467
CHEK2_chr22_29085137__TOP1_chr20_39690055	1	4	18	396	0
CHEK2_chr22_29085137__TOP1_chr20_39690109	167	599	432	291	0
CHEK2_chr22_29085137__TSC1_chr9_135796748	130	1786	982	905	1740
CHEK2_chr22_29085137__TSC1_chr9_135796796	167	1340	629	60	627
CHEK2_chr22_29085137__TYMS_chr18_657730	330	2686	1236	8	102
CHEK2_chr22_29085137__TYMS_chr18_659665	6	76	78	2	81
CHEK2_chr22_29085137__VHL_chr3_10183518	220	566	401	4	355
CHEK2_chr22_29085137__WEE1_chr11_9595845	1	3	58	3	714
CHEK2_chr22_29090029__ABL1_chr9_133738283	1142	135	657	3	0
CHEK2_chr22_29090029__ABL1_chr9_133738356	76	5	85	2	630
CHEK2_chr22_29090029__ADA_chr20_43257769	135	20	272	1064	18
CHEK2_chr22_29090029__AKT1_chr14_105239609	554	1512	827	700	717
CHEK2_chr22_29090029__AKT1_chr14_105239686	544	1021	1591	2614	1255
CHEK2_chr22_29090029__ALK_chr2_29541172	3410	329	382	203	145
CHEK2_chr22_29090029__ALK_chr2_30143522	552	2203	678	445	581
CHEK2_chr22_29090029__APC_chr5_112102933	12	269	268	0	2
CHEK2_chr22_29090029__ARID2_chr12_46205318	155	1305	872	1555	1693
CHEK2_chr22_29090029__ATM_chr11_108098350	1	78	50	2	286
CHEK2_chr22_29090029__BCL2_chr18_60985877	2	4	120	1564	26
CHEK2_chr22_29090029__BRAF_chr7_140508787	5520	1936	687	9	541
CHEK2_chr22_29090029__BRAF_chr7_140624501	0	1	14	4	170
CHEK2_chr22_29090029__BRCA2_chr13_32912006	33	1702	1184	1823	0
CHEK2_chr22_29090029__BRD4_chr19_15383894	1959	33	199	242	38
CHEK2_chr22_29090029__BTK_chrX_100626613	867	303	183	2	1
CHEK2_chr22_29090029__BTK_chrX_100629565	1	3	247	1	24
CHEK2_chr22_29090029__BTK_chrX_100645534	2	106	248	613	685
CHEK2_chr22_29090029__CASP8_chr2_202123033	578	879	322	3	167
CHEK2_chr22_29090029__CASP8_chr2_202131404	1	202	866	3	786
CHEK2_chr22_29090029__CASP8_chr2_202134297	11	1701	1163	393	167
CHEK2_chr22_29090029__CDH1_chr16_68771300	3	17	111	2	51
CHEK2_chr22_29090029__CDK4_chr12_58143253	2	1060	657	1	444
CHEK2_chr22_29090029__CDK4_chr12_58144705	300	559	952	710	473
CHEK2_chr22_29090029__CDK6_chr7_92244474	52	712	340	579	255
