construct_id	Hela_Trex2_CV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d28_2_S6_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d14_1_S3_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d28_1_S5_trimmed53_len_filtered_counts
CDH1_chr16_68771300__DHFR_chr5_79950216	1350	856	743	692	958	399
CDH1_chr16_68771300__EGFR_chr7_55086962	905	1113	577	475	1293	42
CDH1_chr16_68771300__EGFR_chr7_55209986	1262	781	875	488	1465	105
CDH1_chr16_68771300__EGFR_chr7_55209992	520	384	649	94	87	34
CDH1_chr16_68771300__ERBB2_chr17_37855800	185	883	0	491	41	922
CDH1_chr16_68771300__FGFR2_chr10_123298118	1116	1464	1334	615	712	696
CDH1_chr16_68771300__FGFR2_chr10_123353328	1033	658	590	629	859	408
CDH1_chr16_68771300__FGFR3_chr4_1795655	0	233	0	128	91	0
CDH1_chr16_68771300__FGFR3_chr4_1795736	492	614	303	279	642	120
CDH1_chr16_68771300__FLT3_chr13_28636131	312	332	267	561	318	845
CDH1_chr16_68771300__GATA3_chr10_8097722	927	1678	980	723	1835	466
CDH1_chr16_68771300__HDAC2_chr6_114266539	289	320	155	431	162	511
CDH1_chr16_68771300__HDAC6_chrX_48661089	468	901	82	505	505	380
CDH1_chr16_68771300__HSP90AA1_chr14_102551760	1078	735	745	416	1150	1
CDH1_chr16_68771300__HSP90AA1_chr14_102552141	403	285	112	416	948	244
CDH1_chr16_68771300__HSP90AA1_chr14_102605736	1589	973	2564	875	959	1028
CDH1_chr16_68771300__IGF1R_chr15_99192824	210	599	271	154	938	108
CDH1_chr16_68771300__JAK2_chr9_5021970	385	321	292	177	473	27
CDH1_chr16_68771300__JAK2_chr9_5050816	188	46	234	254	449	336
CDH1_chr16_68771300__KDM5C_chrX_53241022	731	1444	550	812	719	700
CDH1_chr16_68771300__KIT_chr4_55524164	865	811	1031	449	1349	183
CDH1_chr16_68771300__KMT2D_chr12_49448161	893	656	1467	683	711	1808
CDH1_chr16_68771300__KMT2D_chr12_49448168	868	860	1319	560	599	1256
CDH1_chr16_68771300__KMT2D_chr12_49448468	980	1152	443	859	952	981
CDH1_chr16_68771300__MAP2K1_chr15_66679721	981	188	622	301	572	242
CDH1_chr16_68771300__MAP2K1_chr15_66679756	881	445	1229	371	733	495
CDH1_chr16_68771300__MAP3K1_chr5_56152466	210	507	129	257	598	78
CDH1_chr16_68771300__MAP3K1_chr5_56152485	924	588	746	161	1200	140
CDH1_chr16_68771300__MET_chr7_116340188	1092	471	1961	467	310	297
CDH1_chr16_68771300__MET_chr7_116340207	598	142	706	379	760	137
CDH1_chr16_68771300__MLH1_chr3_37038179	196	259	281	666	767	657
CDH1_chr16_68771300__MSH6_chr2_48010356	286	396	148	282	450	223
CDH1_chr16_68771300__MSH6_chr2_48018111	1762	1644	1726	1572	1400	1983
CDH1_chr16_68771300__MSH6_chr2_48018154	706	319	508	215	827	236
CDH1_chr16_68771300__MTOR_chr1_11317010	59	1137	0	205	564	0
CDH1_chr16_68771300__NF1_chr17_29483038	1833	549	2896	1522	1028	3241
CDH1_chr16_68771300__NF1_chr17_29483039	1856	675	4564	1117	830	5374
CDH1_chr16_68771300__NonTargetingControlGuideForHuman0362	1704	1392	2602	1259	604	1927
CDH1_chr16_68771300__NonTargetingControlGuideForHuman0412	630	320	574	821	771	1160
CDH1_chr16_68771300__PARP1_chr1_226578249	480	521	600	536	1229	339
CDH1_chr16_68771300__PARP1_chr1_226595581	257	398	22	508	921	451
CDH1_chr16_68771300__PBRM1_chr3_52702516	589	687	979	166	1447	119
CDH1_chr16_68771300__PBRM1_chr3_52713723	1271	171	1111	48	178	11
CDH1_chr16_68771300__PDGFRA_chr4_55124932	772	234	621	412	366	525
CDH1_chr16_68771300__PDGFRA_chr4_55124963	1302	619	1091	473	981	895
CDH1_chr16_68771300__PIK3CA_chr3_178916614	1742	2398	1440	1103	1601	1539
CDH1_chr16_68771300__PIK3CA_chr3_178919167	167	505	29	494	221	81
CDH1_chr16_68771300__PIK3R1_chr5_67576410	191	897	241	335	410	382
CDH1_chr16_68771300__PIK3R1_chr5_67576421	120	270	82	162	287	92
CDH1_chr16_68771300__PRKDC_chr8_48686398	39	253	165	403	846	401
CDH1_chr16_68771300__PRKDC_chr8_48872683	41	353	19	255	516	170
CDH1_chr16_68771300__PTEN_chr10_89685297	1155	711	1245	622	649	1790
CDH1_chr16_68771300__PTEN_chr10_89711868	2222	424	6895	277	419	278
CDH1_chr16_68771300__RB1_chr13_48934148	726	418	1601	364	261	505
CDH1_chr16_68771300__RRM2_chr2_10262940	411	1455	262	250	1051	189
CDH1_chr16_68771300__RRM2_chr2_10262957	708	584	380	37	902	24
CDH1_chr16_68771300__RUNX1_chr21_36252902	227	461	450	320	893	181
CDH1_chr16_68771300__SETD2_chr3_47205411	604	529	303	64	1303	23
CDH1_chr16_68771300__SMAD4_chr18_48586241	850	1617	2274	331	969	380
CDH1_chr16_68771300__SMARCA4_chr19_11094851	1518	2218	2936	595	1188	862
CDH1_chr16_68771300__SMARCB1_chr22_24129339	264	363	566	217	295	217
CDH1_chr16_68771300__SMARCB1_chr22_24133949	1270	1569	414	1239	2140	49
CDH1_chr16_68771300__SMO_chr7_128828974	153	407	462	516	979	124
CDH1_chr16_68771300__SMO_chr7_128845117	761	459	250	378	1009	649
CDH1_chr16_68771300__SRC_chr20_36014563	1128	597	1252	457	835	439
CDH1_chr16_68771300__TOP1_chr20_39657693	32	960	1	13	1686	0
CDH1_chr16_68771300__TOP1_chr20_39690055	355	621	42	156	548	0
CDH1_chr16_68771300__TOP1_chr20_39690109	255	227	275	4	0	0
CDH1_chr16_68771300__TP53_chr17_7577537	1262	298	2186	783	799	406
CDH1_chr16_68771300__TP53_chr17_7578373	380	459	200	169	193	107
CDH1_chr16_68771300__TP53_chr17_7579881	358	525	177	135	706	201
CDH1_chr16_68771300__TSC1_chr9_135796748	1271	846	290	710	1212	1010
CDH1_chr16_68771300__TYMS_chr18_657730	1441	1333	1065	637	1428	166
CDH1_chr16_68771300__TYMS_chr18_659656	326	782	121	190	594	137
CDH1_chr16_68771300__VEGFA_chr6_43742077	906	1219	653	812	1439	741
CDH1_chr16_68771300__VEGFA_chr6_43742108	708	375	720	684	547	914
CDH1_chr16_68771300__VHL_chr3_10183773	75	531	0	97	321	0
CDH1_chr16_68771300__WEE1_chr11_9595462	479	1433	780	644	1327	320
CDH1_chr16_68771300__WEE1_chr11_9595845	282	319	560	95	524	62
CDH1_chr16_68772250__ABL1_chr9_133738356	1207	524	2747	683	760	555
CDH1_chr16_68772250__ADA_chr20_43257696	225	122	142	59	534	63
CDH1_chr16_68772250__ADA_chr20_43280245	77	186	73	507	150	570
CDH1_chr16_68772250__AKT1_chr14_105239609	601	574	523	605	1242	521
CDH1_chr16_68772250__AKT1_chr14_105239686	1563	529	580	1350	992	1400
CDH1_chr16_68772250__AKT1_chr14_105258968	315	817	243	166	202	198
CDH1_chr16_68772250__ALK_chr2_29541171	79	390	241	670	410	530
CDH1_chr16_68772250__ALK_chr2_29541172	385	159	454	57	107	54
CDH1_chr16_68772250__ALK_chr2_30143522	699	396	288	149	393	167
CDH1_chr16_68772250__ARID1A_chr1_27022876	377	150	291	166	509	18
CDH1_chr16_68772250__ARID2_chr12_46205318	1320	1203	1046	399	1521	323
CDH1_chr16_68772250__ARID2_chr12_46254608	814	473	651	527	235	1603
CDH1_chr16_68772250__ATM_chr11_108098390	188	543	20	740	506	173
CDH1_chr16_68772250__ATM_chr11_108098402	0	174	25	90	0	117
CDH1_chr16_68772250__BCL2_chr18_60795960	56	822	2	1115	1189	1895
CDH1_chr16_68772250__BRCA1_chr17_41256141	547	211	365	413	499	123
CDH1_chr16_68772250__BRCA1_chr17_41276018	82	613	6	259	477	144
CDH1_chr16_68772250__BRCA2_chr13_32912006	725	479	289	72	337	113
CDH1_chr16_68772250__BRCA2_chr13_32914228	834	694	932	375	202	560
CDH1_chr16_68772250__BRD4_chr19_15376361	0	513	27	18	253	0
CDH1_chr16_68772250__BRD4_chr19_15376403	322	646	350	208	478	161
CDH1_chr16_68772250__BTK_chrX_100629565	545	590	943	327	510	846
CDH1_chr16_68772250__BTK_chrX_100645534	983	289	1018	342	354	452
CDH1_chr16_68772250__CASP8_chr2_202123033	428	352	379	622	527	862
CDH1_chr16_68772250__CASP8_chr2_202131404	57	22	169	49	10	0
CDH1_chr16_68772250__CDK4_chr12_58144705	191	251	1194	467	313	857
CDH1_chr16_68772250__CDK6_chr7_92244474	843	655	1603	210	317	206
CDH1_chr16_68772250__CDK6_chr7_92462628	126	71	124	55	190	0
CDH1_chr16_68772250__CDK9_chr9_130550235	344	1028	1154	477	838	592
CDH1_chr16_68772250__CDKN1B_chr12_12870777	59	529	0	386	535	175
CDH1_chr16_68772250__CDKN1B_chr12_12870931	0	151	48	389	173	156
CDH1_chr16_68772250__CDKN1B_chr12_12871196	939	424	1235	385	715	929
CDH1_chr16_68772250__CDKN2A_chr9_21968726	130	182	90	220	243	149
CDH1_chr16_68772250__CDKN2A_chr9_21971100	215	715	256	123	1015	317
CDH1_chr16_68772250__CHEK2_chr22_29090029	430	210	370	150	1	20
CDH1_chr16_68772250__DHFR_chr5_79950216	998	779	2460	490	600	413
CDH1_chr16_68772250__DHFR_chr5_79950217	361	555	157	243	1032	75
CDH1_chr16_68772250__EGFR_chr7_55086962	9	199	27	60	47	75
CDH1_chr16_68772250__EGFR_chr7_55209992	229	201	134	4	153	28
CDH1_chr16_68772250__ERBB2_chr17_37855800	169	173	419	128	226	10
CDH1_chr16_68772250__ERBB2_chr17_37868221	240	305	70	190	165	348
CDH1_chr16_68772250__ERBB2_chr17_37868292	540	271	223	37	490	0
CDH1_chr16_68772250__FGFR2_chr10_123298118	1952	1044	3239	530	1107	460
CDH1_chr16_68772250__FGFR2_chr10_123353328	222	483	198	460	601	247
CDH1_chr16_68772250__FGFR3_chr4_1795655	527	285	471	898	1158	926
CDH1_chr16_68772250__FGFR3_chr4_1795735	1117	1078	355	438	1102	122
CDH1_chr16_68772250__FNTA_chr8_42914260	131	308	0	0	231	0
CDH1_chr16_68772250__FNTA_chr8_42924781	246	465	356	160	557	61
CDH1_chr16_68772250__GATA3_chr10_8097790	355	861	45	574	601	1393
CDH1_chr16_68772250__HDAC1_chr1_32757816	1052	439	115	400	1333	317
CDH1_chr16_68772250__HDAC1_chr1_32792601	433	622	92	114	581	595
CDH1_chr16_68772250__HDAC1_chr1_32792637	647	562	497	489	786	318
CDH1_chr16_68772250__HDAC6_chrX_48661089	334	387	138	591	801	1806
CDH1_chr16_68772250__IGF1R_chr15_99434664	127	505	182	102	79	81
CDH1_chr16_68772250__JAK2_chr9_5021970	621	895	379	110	642	0
CDH1_chr16_68772250__JAK2_chr9_5050721	1134	621	532	850	843	339
CDH1_chr16_68772250__KDM5C_chrX_53241021	16	0	110	0	0	0
CDH1_chr16_68772250__KDM6A_chrX_44820615	117	98	201	69	644	106
CDH1_chr16_68772250__KDM6A_chrX_44820616	694	687	831	1071	479	2484
CDH1_chr16_68772250__KIT_chr4_55524176	675	632	245	268	381	184
CDH1_chr16_68772250__KIT_chr4_55524229	940	472	1109	161	423	40
CDH1_chr16_68772250__KMT2D_chr12_49448161	705	1388	606	60	597	41
CDH1_chr16_68772250__MAP2K1_chr15_66679721	350	248	204	515	583	352
CDH1_chr16_68772250__MAP3K1_chr5_56152466	718	393	715	194	829	148
CDH1_chr16_68772250__MAP3K1_chr5_56152485	280	416	814	437	445	403
CDH1_chr16_68772250__MET_chr7_116340207	596	238	1070	523	418	732
CDH1_chr16_68772250__MLH1_chr3_37038179	948	734	934	701	751	472
CDH1_chr16_68772250__MSH6_chr2_48010356	262	296	68	157	308	35
CDH1_chr16_68772250__MSH6_chr2_48018111	756	647	998	454	698	709
CDH1_chr16_68772250__MSH6_chr2_48018154	262	267	198	80	521	49
CDH1_chr16_68772250__MTOR_chr1_11317010	322	1253	0	165	1096	0
CDH1_chr16_68772250__MTOR_chr1_11317149	282	806	14	472	1003	539
CDH1_chr16_68772250__MTOR_chr1_11319459	522	674	537	274	1252	513
CDH1_chr16_68772250__NF1_chr17_29422308	1508	559	1449	732	454	974
CDH1_chr16_68772250__NF1_chr17_29483039	307	83	1486	161	23	963
CDH1_chr16_68772250__NonTargetingControlGuideForHuman0352	623	422	503	691	780	789
CDH1_chr16_68772250__PBRM1_chr3_52696257	235	542	385	467	409	217
CDH1_chr16_68772250__PDGFRA_chr4_55129914	573	237	105	321	650	60
CDH1_chr16_68772250__PIK3CA_chr3_178919070	152	617	93	152	409	46
CDH1_chr16_68772250__PIK3CA_chr3_178919167	234	105	291	71	527	75
CDH1_chr16_68772250__PIK3R1_chr5_67576421	398	516	438	135	511	194
CDH1_chr16_68772250__PRKDC_chr8_48686398	1050	246	1251	56	388	4
CDH1_chr16_68772250__PRKDC_chr8_48872683	449	518	0	800	374	1243
CDH1_chr16_68772250__PTEN_chr10_89653786	315	265	248	0	95	0
CDH1_chr16_68772250__PTEN_chr10_89685297	538	117	247	45	465	0
CDH1_chr16_68772250__ROR1_chr1_64240072	1068	720	1098	560	932	899
CDH1_chr16_68772250__ROR1_chr1_64240143	1605	2005	820	777	2056	1270
CDH1_chr16_68772250__RPS6KB1_chr17_57987922	229	187	122	174	357	167
CDH1_chr16_68772250__RRM2_chr2_10262728	884	197	659	63	133	14
CDH1_chr16_68772250__RUNX1_chr21_36252902	261	511	0	168	540	176
CDH1_chr16_68772250__SETD2_chr3_47142972	26	236	0	107	176	4
CDH1_chr16_68772250__SMAD4_chr18_48573460	424	462	51	163	1446	0
CDH1_chr16_68772250__SMAD4_chr18_48575673	226	407	174	214	294	153
CDH1_chr16_68772250__SMARCA4_chr19_11095011	1261	879	1223	265	452	927
CDH1_chr16_68772250__SMO_chr7_128828974	819	1009	720	623	619	484
CDH1_chr16_68772250__SRC_chr20_36014563	520	234	401	634	584	928
CDH1_chr16_68772250__SRC_chr20_36022600	614	1026	359	348	570	156
CDH1_chr16_68772250__TOP1_chr20_39657693	98	1177	3	223	1906	0
CDH1_chr16_68772250__TP53_chr17_7578373	1000	250	361	268	596	239
CDH1_chr16_68772250__TP53_chr17_7579881	1315	3479	1560	195	811	166
CDH1_chr16_68772250__TYMS_chr18_657730	1225	447	923	328	912	517
CDH1_chr16_68772250__TYMS_chr18_659656	437	156	314	71	381	265
CDH1_chr16_68772250__TYMS_chr18_659665	252	281	277	869	940	1554
CDH1_chr16_68772250__VEGFA_chr6_43738425	494	303	697	152	153	169
CDH1_chr16_68772250__VEGFA_chr6_43742077	1353	434	2268	756	1030	272
CDH1_chr16_68772250__WEE1_chr11_9595845	103	64	0	0	112	0
CDH1_chr16_68772255__ABL1_chr9_133589790	370	209	191	90	206	1
CDH1_chr16_68772255__ABL1_chr9_133738283	367	528	530	148	29	55
CDH1_chr16_68772255__ADA_chr20_43257769	786	356	599	759	570	984
CDH1_chr16_68772255__ADA_chr20_43280245	270	408	332	123	1176	15
CDH1_chr16_68772255__ALK_chr2_29541171	103	0	0	141	165	51
CDH1_chr16_68772255__ALK_chr2_29541172	125	523	143	461	208	470
CDH1_chr16_68772255__ALK_chr2_30143522	340	150	104	133	117	43
CDH1_chr16_68772255__ARID1A_chr1_27022876	33	67	112	246	82	943
CDH1_chr16_68772255__ARID1A_chr1_27056286	422	420	280	420	586	416
CDH1_chr16_68772255__ARID2_chr12_46205318	820	517	563	264	679	89
CDH1_chr16_68772255__ARID2_chr12_46254608	479	344	435	165	11	166
CDH1_chr16_68772255__ATM_chr11_108098350	634	82	187	143	385	127
CDH1_chr16_68772255__ATM_chr11_108098390	186	76	49	159	126	0
CDH1_chr16_68772255__ATM_chr11_108098402	34	367	27	244	535	27
CDH1_chr16_68772255__BCL2_chr18_60795945	328	454	197	136	350	26
CDH1_chr16_68772255__BCL2_chr18_60985877	448	480	446	51	570	57
CDH1_chr16_68772255__BRAF_chr7_140534469	243	110	367	314	59	202
CDH1_chr16_68772255__BRAF_chr7_140624501	0	378	0	137	1	23
CDH1_chr16_68772255__BRCA1_chr17_41276018	23	310	0	23	555	0
CDH1_chr16_68772255__BRCA2_chr13_32890586	512	657	84	232	174	213
CDH1_chr16_68772255__BRCA2_chr13_32914228	264	449	239	558	871	644
CDH1_chr16_68772255__BRD4_chr19_15383894	535	97	585	232	574	118
CDH1_chr16_68772255__BTK_chrX_100645534	501	136	979	56	831	257
CDH1_chr16_68772255__CASP8_chr2_202131404	0	98	93	104	0	76
CDH1_chr16_68772255__CDK4_chr12_58143253	42	257	26	25	260	27
CDH1_chr16_68772255__CDK4_chr12_58145497	429	492	120	363	575	701
CDH1_chr16_68772255__CDK6_chr7_92244474	106	278	77	225	430	441
CDH1_chr16_68772255__CDK6_chr7_92252365	75	223	28	97	522	441
CDH1_chr16_68772255__CDK6_chr7_92462628	241	211	143	337	549	160
CDH1_chr16_68772255__CDKN1B_chr12_12870777	262	105	41	306	183	992
CDH1_chr16_68772255__CDKN1B_chr12_12870931	217	220	775	322	203	816
CDH1_chr16_68772255__CDKN2A_chr9_21968726	2	56	0	47	332	87
CDH1_chr16_68772255__CDKN2A_chr9_21971100	422	704	259	189	785	56
CDH1_chr16_68772255__CDKN2A_chr9_21994327	133	162	0	106	119	10
CDH1_chr16_68772255__CHEK1_chr11_125496644	1312	194	985	369	676	206
CDH1_chr16_68772255__CHEK1_chr11_125496687	0	700	0	0	609	0
CDH1_chr16_68772255__CHEK1_chr11_125499147	0	599	0	0	307	0
CDH1_chr16_68772255__CHEK2_chr22_29090029	0	0	0	0	0	0
CDH1_chr16_68772255__CHEK2_chr22_29130694	962	570	1087	94	295	3
CDH1_chr16_68772255__EGFR_chr7_55086962	357	482	995	341	861	1029
CDH1_chr16_68772255__EGFR_chr7_55209992	75	108	27	0	202	0
CDH1_chr16_68772255__ERBB2_chr17_37855800	442	445	48	146	158	0
CDH1_chr16_68772255__ERBB2_chr17_37868292	14	74	0	4	370	0
CDH1_chr16_68772255__FGFR2_chr10_123298118	535	56	1889	164	57	124
CDH1_chr16_68772255__FGFR2_chr10_123298215	300	144	375	53	482	109
CDH1_chr16_68772255__FLT3_chr13_28636172	716	432	937	146	417	156
CDH1_chr16_68772255__FLT3_chr13_28674643	986	556	696	72	739	105
CDH1_chr16_68772255__FNTA_chr8_42924781	212	456	203	114	158	0
CDH1_chr16_68772255__GATA3_chr10_8097612	126	318	0	208	126	234
CDH1_chr16_68772255__GATA3_chr10_8097790	522	515	542	313	739	298
CDH1_chr16_68772255__HDAC2_chr6_114266539	354	497	276	232	475	54
CDH1_chr16_68772255__IGF1R_chr15_99192824	168	386	30	239	563	41
CDH1_chr16_68772255__JAK2_chr9_5050816	29	2	159	0	51	0
CDH1_chr16_68772255__KDM5C_chrX_53241022	29	392	0	0	167	75
CDH1_chr16_68772255__KDM6A_chrX_44732838	78	47	73	351	208	354
CDH1_chr16_68772255__KIT_chr4_55524176	681	512	219	470	207	300
CDH1_chr16_68772255__KMT2D_chr12_49448161	28	65	18	79	181	149
CDH1_chr16_68772255__KMT2D_chr12_49448468	662	454	1113	914	519	2123
CDH1_chr16_68772255__MAP2K1_chr15_66679721	1033	739	247	402	440	658
CDH1_chr16_68772255__MAP2K1_chr15_66679756	737	291	395	622	288	226
CDH1_chr16_68772255__MAP3K1_chr5_56111382	78	131	0	165	114	0
CDH1_chr16_68772255__MAP3K1_chr5_56152466	417	515	119	128	833	63
CDH1_chr16_68772255__MAP3K1_chr5_56152485	171	571	129	131	499	446
CDH1_chr16_68772255__MET_chr7_116339123	106	301	93	134	249	88
CDH1_chr16_68772255__MET_chr7_116340188	212	726	457	110	345	1
CDH1_chr16_68772255__MET_chr7_116340207	0	453	1	61	0	351
CDH1_chr16_68772255__MSH6_chr2_48010356	76	688	53	314	827	0
CDH1_chr16_68772255__MSH6_chr2_48018154	115	129	275	165	290	209
CDH1_chr16_68772255__MTOR_chr1_11317149	0	435	5	82	786	25
CDH1_chr16_68772255__MTOR_chr1_11319459	0	466	0	313	58	225
CDH1_chr16_68772255__NF1_chr17_29422308	276	991	785	411	560	134
CDH1_chr16_68772255__NF1_chr17_29483038	1098	226	3766	396	66	1018
CDH1_chr16_68772255__NonTargetingControlGuideForHuman0352	794	596	453	627	301	1235
CDH1_chr16_68772255__PARP1_chr1_226578249	847	324	363	215	681	173
CDH1_chr16_68772255__PARP1_chr1_226595581	46	313	0	6	285	0
CDH1_chr16_68772255__PBRM1_chr3_52713723	723	586	400	422	316	556
CDH1_chr16_68772255__PDGFRA_chr4_55124963	641	171	355	381	860	375
CDH1_chr16_68772255__PIK3CA_chr3_178919070	0	294	0	248	230	106
CDH1_chr16_68772255__PIK3R1_chr5_67576421	156	166	0	68	142	131
CDH1_chr16_68772255__PTEN_chr10_89653786	23	464	34	87	117	404
CDH1_chr16_68772255__RB1_chr13_48878054	185	135	34	86	107	94
CDH1_chr16_68772255__RB1_chr13_48934148	251	269	117	66	361	279
CDH1_chr16_68772255__ROR1_chr1_64240143	1049	808	584	197	717	254
CDH1_chr16_68772255__RPS6KB1_chr17_57987922	379	171	223	91	385	73
CDH1_chr16_68772255__RPS6KB1_chr17_57987949	418	1004	147	353	904	229
CDH1_chr16_68772255__RRM2_chr2_10262728	86	202	34	35	118	52
CDH1_chr16_68772255__RRM2_chr2_10262940	32	408	0	0	408	50
CDH1_chr16_68772255__RUNX1_chr21_36252902	57	408	45	436	0	40
CDH1_chr16_68772255__SETD2_chr3_47142951	204	510	11	358	383	159
CDH1_chr16_68772255__SETD2_chr3_47142972	45	275	0	41	322	0
CDH1_chr16_68772255__SMARCA4_chr19_11094819	1342	483	1264	325	1368	173
CDH1_chr16_68772255__SMARCA4_chr19_11094851	633	596	149	688	290	240
CDH1_chr16_68772255__SMARCB1_chr22_24129339	76	208	92	430	269	311
CDH1_chr16_68772255__SMARCB1_chr22_24133949	294	409	43	13	113	0
CDH1_chr16_68772255__SMARCB1_chr22_24133993	0	187	0	38	414	0
CDH1_chr16_68772255__SMO_chr7_128845081	287	94	252	107	161	176
CDH1_chr16_68772255__SMO_chr7_128845117	578	342	950	44	254	0
CDH1_chr16_68772255__SRC_chr20_36012562	479	201	357	201	389	76
CDH1_chr16_68772255__SRC_chr20_36014563	61	90	10	145	121	1
CDH1_chr16_68772255__SRC_chr20_36022600	1483	387	1810	190	1011	323
CDH1_chr16_68772255__TOP1_chr20_39690109	66	39	0	22	316	0
CDH1_chr16_68772255__TP53_chr17_7577537	473	147	260	159	209	349
CDH1_chr16_68772255__TP53_chr17_7578373	159	54	2	20	421	0
CDH1_chr16_68772255__TP53_chr17_7579881	203	534	1	396	222	514
CDH1_chr16_68772255__VEGFA_chr6_43742108	492	404	523	131	557	43
CDH1_chr16_68772255__VHL_chr3_10183518	908	432	284	212	599	134
CDH1_chr16_68772255__VHL_chr3_10183773	27	1621	0	175	443	100
CDH1_chr16_68772255__VHL_chr3_10183791	220	340	192	0	760	1
CDH1_chr16_68772255__WEE1_chr11_9595542	660	624	216	364	951	982
CDH1_chr16_68772255__WEE1_chr11_9595845	0	386	1	112	101	197
CDK4_chr12_58143253__ABL1_chr9_133738356	198	379	48	475	586	541
CDK4_chr12_58143253__ADA_chr20_43257769	296	586	673	382	946	160
CDK4_chr12_58143253__ADA_chr20_43280245	377	178	110	255	361	553
CDK4_chr12_58143253__AKT1_chr14_105239686	657	859	386	81	397	110
CDK4_chr12_58143253__AKT1_chr14_105258968	372	322	422	195	376	203
CDK4_chr12_58143253__ALK_chr2_29541172	65	321	169	99	219	315
CDK4_chr12_58143253__ALK_chr2_30143522	473	53	136	286	391	458
CDK4_chr12_58143253__APC_chr5_112102023	0	0	0	13	0	11
CDK4_chr12_58143253__APC_chr5_112102933	388	172	168	181	190	64
CDK4_chr12_58143253__ARID1A_chr1_27056286	547	442	300	145	1197	245
CDK4_chr12_58143253__ARID1A_chr1_27056288	193	19	0	136	1	453
CDK4_chr12_58143253__ARID2_chr12_46123614	0	21	58	316	240	525
CDK4_chr12_58143253__ARID2_chr12_46205318	621	488	2044	179	426	212
CDK4_chr12_58143253__ATM_chr11_108098390	418	628	43	335	512	188
CDK4_chr12_58143253__ATM_chr11_108098402	52	131	0	71	0	0
CDK4_chr12_58143253__BCL2_chr18_60985877	94	515	0	199	46	24
CDK4_chr12_58143253__BRAF_chr7_140534469	0	734	2	478	473	43
CDK4_chr12_58143253__BRAF_chr7_140624501	90	127	0	34	345	0
CDK4_chr12_58143253__BRCA1_chr17_41267735	0	0	0	133	0	0
CDK4_chr12_58143253__BRCA2_chr13_32912006	388	987	131	250	414	0
CDK4_chr12_58143253__BRCA2_chr13_32914228	0	177	0	19	261	0
CDK4_chr12_58143253__BRD4_chr19_15376403	319	361	219	378	561	92
CDK4_chr12_58143253__BRD4_chr19_15383894	120	318	61	190	194	172
CDK4_chr12_58143253__BTK_chrX_100645534	23	162	33	78	371	1
CDK4_chr12_58143253__CASP8_chr2_202123033	490	614	177	205	319	692
CDK4_chr12_58143253__CASP8_chr2_202131404	101	419	66	56	56	24
CDK4_chr12_58143253__CASP8_chr2_202134297	131	62	114	541	751	1198
CDK4_chr12_58143253__CDH1_chr16_68772250	1920	488	1559	152	1022	167
CDK4_chr12_58143253__CDK9_chr9_130548409	125	443	0	248	368	149
CDK4_chr12_58143253__CDK9_chr9_130548998	0	136	0	0	213	0
CDK4_chr12_58143253__CDK9_chr9_130550235	250	696	634	319	395	166
CDK4_chr12_58143253__CDKN1B_chr12_12870777	0	295	1	24	0	0
CDK4_chr12_58143253__CDKN2A_chr9_21968726	0	345	1	214	209	198
CDK4_chr12_58143253__CHEK1_chr11_125499147	0	283	0	0	704	1
CDK4_chr12_58143253__CHEK2_chr22_29130694	1	282	0	111	609	0
CDK4_chr12_58143253__DHFR_chr5_79950216	391	130	115	463	379	121
CDK4_chr12_58143253__DHFR_chr5_79950217	0	275	0	262	91	236
CDK4_chr12_58143253__EGFR_chr7_55209992	58	0	0	0	1	0
CDK4_chr12_58143253__ERBB2_chr17_37855800	592	672	122	193	221	130
CDK4_chr12_58143253__ERBB2_chr17_37868292	247	119	387	143	962	33
CDK4_chr12_58143253__FGFR2_chr10_123298118	1095	348	1636	405	567	353
CDK4_chr12_58143253__FGFR2_chr10_123353328	91	483	81	146	311	44
CDK4_chr12_58143253__FGFR3_chr4_1795655	179	350	73	62	14	0
CDK4_chr12_58143253__FGFR3_chr4_1795736	21	308	0	163	12	0
CDK4_chr12_58143253__FLT3_chr13_28674643	414	639	89	101	332	1
CDK4_chr12_58143253__FNTA_chr8_42911471	28	71	0	0	275	0
CDK4_chr12_58143253__FNTA_chr8_42914260	61	220	86	389	987	209
CDK4_chr12_58143253__FNTA_chr8_42924781	243	436	287	342	63	167
CDK4_chr12_58143253__GATA3_chr10_8097722	150	380	265	364	274	841
CDK4_chr12_58143253__HDAC1_chr1_32757816	189	225	247	131	644	0
CDK4_chr12_58143253__HDAC1_chr1_32792637	65	98	3	0	138	0
CDK4_chr12_58143253__HDAC2_chr6_114266539	12	483	0	149	276	113
CDK4_chr12_58143253__HDAC2_chr6_114292056	389	350	465	163	410	0
CDK4_chr12_58143253__HSP90AA1_chr14_102552141	434	451	47	447	579	614
CDK4_chr12_58143253__IGF1R_chr15_99192824	137	310	0	79	396	0
CDK4_chr12_58143253__IGF1R_chr15_99434664	106	417	0	0	23	0
CDK4_chr12_58143253__JAK2_chr9_5021970	202	450	198	294	591	174
CDK4_chr12_58143253__JAK2_chr9_5050721	80	444	50	131	113	0
