construct_id	ln229_cas9trex2B_t0_S5_trimmed53_len_filtered_counts	ln229_cas9B_t0_S3_trimmed53_len_filtered_counts	ln229_cas9trex2A_t0_S4_trimmed53_len_filtered_counts	ln229_cas9A_t0_S2_trimmed53_len_filtered_counts	ln229_parent_t0_S1_trimmed53_len_filtered_counts
ARID2_chr12_46205318__KDM6A_chrX_44820615	1	3	622	761	0
ARID2_chr12_46205318__KDM6A_chrX_44820616	232	156	0	0	2
ARID2_chr12_46205318__KIT_chr4_55524164	2	3	0	3488	1
ARID2_chr12_46205318__KIT_chr4_55524176	0	0	3	465	2
ARID2_chr12_46205318__KIT_chr4_55524229	0	0	0	0	4
ARID2_chr12_46205318__KMT2D_chr12_49448168	1931	1744	1251	495	387
ARID2_chr12_46205318__MAP2K1_chr15_66679756	486	1224	191	385	2759
ARID2_chr12_46205318__MAP3K1_chr5_56152485	174	0	18	2	2
ARID2_chr12_46205318__MET_chr7_116339123	48	3	491	3	2
ARID2_chr12_46205318__MLH1_chr3_37035029	2	48	1	1	2
ARID2_chr12_46205318__MLH1_chr3_37038179	465	1	96	0	2
ARID2_chr12_46205318__MSH6_chr2_48010356	71	1857	62	354	2
ARID2_chr12_46205318__MSH6_chr2_48018111	381	1	0	331	4
ARID2_chr12_46205318__NF1_chr17_29422308	1373	0	0	2	4
ARID2_chr12_46205318__NF1_chr17_29483038	0	0	0	0	0
ARID2_chr12_46205318__NF1_chr17_29483039	17	1	70	2	0
ARID2_chr12_46205318__NonTargetingControlGuideForHuman0362	240	2	52	1	7
ARID2_chr12_46205318__NonTargetingControlGuideForHuman0412	215	1	387	3	2
ARID2_chr12_46205318__PARP1_chr1_226578301	410	1	486	2	10
ARID2_chr12_46205318__PDGFRA_chr4_55124963	626	4	662	3266	5
ARID2_chr12_46205318__PDGFRA_chr4_55129914	677	3	524	2473	2
ARID2_chr12_46205318__PIK3CA_chr3_178916614	479	2	429	6	2261
ARID2_chr12_46205318__PIK3CA_chr3_178919070	206	0	0	3	4
ARID2_chr12_46205318__PIK3CA_chr3_178919167	1343	0	82	3	1
ARID2_chr12_46205318__PIK3R1_chr5_67576421	14	2	0	1	2
ARID2_chr12_46205318__PRKDC_chr8_48686398	155	2	0	1	3
ARID2_chr12_46205318__PTEN_chr10_89653786	110	364	0	0	0
ARID2_chr12_46205318__PTEN_chr10_89685297	253	2	367	102	3
ARID2_chr12_46205318__RB1_chr13_48878054	31	1	0	0	0
ARID2_chr12_46205318__RB1_chr13_48934148	798	2	0	2	4
ARID2_chr12_46205318__RB1_chr13_48936969	32	5	1323	1	6
ARID2_chr12_46205318__ROR1_chr1_64240072	950	90	95	1	3
ARID2_chr12_46205318__ROR1_chr1_64240089	241	1	0	0	375
ARID2_chr12_46205318__ROR1_chr1_64240143	728	291	2	453	3
ARID2_chr12_46205318__RPS6KB1_chr17_57987922	405	1	410	0	6
ARID2_chr12_46205318__RRM2_chr2_10262728	384	0	0	0	6
ARID2_chr12_46205318__RRM2_chr2_10262957	546	2	193	2	8
ARID2_chr12_46205318__RUNX1_chr21_36252860	1315	278	0	6	1958
ARID2_chr12_46205318__RUNX1_chr21_36421144	298	458	289	2205	2
ARID2_chr12_46205318__SETD2_chr3_47142951	2	3	1260	531	3
ARID2_chr12_46205318__SETD2_chr3_47142972	1196	1	0	0	3
ARID2_chr12_46205318__SETD2_chr3_47205411	457	2	0	2	0
ARID2_chr12_46205318__SMARCA4_chr19_11094819	583	4	0	4	2225
ARID2_chr12_46205318__SMARCA4_chr19_11094851	603	2	38	993	4
ARID2_chr12_46205318__SMARCA4_chr19_11095011	958	1053	0	53	2555
ARID2_chr12_46205318__SMARCB1_chr22_24129339	13	4150	1584	2	4
ARID2_chr12_46205318__SMARCB1_chr22_24133949	642	2935	333	7	2
ARID2_chr12_46205318__SMARCB1_chr22_24133993	1266	1238	386	3	3364
ARID2_chr12_46205318__SMO_chr7_128845081	2	399	246	940	4
ARID2_chr12_46205318__SRC_chr20_36014563	95	1	448	0	1
ARID2_chr12_46205318__SRC_chr20_36022600	112	17	0	3432	8
ARID2_chr12_46205318__TOP1_chr20_39690055	887	1	0	1	1
ARID2_chr12_46205318__TOP1_chr20_39690109	313	0	89	0	0
ARID2_chr12_46205318__TP53_chr17_7577537	396	3	1	1	28
ARID2_chr12_46205318__TP53_chr17_7578373	103	1	27	405	0
ARID2_chr12_46205318__TSC1_chr9_135804256	1507	0	0	879	1
ARID2_chr12_46205318__TYMS_chr18_659656	296	2	0	2	2
ARID2_chr12_46205318__VEGFA_chr6_43738425	1089	149	0	2	2
ARID2_chr12_46205318__VEGFA_chr6_43742077	803	3	0	402	7
ARID2_chr12_46205318__VHL_chr3_10183773	285	10524	410	6	1628
ARID2_chr12_46205318__WEE1_chr11_9595462	0	3	0	10	396
ARID2_chr12_46254608__ABL1_chr9_133738283	189	1	2	1	1
ARID2_chr12_46254608__ABL1_chr9_133738356	806	1	574	27	1578
ARID2_chr12_46254608__ADA_chr20_43257696	496	2	383	1	2
ARID2_chr12_46254608__ADA_chr20_43257769	435	113	1561	1	448
ARID2_chr12_46254608__ADA_chr20_43280245	39	3	185	190	3173
ARID2_chr12_46254608__AKT1_chr14_105239686	86	4	265	4	6206
ARID2_chr12_46254608__ALK_chr2_29541171	138	641	1403	15	8
ARID2_chr12_46254608__ALK_chr2_29541172	425	1962	84	11	5
ARID2_chr12_46254608__ALK_chr2_30143522	770	0	3	1	5
ARID2_chr12_46254608__APC_chr5_112043408	1245	9	931	3760	2426
ARID2_chr12_46254608__APC_chr5_112102023	16	0	0	0	1
ARID2_chr12_46254608__ARID1A_chr1_27056286	1042	6290	802	2786	11
ARID2_chr12_46254608__ARID1A_chr1_27056288	1315	960	536	254	3808
ARID2_chr12_46254608__BCL2_chr18_60795945	1	0	361	0	3
ARID2_chr12_46254608__BRAF_chr7_140534469	3219	2812	177	1446	2
ARID2_chr12_46254608__BRCA1_chr17_41256141	1472	4291	155	4	6
ARID2_chr12_46254608__BRCA1_chr17_41267735	2	0	0	295	0
ARID2_chr12_46254608__BRCA2_chr13_32890586	428	0	2	1	2
ARID2_chr12_46254608__BRCA2_chr13_32912006	1601	2	0	395	14
ARID2_chr12_46254608__BRCA2_chr13_32914228	381	0	898	1	2
ARID2_chr12_46254608__BRD4_chr19_15376361	307	3402	1	1647	1331
ARID2_chr12_46254608__BRD4_chr19_15376403	624	0	0	5	7
ARID2_chr12_46254608__BRD4_chr19_15383894	126	1	260	1	2
ARID2_chr12_46254608__BTK_chrX_100645534	1350	642	108	1	1751
ARID2_chr12_46254608__CASP8_chr2_202123033	477	2	351	1599	2068
ARID2_chr12_46254608__CASP8_chr2_202131404	510	4	140	89	7
ARID2_chr12_46254608__CASP8_chr2_202134297	628	1874	342	4	1110
ARID2_chr12_46254608__CDH1_chr16_68771300	1039	16	2	651	2259
ARID2_chr12_46254608__CDK4_chr12_58143253	167	2	88	0	3
ARID2_chr12_46254608__CDK4_chr12_58145497	548	0	33	849	3
ARID2_chr12_46254608__CDK6_chr7_92244474	771	1175	1	1036	5
ARID2_chr12_46254608__CDK6_chr7_92462628	85	2	9	285	19
ARID2_chr12_46254608__CDK9_chr9_130548409	563	3	488	1941	6
ARID2_chr12_46254608__CDK9_chr9_130550235	1634	1	1	2	3
ARID2_chr12_46254608__CDKN1B_chr12_12871196	4	3	0	1	1
ARID2_chr12_46254608__CDKN2A_chr9_21971100	345	3	348	2599	5
ARID2_chr12_46254608__CHEK1_chr11_125496644	918	7	793	5	5226
ARID2_chr12_46254608__CHEK1_chr11_125496687	623	1	1297	1	1
ARID2_chr12_46254608__CHEK1_chr11_125499147	21	1	0	2303	6
ARID2_chr12_46254608__CHEK2_chr22_29085137	223	30	1260	3	4
ARID2_chr12_46254608__CHEK2_chr22_29090029	2438	85	24	1043	3
ARID2_chr12_46254608__DHFR_chr5_79949819	513	3	85	1	2
ARID2_chr12_46254608__EGFR_chr7_55209986	1087	410	822	3	2
ARID2_chr12_46254608__EGFR_chr7_55209992	425	538	67	1164	7
ARID2_chr12_46254608__ERBB2_chr17_37868221	5	4	0	2	1
ARID2_chr12_46254608__FGFR2_chr10_123298118	1122	3	2923	1	8
ARID2_chr12_46254608__FGFR2_chr10_123353328	485	1230	220	2	7
ARID2_chr12_46254608__FGFR3_chr4_1795655	497	3	353	140	5789
ARID2_chr12_46254608__FGFR3_chr4_1795735	602	2	2	1490	1927
ARID2_chr12_46254608__FLT3_chr13_28636131	607	138	928	5	0
ARID2_chr12_46254608__GATA3_chr10_8097612	271	248	25	5	3924
ARID2_chr12_46254608__GATA3_chr10_8097722	756	0	219	100	1
ARID2_chr12_46254608__HDAC1_chr1_32792601	546	0	203	0	10
ARID2_chr12_46254608__HDAC2_chr6_114266539	1644	2	1	3	1666
ARID2_chr12_46254608__HDAC2_chr6_114267214	1	2	478	1316	5
ARID2_chr12_46254608__HDAC2_chr6_114292056	143	1	1241	349	2
ARID2_chr12_46254608__HDAC6_chrX_48661385	1440	3	1351	4673	7019
ARID2_chr12_46254608__HSP90AA1_chr14_102551760	1060	1345	491	5	7
ARID2_chr12_46254608__IGF1R_chr15_99434664	1044	1154	991	467	3
ARID2_chr12_46254608__JAK2_chr9_5050816	860	0	0	8	1
ARID2_chr12_46254608__KDM5C_chrX_53241021	772	2	394	5	2
ARID2_chr12_46254608__KDM5C_chrX_53254068	83	2	539	0	5
ARID2_chr12_46254608__KDM6A_chrX_44732838	2	1	0	5	4
ARID2_chr12_46254608__KDM6A_chrX_44820615	316	2	0	0	1
ARID2_chr12_46254608__KDM6A_chrX_44820616	1778	0	17	2	0
ARID2_chr12_46254608__KIT_chr4_55524176	745	3838	191	1	6
ARID2_chr12_46254608__KMT2D_chr12_49448168	525	10	114	636	2507
ARID2_chr12_46254608__MAP2K1_chr15_66679721	916	296	46	828	7
ARID2_chr12_46254608__MAP2K1_chr15_66679728	150	0	975	2	3
ARID2_chr12_46254608__MAP2K1_chr15_66679756	352	0	3	1	3
ARID2_chr12_46254608__MAP3K1_chr5_56111382	353	1	353	0	1
ARID2_chr12_46254608__MAP3K1_chr5_56152466	271	3	0	660	738
ARID2_chr12_46254608__MET_chr7_116340207	63	93	223	1	0
ARID2_chr12_46254608__MLH1_chr3_37035029	1078	2094	171	422	826
ARID2_chr12_46254608__MLH1_chr3_37038179	895	7	0	101	15
ARID2_chr12_46254608__MSH6_chr2_48010356	396	0	1	117	2
ARID2_chr12_46254608__MSH6_chr2_48018154	70	1423	128	4	1
ARID2_chr12_46254608__MTOR_chr1_11317010	284	1	258	88	1788
ARID2_chr12_46254608__MTOR_chr1_11317149	21	2840	1	639	0
ARID2_chr12_46254608__MTOR_chr1_11319459	14	1333	0	231	3
ARID2_chr12_46254608__NF1_chr17_29483039	174	1	1024	3	1371
ARID2_chr12_46254608__NonTargetingControlGuideForHuman0362	841	2	719	1	1
ARID2_chr12_46254608__NonTargetingControlGuideForHuman0412	270	973	210	1	1
ARID2_chr12_46254608__PARP1_chr1_226578301	1393	4	0	2326	4
ARID2_chr12_46254608__PDGFRA_chr4_55124932	348	3	0	1	1
ARID2_chr12_46254608__PDGFRA_chr4_55129914	866	2	79	1	1
ARID2_chr12_46254608__PIK3CA_chr3_178919167	661	0	1049	1	1437
ARID2_chr12_46254608__PIK3R1_chr5_67576410	447	1	124	0	4
ARID2_chr12_46254608__PIK3R1_chr5_67576421	598	1	0	742	3
ARID2_chr12_46254608__PTEN_chr10_89653786	38	0	9	306	0
ARID2_chr12_46254608__PTEN_chr10_89685297	243	0	2	4	458
ARID2_chr12_46254608__PTEN_chr10_89711868	15	2	705	2322	4
ARID2_chr12_46254608__ROR1_chr1_64240072	1905	489	286	3	5
ARID2_chr12_46254608__ROR1_chr1_64240089	402	1242	553	936	1127
ARID2_chr12_46254608__ROR1_chr1_64240143	902	3	60	381	8
ARID2_chr12_46254608__RPS6KB1_chr17_57970538	926	4	930	2	2
ARID2_chr12_46254608__RPS6KB1_chr17_57987949	1215	171	1137	1935	4598
ARID2_chr12_46254608__RUNX1_chr21_36252902	844	2	0	1065	3310
ARID2_chr12_46254608__RUNX1_chr21_36421144	156	3	1462	5	5956
ARID2_chr12_46254608__SETD2_chr3_47142951	68	3430	1	4	6
ARID2_chr12_46254608__SETD2_chr3_47142972	30	2327	28	2319	3
ARID2_chr12_46254608__SETD2_chr3_47205411	403	0	1177	2	1
ARID2_chr12_46254608__SMAD4_chr18_48573460	736	0	1	12	1
ARID2_chr12_46254608__SMAD4_chr18_48575673	77	0	0	1133	2
ARID2_chr12_46254608__SMAD4_chr18_48586241	340	3589	0	84	4
ARID2_chr12_46254608__SMARCB1_chr22_24129339	225	0	1	99	2
ARID2_chr12_46254608__SMARCB1_chr22_24133993	379	2	0	74	3097
ARID2_chr12_46254608__SMO_chr7_128845081	1469	1751	317	958	6
ARID2_chr12_46254608__SRC_chr20_36014563	7	973	333	2513	12971
ARID2_chr12_46254608__TOP1_chr20_39690055	0	0	0	1	2
ARID2_chr12_46254608__TP53_chr17_7577537	1600	12519	637	1070	9
ARID2_chr12_46254608__TSC1_chr9_135796796	717	3	0	0	7
ARID2_chr12_46254608__TYMS_chr18_657730	822	5	21	293	3354
ARID2_chr12_46254608__TYMS_chr18_659665	330	1	20	2611	3
ARID2_chr12_46254608__VEGFA_chr6_43738425	45	4	1032	98	315
ARID2_chr12_46254608__VHL_chr3_10183518	1662	7	0	522	1
ARID2_chr12_46254608__VHL_chr3_10183773	1395	4	0	1	213
ARID2_chr12_46254608__VHL_chr3_10183791	363	1	94	804	4
ARID2_chr12_46254608__WEE1_chr11_9595845	284	177	0	1	2
ATM_chr11_108098350__ADA_chr20_43257769	435	0	255	1096	2
ATM_chr11_108098350__ADA_chr20_43280245	363	1494	754	2920	266
ATM_chr11_108098350__AKT1_chr14_105239609	34	0	944	1	2136
ATM_chr11_108098350__APC_chr5_112043408	801	98	77	2851	476
ATM_chr11_108098350__APC_chr5_112102023	573	0	1	1616	2
ATM_chr11_108098350__ARID1A_chr1_27056286	584	0	0	1213	3
ATM_chr11_108098350__ARID1A_chr1_27056288	164	0	1	1	4
ATM_chr11_108098350__ARID2_chr12_46123614	536	0	0	3	0
ATM_chr11_108098350__ARID2_chr12_46205318	2	2	0	0	2221
ATM_chr11_108098350__ARID2_chr12_46254608	669	1	0	1	1
ATM_chr11_108098350__BCL2_chr18_60795960	1157	2	0	740	844
ATM_chr11_108098350__BCL2_chr18_60985877	0	0	0	3	0
ATM_chr11_108098350__BRAF_chr7_140534469	1126	491	1	1	2
ATM_chr11_108098350__BRAF_chr7_140624501	334	0	1064	6	4977
ATM_chr11_108098350__BRCA1_chr17_41267735	657	3	0	1879	255
ATM_chr11_108098350__BRCA1_chr17_41276018	697	2923	103	1	2
ATM_chr11_108098350__BRCA2_chr13_32912006	26	3201	50	3	1207
ATM_chr11_108098350__BRD4_chr19_15376361	0	0	0	1	4
ATM_chr11_108098350__BRD4_chr19_15376403	2	2	1	0	1
ATM_chr11_108098350__BTK_chrX_100626613	0	16	0	310	0
ATM_chr11_108098350__CASP8_chr2_202134297	51	4	1	117	6445
ATM_chr11_108098350__CDH1_chr16_68771300	297	5	1	3	1
ATM_chr11_108098350__CDH1_chr16_68772250	718	2	114	2	3
ATM_chr11_108098350__CDK4_chr12_58143253	543	0	94	261	3
ATM_chr11_108098350__CDK4_chr12_58144705	1172	1	128	1749	2013
ATM_chr11_108098350__CDK4_chr12_58145497	149	0	0	4	2
ATM_chr11_108098350__CDK6_chr7_92244474	188	3	51	162	249
ATM_chr11_108098350__CDK6_chr7_92252365	17	2243	559	1671	1211
ATM_chr11_108098350__CDK9_chr9_130548409	223	2226	45	922	2
ATM_chr11_108098350__CDKN1B_chr12_12871196	54	2	44	2	1
ATM_chr11_108098350__CDKN2A_chr9_21968726	282	2918	0	3152	4
ATM_chr11_108098350__CHEK1_chr11_125496644	106	12	639	1	0
ATM_chr11_108098350__CHEK1_chr11_125496687	623	4	0	645	2
ATM_chr11_108098350__CHEK1_chr11_125499147	695	0	948	1281	5
ATM_chr11_108098350__CHEK2_chr22_29085137	93	0	28	4	4
ATM_chr11_108098350__DHFR_chr5_79949819	39	1302	0	2	0
ATM_chr11_108098350__ERBB2_chr17_37855800	1036	0	1	3	0
ATM_chr11_108098350__ERBB2_chr17_37868221	8	0	0	1	3
ATM_chr11_108098350__ERBB2_chr17_37868292	51	504	102	24	898
ATM_chr11_108098350__FGFR2_chr10_123298118	607	1	0	19	5
ATM_chr11_108098350__FGFR2_chr10_123298215	0	0	0	0	0
ATM_chr11_108098350__FGFR3_chr4_1795655	1469	1	1	1	2
ATM_chr11_108098350__FGFR3_chr4_1795735	83	1	116	3717	4
ATM_chr11_108098350__FLT3_chr13_28636172	83	0	0	0	3
ATM_chr11_108098350__FLT3_chr13_28674643	218	0	40	766	1
ATM_chr11_108098350__FNTA_chr8_42911471	674	0	0	510	398
ATM_chr11_108098350__GATA3_chr10_8097612	71	1	2	3464	197
ATM_chr11_108098350__GATA3_chr10_8097722	179	0	0	1	1
ATM_chr11_108098350__GATA3_chr10_8097790	0	395	105	3	0
ATM_chr11_108098350__HDAC1_chr1_32757816	0	281	123	4	1237
ATM_chr11_108098350__HDAC2_chr6_114266539	156	1	0	0	1
ATM_chr11_108098350__HDAC6_chrX_48661089	61	1010	0	1604	1
ATM_chr11_108098350__HDAC6_chrX_48661385	713	4	724	1	6
ATM_chr11_108098350__HDAC6_chrX_48674389	120	0	1	0	2
ATM_chr11_108098350__HSP90AA1_chr14_102551760	46	1	0	3	0
ATM_chr11_108098350__IGF1R_chr15_99434664	388	0	1	265	61
ATM_chr11_108098350__IGF1R_chr15_99434807	110	1803	566	1153	3
ATM_chr11_108098350__KDM6A_chrX_44820615	1	589	0	1233	0
ATM_chr11_108098350__KDM6A_chrX_44820616	416	1	279	1764	1
ATM_chr11_108098350__KIT_chr4_55524164	102	3140	98	0	1
ATM_chr11_108098350__KIT_chr4_55524176	243	1	749	0	2
ATM_chr11_108098350__KIT_chr4_55524229	1	2	447	2	3651
ATM_chr11_108098350__KMT2D_chr12_49448168	0	1320	1	3	744
ATM_chr11_108098350__MAP2K1_chr15_66679728	69	1162	1	2	0
ATM_chr11_108098350__MAP2K1_chr15_66679756	250	2	1	3	2
ATM_chr11_108098350__MAP3K1_chr5_56111382	0	1	0	2	0
ATM_chr11_108098350__MAP3K1_chr5_56152485	700	2	1	0	5
ATM_chr11_108098350__MET_chr7_116340188	562	0	952	2	1
ATM_chr11_108098350__MET_chr7_116340207	106	0	120	2	5
ATM_chr11_108098350__MLH1_chr3_37045912	67	0	1	1	0
ATM_chr11_108098350__MSH6_chr2_48010356	1829	358	1129	205	3626
ATM_chr11_108098350__MSH6_chr2_48018111	575	2	0	149	1
ATM_chr11_108098350__MSH6_chr2_48018154	43	0	0	0	2
ATM_chr11_108098350__MTOR_chr1_11319459	297	0	0	221	1
ATM_chr11_108098350__NF1_chr17_29422308	237	0	651	243	2
ATM_chr11_108098350__NF1_chr17_29483038	1126	5733	293	6	2
ATM_chr11_108098350__NF1_chr17_29483039	283	0	63	1	2
ATM_chr11_108098350__NonTargetingControlGuideForHuman0352	976	163	2	3	1
ATM_chr11_108098350__PBRM1_chr3_52696257	2	3	232	874	4120
ATM_chr11_108098350__PBRM1_chr3_52702516	2	2	99	3	2
ATM_chr11_108098350__PDGFRA_chr4_55129914	6	5	90	1732	3881
ATM_chr11_108098350__PIK3CA_chr3_178916614	223	2	479	6	4420
ATM_chr11_108098350__PIK3CA_chr3_178919070	287	1	0	0	816
ATM_chr11_108098350__PIK3CA_chr3_178919167	539	1	407	0	3
ATM_chr11_108098350__PIK3R1_chr5_67522521	281	2	0	2967	3
ATM_chr11_108098350__PIK3R1_chr5_67576421	5	1	1	3112	2397
ATM_chr11_108098350__PRKDC_chr8_48686398	358	0	0	0	1
ATM_chr11_108098350__PRKDC_chr8_48686781	1482	1503	3	202	8470
ATM_chr11_108098350__PTEN_chr10_89685297	328	1	719	322	4
ATM_chr11_108098350__RB1_chr13_48934148	0	0	0	0	0
ATM_chr11_108098350__ROR1_chr1_64240072	0	2	1	0	0
ATM_chr11_108098350__ROR1_chr1_64240143	281	19	2	0	4
ATM_chr11_108098350__RPS6KB1_chr17_57987949	71	562	719	3003	5
ATM_chr11_108098350__RRM2_chr2_10262728	64	0	0	0	3
ATM_chr11_108098350__RRM2_chr2_10262940	0	0	0	1156	6
ATM_chr11_108098350__RRM2_chr2_10262957	48	1	1321	1365	3
ATM_chr11_108098350__SETD2_chr3_47142951	0	2	231	0	1
ATM_chr11_108098350__SETD2_chr3_47205411	615	0	1	871	0
ATM_chr11_108098350__SMAD4_chr18_48575673	161	0	201	0	0
ATM_chr11_108098350__SMAD4_chr18_48586241	1564	626	8	690	1
ATM_chr11_108098350__SMARCA4_chr19_11094819	569	1	257	1	6
ATM_chr11_108098350__SMARCA4_chr19_11095011	388	0	1	0	1
ATM_chr11_108098350__SMO_chr7_128828974	529	3	0	826	1526
ATM_chr11_108098350__SMO_chr7_128845081	614	0	0	863	5
ATM_chr11_108098350__SMO_chr7_128845117	15	248	0	3	0
ATM_chr11_108098350__SRC_chr20_36022600	307	1042	670	7	4337
ATM_chr11_108098350__TP53_chr17_7578373	0	0	0	0	3
ATM_chr11_108098350__TP53_chr17_7579881	302	869	0	1	1
ATM_chr11_108098350__VEGFA_chr6_43738425	562	631	0	2	2
ATM_chr11_108098350__VEGFA_chr6_43742108	1	0	0	1	1
ATM_chr11_108098390__ADA_chr20_43257696	201	2	694	543	4
ATM_chr11_108098390__ADA_chr20_43257769	119	5	58	0	7
ATM_chr11_108098390__ADA_chr20_43280245	410	0	398	1882	299
ATM_chr11_108098390__AKT1_chr14_105239609	1303	2	90	1952	4
ATM_chr11_108098390__APC_chr5_112043408	899	1166	994	2118	7532
ATM_chr11_108098390__ARID2_chr12_46254608	829	4686	393	872	4609
ATM_chr11_108098390__BCL2_chr18_60795945	718	1871	641	1630	5
ATM_chr11_108098390__BCL2_chr18_60795960	951	96	0	1	2742
ATM_chr11_108098390__BCL2_chr18_60985877	1968	2	814	267	2
ATM_chr11_108098390__BRAF_chr7_140534469	779	0	357	2	159
ATM_chr11_108098390__BRCA1_chr17_41256141	273	4814	0	3	5
ATM_chr11_108098390__BRCA1_chr17_41267735	1	1	1	0	0
ATM_chr11_108098390__BRCA1_chr17_41276018	0	1	0	0	9
ATM_chr11_108098390__BRCA2_chr13_32914228	253	2635	209	2	6
ATM_chr11_108098390__BRD4_chr19_15376403	335	3	494	3875	2312
ATM_chr11_108098390__BRD4_chr19_15383894	110	1	0	1	2
ATM_chr11_108098390__BTK_chrX_100629565	473	2877	399	137	2
ATM_chr11_108098390__CDH1_chr16_68771300	1314	1083	12	3	1
ATM_chr11_108098390__CDK4_chr12_58145497	903	5	1	0	1
ATM_chr11_108098390__CDK6_chr7_92244474	493	0	0	0	2
ATM_chr11_108098390__CDK6_chr7_92462628	1	2	0	1	0
ATM_chr11_108098390__CDKN1B_chr12_12870931	525	409	1	7	5615
ATM_chr11_108098390__CDKN1B_chr12_12871196	1362	0	631	1	6
ATM_chr11_108098390__CDKN2A_chr9_21971100	1547	1446	665	1669	5
ATM_chr11_108098390__CDKN2A_chr9_21994327	0	0	1753	2	3
ATM_chr11_108098390__CHEK2_chr22_29090029	1	1346	209	6	4296
ATM_chr11_108098390__DHFR_chr5_79949819	136	0	0	0	295
ATM_chr11_108098390__ERBB2_chr17_37855800	127	3	113	2883	4670
ATM_chr11_108098390__ERBB2_chr17_37868292	320	3811	4	0	1
ATM_chr11_108098390__FGFR2_chr10_123298118	3	3313	114	3	2
ATM_chr11_108098390__FGFR3_chr4_1795655	487	401	0	0	3
ATM_chr11_108098390__FGFR3_chr4_1795735	1963	4	586	3	2047
ATM_chr11_108098390__FGFR3_chr4_1795736	300	142	0	1	7
ATM_chr11_108098390__FLT3_chr13_28636131	1032	1	0	2	2
ATM_chr11_108098390__FLT3_chr13_28636172	457	0	0	2	4
ATM_chr11_108098390__FLT3_chr13_28674643	764	1	685	2	1
ATM_chr11_108098390__GATA3_chr10_8097722	57	1	128	7	4
ATM_chr11_108098390__GATA3_chr10_8097790	207	1	0	214	3
ATM_chr11_108098390__HDAC1_chr1_32792601	517	1	716	1351	6
ATM_chr11_108098390__HDAC2_chr6_114267214	141	1	0	0	1
ATM_chr11_108098390__HDAC2_chr6_114292056	600	1148	0	1691	4
ATM_chr11_108098390__HDAC6_chrX_48661089	444	0	1	1	4
ATM_chr11_108098390__HDAC6_chrX_48674389	567	1	73	2	2622
ATM_chr11_108098390__HSP90AA1_chr14_102551760	434	1	44	0	3
ATM_chr11_108098390__HSP90AA1_chr14_102605736	740	827	0	5	4
ATM_chr11_108098390__JAK2_chr9_5021970	430	1	1	5	1753
ATM_chr11_108098390__KDM5C_chrX_53241021	0	0	0	2	2
ATM_chr11_108098390__KDM6A_chrX_44820615	147	2316	137	189	1
ATM_chr11_108098390__KIT_chr4_55524176	140	3	30	2	1593
ATM_chr11_108098390__KIT_chr4_55524229	666	3	691	769	6
ATM_chr11_108098390__KMT2D_chr12_49448161	422	4	20	426	0
ATM_chr11_108098390__KMT2D_chr12_49448168	248	4	419	1004	1
ATM_chr11_108098390__MAP2K1_chr15_66679721	642	502	150	316	3
ATM_chr11_108098390__MAP2K1_chr15_66679728	103	0	0	2112	9
ATM_chr11_108098390__MAP3K1_chr5_56111382	268	1	0	0	1
ATM_chr11_108098390__MAP3K1_chr5_56152485	781	1959	81	616	0
ATM_chr11_108098390__MET_chr7_116339123	176	0	0	1	429
ATM_chr11_108098390__MLH1_chr3_37038179	928	2	23	192	3
ATM_chr11_108098390__MTOR_chr1_11317010	1099	1	573	221	3
ATM_chr11_108098390__MTOR_chr1_11317149	1233	3776	1	4	3
ATM_chr11_108098390__NF1_chr17_29483038	1197	2	1034	2	2184
ATM_chr11_108098390__NonTargetingControlGuideForHuman0362	508	5	75	2	4556
ATM_chr11_108098390__NonTargetingControlGuideForHuman0412	385	3	0	5	2388
ATM_chr11_108098390__PARP1_chr1_226578249	77	1870	0	130	129
ATM_chr11_108098390__PARP1_chr1_226578301	641	4	1372	522	2913
ATM_chr11_108098390__PARP1_chr1_226595581	366	0	528	3	7
ATM_chr11_108098390__PBRM1_chr3_52696257	653	4	415	1502	1889
ATM_chr11_108098390__PDGFRA_chr4_55124932	87	0	0	1	3
ATM_chr11_108098390__PDGFRA_chr4_55129914	119	4	330	3	2
ATM_chr11_108098390__PIK3R1_chr5_67522521	0	1	0	6	1
ATM_chr11_108098390__PRKDC_chr8_48686781	1051	570	0	4321	3
ATM_chr11_108098390__PRKDC_chr8_48872683	1617	1	657	4018	7
ATM_chr11_108098390__PTEN_chr10_89653786	105	0	172	74	0
ATM_chr11_108098390__RB1_chr13_48878054	869	0	354	0	2
ATM_chr11_108098390__RB1_chr13_48934148	0	2	2	2	0
ATM_chr11_108098390__RB1_chr13_48936969	645	311	362	1624	3899
ATM_chr11_108098390__ROR1_chr1_64240072	553	1	751	1974	1759
ATM_chr11_108098390__ROR1_chr1_64240089	1291	27	1179	1117	4
ATM_chr11_108098390__RRM2_chr2_10262728	6	672	82	1	678
ATM_chr11_108098390__RUNX1_chr21_36252860	928	177	0	4	45
ATM_chr11_108098390__SETD2_chr3_47142951	193	0	139	665	4
ATM_chr11_108098390__SETD2_chr3_47142972	223	3	46	490	3
ATM_chr11_108098390__SMAD4_chr18_48573460	642	240	111	0	3
ATM_chr11_108098390__SMAD4_chr18_48586241	136	1623	0	4	2
ATM_chr11_108098390__SMARCA4_chr19_11094819	754	2	1001	1149	846
ATM_chr11_108098390__SMARCA4_chr19_11095011	751	3	164	3	4772
