construct_id	RuCTAt14_S6_trimmed53_len_filtered_counts	RuCTBt14_S7_trimmed53_len_filtered_counts
ATM_chr11_108098350__ERBB2_chr17_37855800	305	25
ATM_chr11_108098350__ERBB2_chr17_37868221	284	258
ATM_chr11_108098350__ERBB2_chr17_37868292	348	23
ATM_chr11_108098350__FGFR2_chr10_123298118	11	66
ATM_chr11_108098350__FGFR2_chr10_123298215	21	11
ATM_chr11_108098350__FGFR3_chr4_1795655	115	568
ATM_chr11_108098350__FGFR3_chr4_1795735	367	110
ATM_chr11_108098350__FLT3_chr13_28636172	66	76
ATM_chr11_108098350__FLT3_chr13_28674643	12	26
ATM_chr11_108098350__FNTA_chr8_42911471	53	21
ATM_chr11_108098350__GATA3_chr10_8097612	588	149
ATM_chr11_108098350__GATA3_chr10_8097722	11	141
ATM_chr11_108098350__GATA3_chr10_8097790	246	334
ATM_chr11_108098350__HDAC1_chr1_32757816	1043	16
ATM_chr11_108098350__HDAC2_chr6_114266539	145	208
ATM_chr11_108098350__HDAC6_chrX_48661089	91	84
ATM_chr11_108098350__HDAC6_chrX_48661385	179	23
ATM_chr11_108098350__HDAC6_chrX_48674389	10	90
ATM_chr11_108098350__HSP90AA1_chr14_102551760	248	21
ATM_chr11_108098350__IGF1R_chr15_99434664	248	374
ATM_chr11_108098350__IGF1R_chr15_99434807	65	23
ATM_chr11_108098350__KDM6A_chrX_44820615	121	13
ATM_chr11_108098350__KDM6A_chrX_44820616	8	66
ATM_chr11_108098350__KIT_chr4_55524164	65	321
ATM_chr11_108098350__KIT_chr4_55524176	132	386
ATM_chr11_108098350__KIT_chr4_55524229	128	58
ATM_chr11_108098350__KMT2D_chr12_49448168	575	1031
ATM_chr11_108098350__MAP2K1_chr15_66679728	14	109
ATM_chr11_108098350__MAP2K1_chr15_66679756	19	14
ATM_chr11_108098350__MAP3K1_chr5_56111382	186	4
ATM_chr11_108098350__MAP3K1_chr5_56152485	52	492
ATM_chr11_108098350__MET_chr7_116340188	779	110
ATM_chr11_108098350__MET_chr7_116340207	16	22
ATM_chr11_108098350__MLH1_chr3_37045912	9	245
ATM_chr11_108098350__MSH6_chr2_48010356	161	468
ATM_chr11_108098350__MSH6_chr2_48018111	23	141
ATM_chr11_108098350__MSH6_chr2_48018154	2	16
ATM_chr11_108098350__MTOR_chr1_11319459	8	710
ATM_chr11_108098350__NF1_chr17_29422308	126	113
ATM_chr11_108098350__NF1_chr17_29483038	123	13
ATM_chr11_108098350__NF1_chr17_29483039	65	18
ATM_chr11_108098350__NonTargetingControlGuideForHuman0352	14	34
ATM_chr11_108098350__PBRM1_chr3_52696257	415	80
ATM_chr11_108098350__PBRM1_chr3_52702516	37	120
ATM_chr11_108098350__PDGFRA_chr4_55129914	431	154
ATM_chr11_108098350__PIK3CA_chr3_178916614	629	226
ATM_chr11_108098350__PIK3CA_chr3_178919070	211	442
ATM_chr11_108098350__PIK3CA_chr3_178919167	89	207
ATM_chr11_108098350__PIK3R1_chr5_67522521	1045	20
ATM_chr11_108098350__PIK3R1_chr5_67576421	66	49
ATM_chr11_108098350__PRKDC_chr8_48686398	32	22
ATM_chr11_108098350__PRKDC_chr8_48686781	16	489
ATM_chr11_108098350__PTEN_chr10_89685297	247	17
ATM_chr11_108098350__RB1_chr13_48934148	3	147
ATM_chr11_108098350__ROR1_chr1_64240072	217	141
ATM_chr11_108098350__ROR1_chr1_64240143	62	85
ATM_chr11_108098350__RPS6KB1_chr17_57987949	125	359
ATM_chr11_108098350__RRM2_chr2_10262728	2	845
ATM_chr11_108098350__RRM2_chr2_10262940	241	47
ATM_chr11_108098350__RRM2_chr2_10262957	24	7
ATM_chr11_108098350__SETD2_chr3_47142951	7	58
ATM_chr11_108098350__SETD2_chr3_47205411	215	139
ATM_chr11_108098350__SMAD4_chr18_48575673	10	16
ATM_chr11_108098350__SMAD4_chr18_48586241	143	1568
ATM_chr11_108098350__SMARCA4_chr19_11094819	314	518
ATM_chr11_108098350__SMARCA4_chr19_11095011	373	716
ATM_chr11_108098350__SMO_chr7_128828974	320	58
ATM_chr11_108098350__SMO_chr7_128845081	49	109
ATM_chr11_108098350__SMO_chr7_128845117	8	60
ATM_chr11_108098350__SRC_chr20_36022600	259	21
ATM_chr11_108098350__TP53_chr17_7578373	8	160
ATM_chr11_108098350__TP53_chr17_7579881	143	177
ATM_chr11_108098350__VEGFA_chr6_43738425	249	16
ATM_chr11_108098350__VEGFA_chr6_43742108	3	64
ATM_chr11_108098390__ADA_chr20_43257696	271	62
ATM_chr11_108098390__ADA_chr20_43257769	377	149
ATM_chr11_108098390__ADA_chr20_43280245	362	25
ATM_chr11_108098390__AKT1_chr14_105239609	74	697
ATM_chr11_108098390__APC_chr5_112043408	738	181
ATM_chr11_108098390__ARID2_chr12_46254608	640	582
ATM_chr11_108098390__BCL2_chr18_60795945	1807	33
ATM_chr11_108098390__BCL2_chr18_60795960	692	147
ATM_chr11_108098390__BCL2_chr18_60985877	80	56
ATM_chr11_108098390__BRAF_chr7_140534469	146	358
ATM_chr11_108098390__BRCA1_chr17_41256141	620	112
ATM_chr11_108098390__BRCA1_chr17_41267735	5	6
ATM_chr11_108098390__BRCA1_chr17_41276018	96	4
ATM_chr11_108098390__BRCA2_chr13_32914228	12	14
ATM_chr11_108098390__BRD4_chr19_15376403	414	245
ATM_chr11_108098390__BRD4_chr19_15383894	9	126
ATM_chr11_108098390__BTK_chrX_100629565	661	85
ATM_chr11_108098390__CDH1_chr16_68771300	617	997
ATM_chr11_108098390__CDK4_chr12_58145497	440	16
ATM_chr11_108098390__CDK6_chr7_92244474	41	33
ATM_chr11_108098390__CDK6_chr7_92462628	9	6
ATM_chr11_108098390__CDKN1B_chr12_12870931	227	93
ATM_chr11_108098390__CDKN1B_chr12_12871196	114	118
ATM_chr11_108098390__CDKN2A_chr9_21971100	636	484
ATM_chr11_108098390__CDKN2A_chr9_21994327	550	28
ATM_chr11_108098390__CHEK2_chr22_29090029	10	21
ATM_chr11_108098390__DHFR_chr5_79949819	14	32
ATM_chr11_108098390__ERBB2_chr17_37855800	28	21
ATM_chr11_108098390__ERBB2_chr17_37868292	225	102
ATM_chr11_108098390__FGFR2_chr10_123298118	338	270
ATM_chr11_108098390__FGFR3_chr4_1795655	10	79
ATM_chr11_108098390__FGFR3_chr4_1795735	578	468
ATM_chr11_108098390__FGFR3_chr4_1795736	206	21
ATM_chr11_108098390__FLT3_chr13_28636131	91	18
ATM_chr11_108098390__FLT3_chr13_28636172	152	55
ATM_chr11_108098390__FLT3_chr13_28674643	555	260
ATM_chr11_108098390__GATA3_chr10_8097722	64	114
ATM_chr11_108098390__GATA3_chr10_8097790	368	368
ATM_chr11_108098390__HDAC1_chr1_32792601	21	18
ATM_chr11_108098390__HDAC2_chr6_114267214	185	33
ATM_chr11_108098390__HDAC2_chr6_114292056	212	134
ATM_chr11_108098390__HDAC6_chrX_48661089	496	40
ATM_chr11_108098390__HDAC6_chrX_48674389	219	235
ATM_chr11_108098390__HSP90AA1_chr14_102551760	143	261
ATM_chr11_108098390__HSP90AA1_chr14_102605736	775	82
ATM_chr11_108098390__JAK2_chr9_5021970	112	128
ATM_chr11_108098390__KDM5C_chrX_53241021	9	27
ATM_chr11_108098390__KDM6A_chrX_44820615	295	119
ATM_chr11_108098390__KIT_chr4_55524176	157	38
ATM_chr11_108098390__KIT_chr4_55524229	278	183
ATM_chr11_108098390__KMT2D_chr12_49448161	520	116
ATM_chr11_108098390__KMT2D_chr12_49448168	594	1034
ATM_chr11_108098390__MAP2K1_chr15_66679721	208	70
ATM_chr11_108098390__MAP2K1_chr15_66679728	445	312
ATM_chr11_108098390__MAP3K1_chr5_56111382	4	63
ATM_chr11_108098390__MAP3K1_chr5_56152485	113	474
ATM_chr11_108098390__MET_chr7_116339123	7	13
ATM_chr11_108098390__MLH1_chr3_37038179	851	459
ATM_chr11_108098390__MTOR_chr1_11317010	231	51
ATM_chr11_108098390__MTOR_chr1_11317149	187	12
ATM_chr11_108098390__NF1_chr17_29483038	622	138
ATM_chr11_108098390__NonTargetingControlGuideForHuman0362	31	88
ATM_chr11_108098390__NonTargetingControlGuideForHuman0412	798	55
ATM_chr11_108098390__PARP1_chr1_226578249	868	30
ATM_chr11_108098390__PARP1_chr1_226578301	6	132
ATM_chr11_108098390__PARP1_chr1_226595581	158	108
ATM_chr11_108098390__PBRM1_chr3_52696257	508	75
ATM_chr11_108098390__PDGFRA_chr4_55124932	396	90
ATM_chr11_108098390__PDGFRA_chr4_55129914	20	93
ATM_chr11_108098390__PIK3R1_chr5_67522521	163	38
ATM_chr11_108098390__PRKDC_chr8_48686781	378	237
ATM_chr11_108098390__PRKDC_chr8_48872683	79	27
ATM_chr11_108098390__PTEN_chr10_89653786	7	35
ATM_chr11_108098390__RB1_chr13_48878054	62	121
ATM_chr11_108098390__RB1_chr13_48934148	13	17
ATM_chr11_108098390__RB1_chr13_48936969	23	116
ATM_chr11_108098390__ROR1_chr1_64240072	617	581
ATM_chr11_108098390__ROR1_chr1_64240089	942	62
ATM_chr11_108098390__RRM2_chr2_10262728	31	14
ATM_chr11_108098390__RUNX1_chr21_36252860	744	343
ATM_chr11_108098390__SETD2_chr3_47142951	121	353
ATM_chr11_108098390__SETD2_chr3_47142972	69	155
ATM_chr11_108098390__SMAD4_chr18_48573460	347	152
ATM_chr11_108098390__SMAD4_chr18_48586241	15	739
ATM_chr11_108098390__SMARCA4_chr19_11094819	358	55
ATM_chr11_108098390__SMARCA4_chr19_11095011	1364	120
ATM_chr11_108098390__SMARCB1_chr22_24133949	1088	301
ATM_chr11_108098390__SMARCB1_chr22_24133993	323	95
ATM_chr11_108098390__SMO_chr7_128828974	208	28
ATM_chr11_108098390__SMO_chr7_128845117	398	823
ATM_chr11_108098390__SRC_chr20_36022600	651	22
ATM_chr11_108098390__TP53_chr17_7578373	41	29
ATM_chr11_108098390__TP53_chr17_7579881	235	31
ATM_chr11_108098390__TSC1_chr9_135796796	238	381
ATM_chr11_108098390__TYMS_chr18_659665	815	518
ATM_chr11_108098390__VHL_chr3_10183518	95	160
ATM_chr11_108098390__VHL_chr3_10183791	9	9
ATM_chr11_108098390__WEE1_chr11_9595542	102	24
ATM_chr11_108098390__WEE1_chr11_9595845	6	216
ATM_chr11_108098402__ABL1_chr9_133589790	64	7
ATM_chr11_108098402__ABL1_chr9_133738283	379	16
ATM_chr11_108098402__ADA_chr20_43257769	8	54
ATM_chr11_108098402__ADA_chr20_43280245	236	1159
ATM_chr11_108098402__ALK_chr2_29541171	50	14
ATM_chr11_108098402__APC_chr5_112102933	264	89
ATM_chr11_108098402__ARID1A_chr1_27056286	240	18
ATM_chr11_108098402__ARID1A_chr1_27056288	59	53
ATM_chr11_108098402__ARID2_chr12_46205318	243	7
ATM_chr11_108098402__ARID2_chr12_46254608	15	8
ATM_chr11_108098402__BCL2_chr18_60795945	28	139
ATM_chr11_108098402__BRAF_chr7_140534469	73	232
ATM_chr11_108098402__BRCA1_chr17_41267735	1	5
ATM_chr11_108098402__BRCA2_chr13_32914228	887	7
ATM_chr11_108098402__BRD4_chr19_15383894	5	362
ATM_chr11_108098402__BTK_chrX_100629565	4	107
ATM_chr11_108098402__BTK_chrX_100645534	12	11
ATM_chr11_108098402__CASP8_chr2_202123033	1	45
ATM_chr11_108098402__CDK4_chr12_58144705	7	26
ATM_chr11_108098402__CDK6_chr7_92244474	266	19
ATM_chr11_108098402__CDK6_chr7_92252365	41	13
ATM_chr11_108098402__CDK9_chr9_130548998	1	2
ATM_chr11_108098402__CDKN1B_chr12_12870777	3	354
ATM_chr11_108098402__CDKN1B_chr12_12870931	214	8
ATM_chr11_108098402__CDKN2A_chr9_21968726	2	7
ATM_chr11_108098402__CDKN2A_chr9_21994327	391	94
ATM_chr11_108098402__CHEK2_chr22_29090029	260	3
ATM_chr11_108098402__CHEK2_chr22_29130694	96	636
ATM_chr11_108098402__DHFR_chr5_79949819	157	7
ATM_chr11_108098402__DHFR_chr5_79950217	7	149
ATM_chr11_108098402__EGFR_chr7_55086962	3	49
ATM_chr11_108098402__EGFR_chr7_55209992	2	13
ATM_chr11_108098402__ERBB2_chr17_37855800	60	30
ATM_chr11_108098402__ERBB2_chr17_37868221	542	1408
ATM_chr11_108098402__ERBB2_chr17_37868292	33	42
ATM_chr11_108098402__FGFR2_chr10_123298118	546	36
ATM_chr11_108098402__FGFR2_chr10_123298215	196	465
ATM_chr11_108098402__FGFR3_chr4_1795735	225	528
ATM_chr11_108098402__FLT3_chr13_28636172	5	8
ATM_chr11_108098402__FNTA_chr8_42924781	11	11
ATM_chr11_108098402__GATA3_chr10_8097790	204	10
ATM_chr11_108098402__HDAC1_chr1_32792601	16	37
ATM_chr11_108098402__HDAC1_chr1_32792637	4	301
ATM_chr11_108098402__HDAC2_chr6_114266539	19	14
ATM_chr11_108098402__HDAC2_chr6_114267214	3	126
ATM_chr11_108098402__HDAC2_chr6_114292056	6	9
ATM_chr11_108098402__HDAC6_chrX_48674389	329	8
ATM_chr11_108098402__HSP90AA1_chr14_102552141	43	8
ATM_chr11_108098402__HSP90AA1_chr14_102605736	21	74
ATM_chr11_108098402__IGF1R_chr15_99434664	7	22
ATM_chr11_108098402__IGF1R_chr15_99434807	6	7
ATM_chr11_108098402__JAK2_chr9_5050816	1	392
ATM_chr11_108098402__KDM5C_chrX_53241021	30	2
ATM_chr11_108098402__KDM5C_chrX_53254068	6	13
ATM_chr11_108098402__KDM6A_chrX_44732838	3	11
ATM_chr11_108098402__KDM6A_chrX_44820615	8	40
ATM_chr11_108098402__KIT_chr4_55524176	2	6
ATM_chr11_108098402__KIT_chr4_55524229	3	13
ATM_chr11_108098402__KMT2D_chr12_49448161	2	13
ATM_chr11_108098402__KMT2D_chr12_49448468	139	80
ATM_chr11_108098402__MAP2K1_chr15_66679728	2	14
ATM_chr11_108098402__MAP2K1_chr15_66679756	41	7
ATM_chr11_108098402__MAP3K1_chr5_56111382	75	3
ATM_chr11_108098402__MAP3K1_chr5_56152466	206	11
ATM_chr11_108098402__MET_chr7_116339123	89	11
ATM_chr11_108098402__MLH1_chr3_37035029	7	25
ATM_chr11_108098402__MTOR_chr1_11317149	72	8
ATM_chr11_108098402__MTOR_chr1_11319459	1	2
ATM_chr11_108098402__NonTargetingControlGuideForHuman0352	200	627
ATM_chr11_108098402__PARP1_chr1_226578301	145	10
ATM_chr11_108098402__PARP1_chr1_226595581	6	85
ATM_chr11_108098402__PBRM1_chr3_52696257	37	19
ATM_chr11_108098402__PBRM1_chr3_52713723	0	8
ATM_chr11_108098402__PDGFRA_chr4_55129914	15	27
ATM_chr11_108098402__PIK3CA_chr3_178919070	5	685
ATM_chr11_108098402__PIK3CA_chr3_178919167	136	25
ATM_chr11_108098402__PIK3R1_chr5_67522521	6	19
ATM_chr11_108098402__PIK3R1_chr5_67576410	480	29
ATM_chr11_108098402__PRKDC_chr8_48686398	113	422
ATM_chr11_108098402__PTEN_chr10_89653786	40	45
ATM_chr11_108098402__RB1_chr13_48878054	3	14
ATM_chr11_108098402__RB1_chr13_48934148	83	36
ATM_chr11_108098402__ROR1_chr1_64240072	130	159
ATM_chr11_108098402__ROR1_chr1_64240089	373	7
ATM_chr11_108098402__ROR1_chr1_64240143	5	44
ATM_chr11_108098402__RPS6KB1_chr17_57970538	27	82
ATM_chr11_108098402__RPS6KB1_chr17_57987949	155	16
ATM_chr11_108098402__RRM2_chr2_10262728	168	109
ATM_chr11_108098402__RRM2_chr2_10262940	18	5
ATM_chr11_108098402__RUNX1_chr21_36252860	527	75
ATM_chr11_108098402__RUNX1_chr21_36252902	125	15
ATM_chr11_108098402__RUNX1_chr21_36421144	163	8
ATM_chr11_108098402__SETD2_chr3_47142951	37	504
ATM_chr11_108098402__SETD2_chr3_47142972	3	10
ATM_chr11_108098402__SMAD4_chr18_48573460	431	309
ATM_chr11_108098402__SMAD4_chr18_48575673	3	11
ATM_chr11_108098402__SMAD4_chr18_48586241	17	7
ATM_chr11_108098402__SMARCB1_chr22_24129339	4	100
ATM_chr11_108098402__SMARCB1_chr22_24133993	2	9
ATM_chr11_108098402__SMO_chr7_128828974	330	249
ATM_chr11_108098402__SMO_chr7_128845081	97	20
ATM_chr11_108098402__SRC_chr20_36012562	12	1279
ATM_chr11_108098402__SRC_chr20_36022600	20	120
ATM_chr11_108098402__TP53_chr17_7577537	324	245
ATM_chr11_108098402__TP53_chr17_7579881	3	34
ATM_chr11_108098402__TSC1_chr9_135796748	399	150
ATM_chr11_108098402__TYMS_chr18_657730	461	74
ATM_chr11_108098402__TYMS_chr18_659656	5	96
ATM_chr11_108098402__TYMS_chr18_659665	100	252
ATM_chr11_108098402__VHL_chr3_10183518	103	11
ATM_chr11_108098402__VHL_chr3_10183773	29	86
ATM_chr11_108098402__WEE1_chr11_9595845	1	106
BCL2_chr18_60795945__ABL1_chr9_133738356	32	1331
BCL2_chr18_60795945__ADA_chr20_43257696	199	335
BCL2_chr18_60795945__ADA_chr20_43280245	177	30
BCL2_chr18_60795945__AKT1_chr14_105239609	7	37
BCL2_chr18_60795945__ALK_chr2_29541171	378	133
BCL2_chr18_60795945__ARID1A_chr1_27056288	11	34
BCL2_chr18_60795945__ARID2_chr12_46123614	31	76
BCL2_chr18_60795945__ARID2_chr12_46205318	63	144
BCL2_chr18_60795945__ATM_chr11_108098350	0	50
BCL2_chr18_60795945__BRCA1_chr17_41256141	1055	471
BCL2_chr18_60795945__BRCA1_chr17_41276018	37	63
BCL2_chr18_60795945__BRCA2_chr13_32890586	5	25
BCL2_chr18_60795945__BTK_chrX_100629565	12	650
BCL2_chr18_60795945__BTK_chrX_100645534	522	1184
BCL2_chr18_60795945__CASP8_chr2_202123033	22	185
BCL2_chr18_60795945__CASP8_chr2_202134297	989	389
BCL2_chr18_60795945__CDH1_chr16_68771300	862	500
BCL2_chr18_60795945__CDH1_chr16_68772250	203	33
BCL2_chr18_60795945__CDK4_chr12_58143253	9	21
BCL2_chr18_60795945__CDK4_chr12_58145497	253	44
BCL2_chr18_60795945__CDK6_chr7_92244474	690	887
BCL2_chr18_60795945__CDK9_chr9_130548409	512	70
BCL2_chr18_60795945__CDK9_chr9_130548998	13	93
BCL2_chr18_60795945__CDK9_chr9_130550235	676	55
BCL2_chr18_60795945__CDKN1B_chr12_12870931	31	164
BCL2_chr18_60795945__CDKN1B_chr12_12871196	238	60
BCL2_chr18_60795945__CDKN2A_chr9_21994327	593	264
BCL2_chr18_60795945__CHEK1_chr11_125496644	180	29
BCL2_chr18_60795945__CHEK1_chr11_125499147	341	133
BCL2_chr18_60795945__CHEK2_chr22_29090029	156	75
BCL2_chr18_60795945__CHEK2_chr22_29130694	64	169
BCL2_chr18_60795945__DHFR_chr5_79949819	12	28
BCL2_chr18_60795945__ERBB2_chr17_37855800	214	29
BCL2_chr18_60795945__ERBB2_chr17_37868221	22	204
BCL2_chr18_60795945__ERBB2_chr17_37868292	14	490
BCL2_chr18_60795945__FGFR3_chr4_1795736	40	1285
BCL2_chr18_60795945__GATA3_chr10_8097722	602	58
BCL2_chr18_60795945__HDAC1_chr1_32757816	261	27
BCL2_chr18_60795945__HDAC1_chr1_32792601	455	530
BCL2_chr18_60795945__HDAC1_chr1_32792637	106	24
BCL2_chr18_60795945__HDAC2_chr6_114266539	250	29
BCL2_chr18_60795945__HDAC6_chrX_48661385	229	1100
BCL2_chr18_60795945__HDAC6_chrX_48674389	12	239
BCL2_chr18_60795945__HSP90AA1_chr14_102552141	64	51
BCL2_chr18_60795945__IGF1R_chr15_99192824	141	579
BCL2_chr18_60795945__IGF1R_chr15_99434807	50	1160
BCL2_chr18_60795945__JAK2_chr9_5050721	318	334
BCL2_chr18_60795945__JAK2_chr9_5050816	351	218
BCL2_chr18_60795945__KDM5C_chrX_53254068	501	792
BCL2_chr18_60795945__KDM6A_chrX_44732838	175	32
BCL2_chr18_60795945__KIT_chr4_55524164	15	225
BCL2_chr18_60795945__KIT_chr4_55524176	9	656
BCL2_chr18_60795945__KMT2D_chr12_49448168	22	327
BCL2_chr18_60795945__KMT2D_chr12_49448468	608	144
BCL2_chr18_60795945__MAP2K1_chr15_66679756	802	185
BCL2_chr18_60795945__MAP3K1_chr5_56111382	4	267
BCL2_chr18_60795945__MAP3K1_chr5_56152485	842	32
BCL2_chr18_60795945__MET_chr7_116339123	175	257
BCL2_chr18_60795945__MET_chr7_116340188	428	271
BCL2_chr18_60795945__MET_chr7_116340207	468	408
BCL2_chr18_60795945__MLH1_chr3_37038179	246	305
BCL2_chr18_60795945__MSH6_chr2_48010356	298	24
BCL2_chr18_60795945__MSH6_chr2_48018111	96	41
BCL2_chr18_60795945__MTOR_chr1_11317010	294	353
BCL2_chr18_60795945__MTOR_chr1_11317149	547	403
BCL2_chr18_60795945__NF1_chr17_29422308	176	98
BCL2_chr18_60795945__NF1_chr17_29483038	124	98
BCL2_chr18_60795945__NonTargetingControlGuideForHuman0352	50	173
BCL2_chr18_60795945__PARP1_chr1_226578249	368	502
BCL2_chr18_60795945__PDGFRA_chr4_55124963	377	142
BCL2_chr18_60795945__PDGFRA_chr4_55129914	67	23
BCL2_chr18_60795945__PIK3CA_chr3_178916614	99	170
BCL2_chr18_60795945__PIK3CA_chr3_178919167	300	1590
BCL2_chr18_60795945__RB1_chr13_48878054	328	478
BCL2_chr18_60795945__RB1_chr13_48936969	1136	40
BCL2_chr18_60795945__ROR1_chr1_64240143	185	657
BCL2_chr18_60795945__RPS6KB1_chr17_57970538	24	903
BCL2_chr18_60795945__RPS6KB1_chr17_57987949	54	385
BCL2_chr18_60795945__RRM2_chr2_10262957	292	19
BCL2_chr18_60795945__RUNX1_chr21_36252902	571	22
BCL2_chr18_60795945__RUNX1_chr21_36421144	208	272
BCL2_chr18_60795945__SETD2_chr3_47142951	84	383
BCL2_chr18_60795945__SMAD4_chr18_48573460	8	18
BCL2_chr18_60795945__SMAD4_chr18_48586241	302	40
BCL2_chr18_60795945__SMARCA4_chr19_11094851	24	145
BCL2_chr18_60795945__SMARCA4_chr19_11095011	500	178
BCL2_chr18_60795945__SMARCB1_chr22_24129339	216	297
BCL2_chr18_60795945__SMARCB1_chr22_24133993	103	154
BCL2_chr18_60795945__SMO_chr7_128828974	50	257
BCL2_chr18_60795945__SMO_chr7_128845081	158	70
BCL2_chr18_60795945__SMO_chr7_128845117	80	948
BCL2_chr18_60795945__SRC_chr20_36012562	40	451
BCL2_chr18_60795945__SRC_chr20_36022600	26	163
BCL2_chr18_60795945__TOP1_chr20_39657693	169	430
BCL2_chr18_60795945__TOP1_chr20_39690109	327	43
BCL2_chr18_60795945__TP53_chr17_7578373	110	225
BCL2_chr18_60795945__TSC1_chr9_135796748	273	992
BCL2_chr18_60795945__TSC1_chr9_135804256	69	19
BCL2_chr18_60795945__TYMS_chr18_659665	64	102
BCL2_chr18_60795945__VEGFA_chr6_43742077	472	853
BCL2_chr18_60795945__VHL_chr3_10183773	30	1073
BCL2_chr18_60795945__VHL_chr3_10183791	201	47
BCL2_chr18_60795945__WEE1_chr11_9595462	1622	51
BCL2_chr18_60795945__WEE1_chr11_9595542	145	186
BCL2_chr18_60795960__ABL1_chr9_133589790	16	252
BCL2_chr18_60795960__ABL1_chr9_133738356	183	836
BCL2_chr18_60795960__ADA_chr20_43257696	1205	670
BCL2_chr18_60795960__ADA_chr20_43280245	46	42
BCL2_chr18_60795960__AKT1_chr14_105239686	409	1246
BCL2_chr18_60795960__AKT1_chr14_105258968	929	127
BCL2_chr18_60795960__ALK_chr2_29541171	114	20
BCL2_chr18_60795960__ALK_chr2_29541172	254	459
BCL2_chr18_60795960__APC_chr5_112043408	32	397
BCL2_chr18_60795960__ARID1A_chr1_27056286	198	215
BCL2_chr18_60795960__ARID1A_chr1_27056288	308	1462
BCL2_chr18_60795960__ARID2_chr12_46205318	1321	961
BCL2_chr18_60795960__ARID2_chr12_46254608	316	41
BCL2_chr18_60795960__ATM_chr11_108098402	6	8
BCL2_chr18_60795960__BRAF_chr7_140534469	24	495
BCL2_chr18_60795960__BRAF_chr7_140624501	143	80
BCL2_chr18_60795960__BRCA1_chr17_41276018	758	189
BCL2_chr18_60795960__BRCA2_chr13_32912006	26	472
BCL2_chr18_60795960__BRCA2_chr13_32914228	233	337
BCL2_chr18_60795960__BRD4_chr19_15376403	698	530
BCL2_chr18_60795960__BRD4_chr19_15383894	46	102
BCL2_chr18_60795960__BTK_chrX_100626613	40	817
BCL2_chr18_60795960__BTK_chrX_100645534	801	46
BCL2_chr18_60795960__CASP8_chr2_202123033	394	391
BCL2_chr18_60795960__CDH1_chr16_68771300	593	118
BCL2_chr18_60795960__CDH1_chr16_68772255	7	12
BCL2_chr18_60795960__CDK4_chr12_58143253	250	86
BCL2_chr18_60795960__CDK4_chr12_58144705	96	46
BCL2_chr18_60795960__CDK4_chr12_58145497	706	255
BCL2_chr18_60795960__CDK6_chr7_92244474	440	64
BCL2_chr18_60795960__CDK6_chr7_92252365	320	55
BCL2_chr18_60795960__CDKN1B_chr12_12870777	212	129
BCL2_chr18_60795960__CDKN1B_chr12_12870931	6	21
BCL2_chr18_60795960__CDKN2A_chr9_21971100	87	98
BCL2_chr18_60795960__CDKN2A_chr9_21994327	803	103
BCL2_chr18_60795960__CHEK1_chr11_125499147	116	32
BCL2_chr18_60795960__CHEK2_chr22_29090029	11	44
BCL2_chr18_60795960__CHEK2_chr22_29130694	174	331
BCL2_chr18_60795960__DHFR_chr5_79949819	35	427
BCL2_chr18_60795960__EGFR_chr7_55086962	16	39
BCL2_chr18_60795960__ERBB2_chr17_37855800	134	35
BCL2_chr18_60795960__ERBB2_chr17_37868221	21	135
BCL2_chr18_60795960__ERBB2_chr17_37868292	943	73
BCL2_chr18_60795960__FLT3_chr13_28636172	132	382
BCL2_chr18_60795960__FNTA_chr8_42911471	348	672
BCL2_chr18_60795960__GATA3_chr10_8097790	631	396
BCL2_chr18_60795960__HDAC1_chr1_32792601	416	460
BCL2_chr18_60795960__HDAC2_chr6_114267214	207	29
BCL2_chr18_60795960__HDAC6_chrX_48661089	267	130
BCL2_chr18_60795960__HSP90AA1_chr14_102551760	127	2215
BCL2_chr18_60795960__HSP90AA1_chr14_102605736	27	462
BCL2_chr18_60795960__IGF1R_chr15_99434664	25	408
BCL2_chr18_60795960__JAK2_chr9_5021970	19	65
BCL2_chr18_60795960__JAK2_chr9_5050721	53	327
BCL2_chr18_60795960__KDM5C_chrX_53241021	331	9
BCL2_chr18_60795960__KDM6A_chrX_44820615	298	289
BCL2_chr18_60795960__KIT_chr4_55524176	11	283
BCL2_chr18_60795960__KIT_chr4_55524229	739	175
BCL2_chr18_60795960__MAP2K1_chr15_66679721	135	468
BCL2_chr18_60795960__MAP2K1_chr15_66679756	12	137
BCL2_chr18_60795960__MAP3K1_chr5_56152485	738	254
BCL2_chr18_60795960__MET_chr7_116339123	164	386
BCL2_chr18_60795960__MLH1_chr3_37038179	689	560
BCL2_chr18_60795960__MLH1_chr3_37045912	13	40
BCL2_chr18_60795960__MSH6_chr2_48010356	260	143
BCL2_chr18_60795960__MSH6_chr2_48018111	206	593
BCL2_chr18_60795960__MTOR_chr1_11317010	55	42
BCL2_chr18_60795960__MTOR_chr1_11317149	160	18
BCL2_chr18_60795960__MTOR_chr1_11319459	112	299
BCL2_chr18_60795960__NF1_chr17_29483038	110	20
BCL2_chr18_60795960__NonTargetingControlGuideForHuman0352	396	248
BCL2_chr18_60795960__PARP1_chr1_226578249	180	380
BCL2_chr18_60795960__PBRM1_chr3_52696257	11	417
BCL2_chr18_60795960__PBRM1_chr3_52713723	140	22
BCL2_chr18_60795960__PIK3CA_chr3_178919070	112	217
BCL2_chr18_60795960__PIK3R1_chr5_67522521	104	414
