construct_id	Hela_par_CRV4_d21_2_S6_trimmed53_len_filtered_counts	Hela_par_CRV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_par_CRV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_par_CRV4_d21_1_S5_trimmed53_len_filtered_counts	Hela_par_CRV4_d28_2_S8_trimmed53_len_filtered_counts	Hela_par_CRV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_par_CRV4_d14_1_S3_trimmed53_len_filtered_counts	Hela_par_CRV4_d28_1_S7_trimmed53_len_filtered_counts
BTK_chrX_100626613__SRC_chr20_36012562	598	933	1106	287	310	584	730	356
BTK_chrX_100626613__SRC_chr20_36014563	242	919	997	326	490	401	323	527
BTK_chrX_100626613__SRC_chr20_36022600	3157	1180	1248	699	3014	2117	776	827
BTK_chrX_100626613__TOP1_chr20_39657693	323	488	581	282	344	476	546	117
BTK_chrX_100626613__TYMS_chr18_657730	1453	727	856	845	2465	1225	960	594
BTK_chrX_100626613__VEGFA_chr6_43738425	308	810	933	286	128	354	263	290
BTK_chrX_100626613__VEGFA_chr6_43742077	581	164	201	205	561	432	189	315
BTK_chrX_100626613__WEE1_chr11_9595542	1327	816	950	446	436	1334	522	322
BTK_chrX_100626613__WEE1_chr11_9595845	1078	466	626	738	388	1027	788	709
BTK_chrX_100629565__ABL1_chr9_133589790	1037	317	392	462	597	939	841	431
BTK_chrX_100629565__ABL1_chr9_133738283	377	395	451	56	165	150	172	104
BTK_chrX_100629565__AKT1_chr14_105239609	788	973	1154	932	498	1150	757	599
BTK_chrX_100629565__ALK_chr2_29541171	1134	402	425	288	1176	1141	178	223
BTK_chrX_100629565__ALK_chr2_30143522	362	669	745	509	305	521	577	393
BTK_chrX_100629565__ATM_chr11_108098350	2764	701	808	951	3409	2533	875	1071
BTK_chrX_100629565__BCL2_chr18_60795960	962	737	823	643	758	1044	823	628
BTK_chrX_100629565__BRAF_chr7_140508787	410	831	983	1145	394	827	1275	1240
BTK_chrX_100629565__BRAF_chr7_140534469	6	166	172	216	1	1	8	93
BTK_chrX_100629565__BRD4_chr19_15376361	213	885	1023	802	40	304	519	389
BTK_chrX_100629565__CDK4_chr12_58143253	693	1441	1696	972	145	644	1336	765
BTK_chrX_100629565__CDK4_chr12_58144705	2439	1228	1339	1693	3426	1517	1242	2335
BTK_chrX_100629565__CDK4_chr12_58145497	841	929	991	718	473	963	1124	425
BTK_chrX_100629565__CDK6_chr7_92244474	1402	1266	1548	535	1563	1407	1056	614
BTK_chrX_100629565__CDK6_chr7_92252365	1130	502	572	1121	1746	717	678	1635
BTK_chrX_100629565__CDK6_chr7_92462628	469	1015	1188	489	417	591	641	782
BTK_chrX_100629565__CHEK1_chr11_125496644	394	559	604	370	664	622	519	139
BTK_chrX_100629565__CHEK1_chr11_125496687	336	572	680	421	268	476	869	282
BTK_chrX_100629565__CHEK2_chr22_29085137	618	783	965	565	766	766	898	323
BTK_chrX_100629565__CHEK2_chr22_29130694	1128	655	720	599	1100	937	953	412
BTK_chrX_100629565__EGFR_chr7_55209986	630	644	732	139	305	740	471	208
BTK_chrX_100629565__ERBB2_chr17_37868221	1358	274	294	550	1634	1112	1277	331
BTK_chrX_100629565__FGFR2_chr10_123298215	354	251	294	381	312	432	363	326
BTK_chrX_100629565__FGFR3_chr4_1795655	1490	864	995	804	1110	1482	1289	592
BTK_chrX_100629565__FLT3_chr13_28636131	1315	582	668	1269	742	1016	1543	966
BTK_chrX_100629565__FLT3_chr13_28636172	863	388	403	301	738	505	469	170
BTK_chrX_100629565__HDAC1_chr1_32792601	1589	886	1010	1145	1139	1462	1547	1063
BTK_chrX_100629565__HDAC2_chr6_114266539	149	664	766	131	94	250	239	51
BTK_chrX_100629565__HDAC2_chr6_114267214	275	535	594	241	87	289	323	213
BTK_chrX_100629565__HDAC2_chr6_114292056	137	544	540	356	174	344	618	282
BTK_chrX_100629565__HDAC6_chrX_48661089	3195	165	172	64	4238	1562	367	72
BTK_chrX_100629565__HDAC6_chrX_48674389	1088	1229	1354	948	952	604	959	526
BTK_chrX_100629565__HSP90AA1_chr14_102551760	918	73	77	249	212	797	285	196
BTK_chrX_100629565__HSP90AA1_chr14_102552141	393	581	568	191	194	451	391	117
BTK_chrX_100629565__HSP90AA1_chr14_102605736	721	929	1020	649	762	729	532	579
BTK_chrX_100629565__IGF1R_chr15_99434807	1606	330	417	2044	1119	1469	1461	2036
BTK_chrX_100629565__JAK2_chr9_5050816	316	448	481	385	246	492	219	226
BTK_chrX_100629565__KIT_chr4_55524164	3618	986	1146	610	3708	1571	564	589
BTK_chrX_100629565__MAP2K1_chr15_66679728	655	1050	1278	507	347	475	703	608
BTK_chrX_100629565__MAP2K1_chr15_66679756	1732	568	662	1959	701	1489	1338	1767
BTK_chrX_100629565__MET_chr7_116339123	510	292	350	1698	330	546	627	1932
BTK_chrX_100629565__MET_chr7_116340188	760	1201	1396	713	493	632	1024	502
BTK_chrX_100629565__MET_chr7_116340207	641	339	378	232	424	782	457	214
BTK_chrX_100629565__MTOR_chr1_11317010	743	869	959	676	373	831	1180	214
BTK_chrX_100629565__MTOR_chr1_11317149	902	346	382	483	466	840	456	416
BTK_chrX_100629565__MTOR_chr1_11319459	445	558	710	243	515	310	651	425
BTK_chrX_100629565__NonTargetingControlGuideForHuman0352	579	691	782	704	705	818	724	522
BTK_chrX_100629565__PARP1_chr1_226595581	501	750	910	810	335	792	820	684
BTK_chrX_100629565__PDGFRA_chr4_55124932	812	612	803	866	694	1127	1108	614
BTK_chrX_100629565__PDGFRA_chr4_55124963	80	528	625	304	36	204	227	710
BTK_chrX_100629565__PDGFRA_chr4_55129914	976	364	408	918	580	818	1036	694
BTK_chrX_100629565__PIK3CA_chr3_178916614	520	360	444	213	399	581	371	116
BTK_chrX_100629565__PIK3CA_chr3_178919070	0	0	0	47	0	10	0	0
BTK_chrX_100629565__PIK3CA_chr3_178919167	507	542	629	95	194	577	183	112
BTK_chrX_100629565__PRKDC_chr8_48686781	108	554	655	242	10	126	353	233
BTK_chrX_100629565__PRKDC_chr8_48872683	1244	812	1025	950	565	907	788	856
BTK_chrX_100629565__ROR1_chr1_64240072	584	555	665	868	184	600	1230	778
BTK_chrX_100629565__RPS6KB1_chr17_57970538	425	445	542	493	351	335	524	384
BTK_chrX_100629565__RRM2_chr2_10262940	2227	509	588	692	4440	1187	584	443
BTK_chrX_100629565__RRM2_chr2_10262957	819	738	781	921	1015	933	916	525
BTK_chrX_100629565__SMO_chr7_128828974	656	1102	1285	1204	147	877	910	1162
BTK_chrX_100629565__SMO_chr7_128845081	463	510	574	716	167	668	433	737
BTK_chrX_100629565__SMO_chr7_128845117	521	380	405	118	215	522	332	81
BTK_chrX_100629565__SRC_chr20_36012562	86	358	413	793	84	390	1037	467
BTK_chrX_100629565__TOP1_chr20_39657693	1311	678	782	658	373	2028	1279	424
BTK_chrX_100629565__TOP1_chr20_39690109	1341	1060	1284	2107	1145	1799	2050	1113
BTK_chrX_100629565__TYMS_chr18_659665	358	545	643	772	339	628	754	420
BTK_chrX_100629565__VEGFA_chr6_43742108	1409	342	413	320	1226	932	690	185
BTK_chrX_100629565__WEE1_chr11_9595462	0	109	167	0	0	0	0	0
BTK_chrX_100629565__WEE1_chr11_9595542	699	1112	1374	1581	437	884	1383	1376
BTK_chrX_100645534__ABL1_chr9_133738356	98	504	608	126	87	270	399	77
BTK_chrX_100645534__ADA_chr20_43280245	195	505	553	77	119	155	470	131
BTK_chrX_100645534__AKT1_chr14_105258968	204	1180	1327	1093	276	461	1033	1623
BTK_chrX_100645534__ALK_chr2_29541172	387	213	248	579	194	424	932	497
BTK_chrX_100645534__ATM_chr11_108098350	973	902	1094	153	658	566	156	142
BTK_chrX_100645534__ATM_chr11_108098390	236	146	181	790	422	176	855	1269
BTK_chrX_100645534__BCL2_chr18_60985877	412	196	272	621	338	710	489	422
BTK_chrX_100645534__BRAF_chr7_140508787	542	881	964	181	342	295	199	25
BTK_chrX_100645534__BRD4_chr19_15376361	341	283	329	407	300	302	308	151
BTK_chrX_100645534__CDK6_chr7_92244474	615	560	584	624	458	866	769	159
BTK_chrX_100645534__CDK9_chr9_130548409	698	639	667	346	608	687	326	168
BTK_chrX_100645534__CDK9_chr9_130550235	1248	990	1125	886	817	1052	1139	768
BTK_chrX_100645534__CHEK1_chr11_125496644	39	0	2	177	10	135	440	200
BTK_chrX_100645534__CHEK1_chr11_125496687	302	204	249	268	330	394	336	117
BTK_chrX_100645534__CHEK2_chr22_29130694	1919	563	629	492	1665	1388	554	411
BTK_chrX_100645534__DHFR_chr5_79949819	37	0	1	0	0	71	44	3
BTK_chrX_100645534__DHFR_chr5_79950216	456	511	546	232	266	423	416	205
BTK_chrX_100645534__DHFR_chr5_79950217	1015	1057	1208	739	837	774	760	231
BTK_chrX_100645534__EGFR_chr7_55209986	413	320	365	226	105	650	247	49
BTK_chrX_100645534__EGFR_chr7_55209992	924	300	368	398	628	1341	516	177
BTK_chrX_100645534__ERBB2_chr17_37868221	762	672	836	1348	309	840	1380	1238
BTK_chrX_100645534__ERBB2_chr17_37868292	284	58	63	226	119	383	136	229
BTK_chrX_100645534__FGFR2_chr10_123298118	896	257	277	587	536	1045	828	456
BTK_chrX_100645534__FGFR2_chr10_123353328	742	670	844	570	571	553	667	159
BTK_chrX_100645534__FGFR3_chr4_1795655	239	156	148	1	87	271	141	1
BTK_chrX_100645534__FLT3_chr13_28674643	224	161	162	254	165	357	529	103
BTK_chrX_100645534__HDAC2_chr6_114266539	768	173	217	276	773	495	354	371
BTK_chrX_100645534__HDAC2_chr6_114267214	63	548	599	384	82	474	845	269
BTK_chrX_100645534__HDAC2_chr6_114292056	125	748	829	0	1	152	57	1
BTK_chrX_100645534__HDAC6_chrX_48674389	534	289	320	823	240	616	878	318
BTK_chrX_100645534__HSP90AA1_chr14_102551760	613	337	418	451	374	1097	667	290
BTK_chrX_100645534__HSP90AA1_chr14_102552141	344	615	737	753	333	399	532	488
BTK_chrX_100645534__IGF1R_chr15_99192824	368	497	532	136	330	817	273	95
BTK_chrX_100645534__IGF1R_chr15_99434807	598	246	278	250	304	543	243	80
BTK_chrX_100645534__KIT_chr4_55524176	519	1101	1276	419	551	495	742	423
BTK_chrX_100645534__KIT_chr4_55524229	691	889	996	138	515	1090	718	299
BTK_chrX_100645534__MET_chr7_116340188	1063	575	724	484	927	1256	537	656
BTK_chrX_100645534__MET_chr7_116340207	1412	754	946	717	1060	752	937	611
BTK_chrX_100645534__MTOR_chr1_11317010	1156	628	725	997	646	1043	636	888
BTK_chrX_100645534__MTOR_chr1_11317149	81	301	381	1027	53	56	583	2080
BTK_chrX_100645534__NonTargetingControlGuideForHuman0352	1818	297	394	1833	2038	2042	945	1688
BTK_chrX_100645534__PARP1_chr1_226578249	161	0	0	248	40	117	97	218
BTK_chrX_100645534__PARP1_chr1_226595581	774	3	1	399	313	598	566	543
BTK_chrX_100645534__PDGFRA_chr4_55124963	673	481	527	712	609	566	558	469
BTK_chrX_100645534__PDGFRA_chr4_55129914	103	97	104	78	33	183	159	139
BTK_chrX_100645534__PIK3CA_chr3_178919070	1	0	0	59	0	0	237	109
BTK_chrX_100645534__PRKDC_chr8_48686398	595	253	259	66	662	462	32	8
BTK_chrX_100645534__PRKDC_chr8_48686781	700	1414	1624	501	370	1395	1160	314
BTK_chrX_100645534__ROR1_chr1_64240143	597	793	900	990	612	776	897	697
BTK_chrX_100645534__RPS6KB1_chr17_57970538	775	662	742	1057	610	793	1196	817
BTK_chrX_100645534__RRM2_chr2_10262728	486	583	669	791	636	659	1006	562
BTK_chrX_100645534__RRM2_chr2_10262940	1505	681	811	604	1271	1031	773	191
BTK_chrX_100645534__RRM2_chr2_10262957	775	347	387	486	896	630	431	617
BTK_chrX_100645534__SMO_chr7_128828974	1671	1423	1690	1118	1655	1873	1031	975
BTK_chrX_100645534__SMO_chr7_128845081	305	426	426	461	342	429	627	184
BTK_chrX_100645534__SRC_chr20_36022600	1304	500	555	299	618	1337	563	343
BTK_chrX_100645534__TOP1_chr20_39657693	585	470	572	457	298	570	514	299
BTK_chrX_100645534__TOP1_chr20_39690055	598	304	326	396	999	660	437	475
BTK_chrX_100645534__TOP1_chr20_39690109	1280	1036	1194	824	1525	1345	869	1024
BTK_chrX_100645534__TYMS_chr18_659665	508	53	78	382	75	212	114	171
BTK_chrX_100645534__VEGFA_chr6_43738425	346	799	829	397	156	793	736	194
BTK_chrX_100645534__VEGFA_chr6_43742108	313	506	576	693	213	498	507	388
BTK_chrX_100645534__WEE1_chr11_9595462	0	0	0	0	0	0	0	0
BTK_chrX_100645534__WEE1_chr11_9595845	1249	572	703	1001	841	1184	1034	1195
CDK4_chr12_58143253__ABL1_chr9_133738356	0	145	154	238	1	63	178	52
CDK4_chr12_58143253__ADA_chr20_43257769	784	747	857	1004	1001	932	1098	779
CDK4_chr12_58143253__ADA_chr20_43280245	1013	168	181	88	1022	996	129	128
CDK4_chr12_58143253__AKT1_chr14_105239686	351	137	159	434	369	806	416	250
CDK4_chr12_58143253__AKT1_chr14_105258968	892	1161	1281	773	1025	1084	962	684
CDK4_chr12_58143253__ALK_chr2_29541172	361	117	114	42	412	533	105	0
CDK4_chr12_58143253__ALK_chr2_30143522	500	601	718	402	316	658	711	88
CDK4_chr12_58143253__ATM_chr11_108098390	284	203	302	564	77	795	847	380
CDK4_chr12_58143253__ATM_chr11_108098402	299	257	283	288	350	315	399	177
CDK4_chr12_58143253__BCL2_chr18_60985877	341	690	732	151	193	347	347	136
CDK4_chr12_58143253__BRAF_chr7_140534469	178	489	525	493	294	484	621	309
CDK4_chr12_58143253__BRAF_chr7_140624501	109	487	600	243	26	153	287	24
CDK4_chr12_58143253__BRD4_chr19_15376403	423	726	847	300	332	435	464	352
CDK4_chr12_58143253__BRD4_chr19_15383894	759	887	1066	514	775	791	510	588
CDK4_chr12_58143253__BTK_chrX_100645534	259	652	772	71	181	249	356	20
CDK4_chr12_58143253__CDK9_chr9_130548409	310	364	463	160	150	569	402	67
CDK4_chr12_58143253__CDK9_chr9_130548998	630	577	667	389	547	901	597	305
CDK4_chr12_58143253__CDK9_chr9_130550235	234	117	180	371	73	146	499	125
CDK4_chr12_58143253__CHEK1_chr11_125499147	303	771	934	785	206	535	1087	752
CDK4_chr12_58143253__CHEK2_chr22_29130694	737	362	413	442	972	660	317	436
CDK4_chr12_58143253__DHFR_chr5_79950216	478	610	732	138	578	568	232	96
CDK4_chr12_58143253__DHFR_chr5_79950217	1159	236	215	1542	916	1539	1045	1607
CDK4_chr12_58143253__EGFR_chr7_55209992	347	309	365	312	95	390	613	172
CDK4_chr12_58143253__ERBB2_chr17_37855800	731	187	194	488	600	452	469	283
CDK4_chr12_58143253__ERBB2_chr17_37868292	2297	113	138	771	2500	1141	648	581
CDK4_chr12_58143253__FGFR2_chr10_123298118	749	814	1074	289	580	733	509	189
CDK4_chr12_58143253__FGFR2_chr10_123353328	1204	252	299	413	1683	793	517	145
CDK4_chr12_58143253__FGFR3_chr4_1795655	967	918	1162	754	998	1536	1141	703
CDK4_chr12_58143253__FGFR3_chr4_1795736	2228	1618	1822	1173	2237	2117	837	816
CDK4_chr12_58143253__FLT3_chr13_28674643	687	477	517	357	276	670	410	80
CDK4_chr12_58143253__FNTA_chr8_42911471	1465	1065	1211	2270	978	1843	1888	2304
CDK4_chr12_58143253__FNTA_chr8_42914260	403	419	452	337	336	358	361	112
CDK4_chr12_58143253__FNTA_chr8_42924781	355	747	800	386	298	687	681	287
CDK4_chr12_58143253__HDAC1_chr1_32757816	629	900	1010	578	1068	890	732	527
CDK4_chr12_58143253__HDAC1_chr1_32792637	285	463	533	583	214	432	667	270
CDK4_chr12_58143253__HDAC2_chr6_114266539	662	858	984	437	576	656	784	260
CDK4_chr12_58143253__HDAC2_chr6_114292056	863	325	366	638	656	820	720	308
CDK4_chr12_58143253__HSP90AA1_chr14_102552141	1474	402	443	433	2349	884	328	310
CDK4_chr12_58143253__IGF1R_chr15_99192824	433	616	742	264	397	812	452	234
CDK4_chr12_58143253__IGF1R_chr15_99434664	632	440	496	166	305	632	335	78
CDK4_chr12_58143253__JAK2_chr9_5021970	683	1068	1275	343	985	414	540	891
CDK4_chr12_58143253__JAK2_chr9_5050721	1139	936	1103	552	1099	1345	933	663
CDK4_chr12_58143253__KIT_chr4_55524164	1231	946	1121	629	894	1693	874	705
CDK4_chr12_58143253__KIT_chr4_55524176	224	691	817	489	131	393	492	272
CDK4_chr12_58143253__KIT_chr4_55524229	1346	569	684	402	885	1221	559	302
CDK4_chr12_58143253__MAP2K1_chr15_66679721	870	511	571	582	223	782	784	189
CDK4_chr12_58143253__NonTargetingControlGuideForHuman0352	278	553	561	1195	37	231	1102	633
CDK4_chr12_58143253__PARP1_chr1_226578249	327	867	1022	700	95	409	519	554
CDK4_chr12_58143253__PARP1_chr1_226578301	1006	452	489	723	663	992	831	723
CDK4_chr12_58143253__PRKDC_chr8_48686398	293	705	833	1434	51	340	1424	1568
CDK4_chr12_58143253__ROR1_chr1_64240089	1255	761	814	333	403	911	641	323
CDK4_chr12_58143253__ROR1_chr1_64240143	1394	921	1026	1282	1115	1554	1458	850
CDK4_chr12_58143253__RPS6KB1_chr17_57987922	189	217	222	190	245	258	596	132
CDK4_chr12_58143253__RPS6KB1_chr17_57987949	1777	989	1046	549	2552	1079	475	341
CDK4_chr12_58143253__RRM2_chr2_10262728	942	811	918	1075	619	718	1263	870
CDK4_chr12_58143253__RRM2_chr2_10262940	747	444	534	675	302	695	702	672
CDK4_chr12_58143253__SRC_chr20_36014563	638	984	1072	1062	380	651	773	1476
CDK4_chr12_58143253__TOP1_chr20_39690055	1364	1514	1757	702	662	1716	1463	889
CDK4_chr12_58143253__TYMS_chr18_657730	1687	1023	1170	1020	992	1350	1358	805
CDK4_chr12_58143253__TYMS_chr18_659656	666	1056	1160	961	190	583	853	1144
CDK4_chr12_58143253__VEGFA_chr6_43738425	1026	387	423	638	638	1041	915	559
CDK4_chr12_58143253__WEE1_chr11_9595845	357	517	563	232	275	432	275	138
CDK4_chr12_58144705__ABL1_chr9_133589790	1861	993	1083	1906	863	1213	2015	4795
CDK4_chr12_58144705__ABL1_chr9_133738283	1349	825	879	930	637	1657	943	727
CDK4_chr12_58144705__ADA_chr20_43280245	872	912	1137	580	403	588	812	598
CDK4_chr12_58144705__AKT1_chr14_105258968	1430	1658	1959	695	1251	1520	1142	710
CDK4_chr12_58144705__ALK_chr2_29541172	487	853	986	517	305	816	918	308
CDK4_chr12_58144705__ALK_chr2_30143522	569	529	675	746	616	774	839	705
CDK4_chr12_58144705__ATM_chr11_108098390	2047	1037	1168	1569	2233	1995	1426	2787
CDK4_chr12_58144705__BCL2_chr18_60795945	650	2008	2310	574	452	1120	978	450
CDK4_chr12_58144705__BCL2_chr18_60985877	1168	1774	2157	274	1333	796	441	756
CDK4_chr12_58144705__BRAF_chr7_140534469	1193	901	1002	906	896	644	1070	1070
CDK4_chr12_58144705__BRAF_chr7_140624501	603	238	286	128	979	240	598	115
CDK4_chr12_58144705__BTK_chrX_100645534	1395	1186	1449	1337	657	1834	1762	667
CDK4_chr12_58144705__CDK6_chr7_92244474	2695	705	805	705	2789	1614	1134	330
CDK4_chr12_58144705__CDK6_chr7_92252365	1840	670	743	1100	3512	866	905	1009
CDK4_chr12_58144705__CHEK1_chr11_125496644	543	879	1067	1321	413	1094	1756	1114
CDK4_chr12_58144705__CHEK1_chr11_125496687	650	1457	1711	1269	298	1302	950	777
CDK4_chr12_58144705__CHEK1_chr11_125499147	1698	635	783	1658	1876	1734	1712	1679
CDK4_chr12_58144705__CHEK2_chr22_29085137	727	1256	1598	1024	466	584	1587	955
CDK4_chr12_58144705__CHEK2_chr22_29130694	1374	327	376	371	1343	1426	603	109
CDK4_chr12_58144705__EGFR_chr7_55209992	664	847	906	564	656	1004	922	740
CDK4_chr12_58144705__ERBB2_chr17_37855800	779	854	993	325	775	704	779	123
CDK4_chr12_58144705__ERBB2_chr17_37868221	2054	1234	1484	985	1699	1882	1444	987
CDK4_chr12_58144705__FGFR2_chr10_123298118	3161	597	758	1161	3846	1653	1579	1772
CDK4_chr12_58144705__FGFR2_chr10_123298215	424	214	252	303	335	240	466	294
CDK4_chr12_58144705__FGFR3_chr4_1795655	1597	1311	1649	1473	1142	1668	1962	702
CDK4_chr12_58144705__FLT3_chr13_28636172	1385	1233	1351	946	845	1429	1230	342
CDK4_chr12_58144705__FNTA_chr8_42911471	204	224	324	77	294	258	180	96
CDK4_chr12_58144705__FNTA_chr8_42924781	1977	934	1136	2426	1674	2232	2539	2949
CDK4_chr12_58144705__HDAC1_chr1_32792637	419	1063	1293	1663	257	712	1703	1122
CDK4_chr12_58144705__HDAC2_chr6_114266539	638	342	369	826	230	604	612	824
CDK4_chr12_58144705__HDAC2_chr6_114267214	1938	686	736	1354	2095	1441	1014	1246
CDK4_chr12_58144705__HDAC2_chr6_114292056	112	205	212	249	171	145	402	152
CDK4_chr12_58144705__HDAC6_chrX_48661385	242	719	806	1039	448	572	737	591
CDK4_chr12_58144705__HDAC6_chrX_48674389	949	470	591	895	995	944	1086	1527
CDK4_chr12_58144705__HSP90AA1_chr14_102605736	1336	889	1128	347	971	1036	362	205
CDK4_chr12_58144705__IGF1R_chr15_99434807	644	1025	1215	532	450	964	630	731
CDK4_chr12_58144705__JAK2_chr9_5050816	294	797	947	106	370	451	123	130
CDK4_chr12_58144705__KIT_chr4_55524176	297	1150	1451	165	123	429	280	44
CDK4_chr12_58144705__MAP2K1_chr15_66679721	1498	917	1009	453	2138	1540	402	153
CDK4_chr12_58144705__MAP2K1_chr15_66679756	1261	1824	2175	1385	570	1307	1151	1132
CDK4_chr12_58144705__MET_chr7_116339123	1749	647	742	1060	2044	1306	976	536
CDK4_chr12_58144705__MET_chr7_116340188	561	1283	1460	565	341	799	901	295
CDK4_chr12_58144705__MET_chr7_116340207	1361	1023	1208	1079	1041	1588	1551	1339
CDK4_chr12_58144705__MTOR_chr1_11317010	1248	1174	1378	722	700	1232	704	480
CDK4_chr12_58144705__MTOR_chr1_11317149	870	1126	1300	625	418	751	1052	283
CDK4_chr12_58144705__NonTargetingControlGuideForHuman0362	2022	1110	1392	2739	2425	1878	2332	3271
CDK4_chr12_58144705__NonTargetingControlGuideForHuman0412	1044	1229	1383	1846	1443	1810	2359	1414
CDK4_chr12_58144705__PARP1_chr1_226595581	1101	749	860	1106	1688	1549	1077	696
CDK4_chr12_58144705__PDGFRA_chr4_55124963	1895	1061	1272	1070	1314	1669	1396	1050
CDK4_chr12_58144705__PDGFRA_chr4_55129914	1318	518	552	711	997	1521	764	271
CDK4_chr12_58144705__PIK3CA_chr3_178916614	1234	772	877	1930	1355	1204	1450	1400
CDK4_chr12_58144705__PIK3CA_chr3_178919070	85	0	0	16	31	151	268	1
CDK4_chr12_58144705__PRKDC_chr8_48686398	1534	969	1117	954	1231	1330	1496	1015
CDK4_chr12_58144705__ROR1_chr1_64240072	1038	1197	1380	703	945	1087	807	267
CDK4_chr12_58144705__RPS6KB1_chr17_57987922	231	702	764	487	129	601	906	370
CDK4_chr12_58144705__RRM2_chr2_10262728	1480	930	1018	1424	1140	1841	1560	892
CDK4_chr12_58144705__RRM2_chr2_10262940	846	318	392	648	643	957	440	402
CDK4_chr12_58144705__RRM2_chr2_10262957	1038	250	239	1668	839	1093	1402	1780
CDK4_chr12_58144705__SMO_chr7_128845081	1230	669	753	1319	692	1563	919	1364
CDK4_chr12_58144705__SRC_chr20_36022600	1570	1960	2248	870	765	1333	1454	695
CDK4_chr12_58144705__TOP1_chr20_39690109	1016	887	1075	1036	806	1301	1250	676
CDK4_chr12_58144705__TYMS_chr18_659656	2116	205	244	1603	2004	1254	1178	1877
CDK4_chr12_58144705__VEGFA_chr6_43742077	877	751	876	918	794	1257	1196	869
CDK4_chr12_58144705__WEE1_chr11_9595845	1487	1595	1941	1620	768	1485	2029	1187
CDK4_chr12_58145497__ABL1_chr9_133738283	285	177	189	143	200	292	182	143
CDK4_chr12_58145497__ADA_chr20_43257696	767	787	933	1568	294	909	793	1216
CDK4_chr12_58145497__ADA_chr20_43257769	1013	686	740	734	924	1018	607	842
CDK4_chr12_58145497__ADA_chr20_43280245	848	654	707	841	661	904	902	381
CDK4_chr12_58145497__ALK_chr2_29541172	808	688	809	178	594	609	244	268
CDK4_chr12_58145497__ALK_chr2_30143522	991	529	595	383	1190	661	865	196
CDK4_chr12_58145497__ATM_chr11_108098402	236	291	317	681	145	595	993	713
CDK4_chr12_58145497__BCL2_chr18_60985877	623	603	722	883	472	800	764	398
CDK4_chr12_58145497__BRAF_chr7_140508787	185	416	420	483	1	508	697	325
CDK4_chr12_58145497__BRAF_chr7_140624501	236	60	56	254	157	240	468	143
CDK4_chr12_58145497__BRD4_chr19_15376361	1004	767	885	260	755	938	559	142
CDK4_chr12_58145497__BTK_chrX_100626613	1812	491	586	1312	1874	1565	1779	698
CDK4_chr12_58145497__BTK_chrX_100645534	912	831	1026	628	359	1015	874	362
CDK4_chr12_58145497__CDK6_chr7_92244474	454	307	328	396	186	536	395	77
CDK4_chr12_58145497__CDK6_chr7_92252365	391	600	580	183	487	471	358	137
CDK4_chr12_58145497__CHEK1_chr11_125499147	1800	1621	1898	1349	1469	1002	1537	2118
CDK4_chr12_58145497__CHEK2_chr22_29085137	1800	981	1101	589	1655	1600	854	785
CDK4_chr12_58145497__CHEK2_chr22_29090029	285	198	210	573	333	442	511	162
CDK4_chr12_58145497__CHEK2_chr22_29130694	1326	1193	1293	561	956	1285	646	274
CDK4_chr12_58145497__DHFR_chr5_79950216	652	838	1001	518	412	819	1111	481
CDK4_chr12_58145497__EGFR_chr7_55209992	454	1026	1159	435	299	1093	704	382
CDK4_chr12_58145497__ERBB2_chr17_37868221	1236	747	824	1011	905	1454	1111	1507
CDK4_chr12_58145497__ERBB2_chr17_37868292	1180	1688	2141	1215	661	1158	1916	815
CDK4_chr12_58145497__FGFR2_chr10_123298215	691	350	400	214	754	795	111	26
CDK4_chr12_58145497__FGFR2_chr10_123353328	461	44	71	1031	422	770	1614	1398
CDK4_chr12_58145497__FGFR3_chr4_1795655	360	25	30	543	345	589	845	273
CDK4_chr12_58145497__FGFR3_chr4_1795736	189	622	745	100	165	219	78	120
CDK4_chr12_58145497__FLT3_chr13_28674643	1959	1097	1260	1641	1574	2230	2057	1255
CDK4_chr12_58145497__HDAC2_chr6_114266539	534	1105	1212	511	292	1223	1443	454
CDK4_chr12_58145497__HDAC2_chr6_114292056	302	339	423	715	396	423	1099	380
CDK4_chr12_58145497__HDAC6_chrX_48661385	870	1075	1247	349	721	1049	450	440
CDK4_chr12_58145497__HDAC6_chrX_48674389	2191	286	301	949	2056	1191	962	1167
CDK4_chr12_58145497__HSP90AA1_chr14_102551760	533	1360	1581	324	517	369	540	36
CDK4_chr12_58145497__IGF1R_chr15_99434664	515	1314	1500	1103	252	678	644	1008
CDK4_chr12_58145497__IGF1R_chr15_99434807	1408	1619	1840	1369	1394	1170	1299	1508
CDK4_chr12_58145497__JAK2_chr9_5050721	1465	1290	1473	1729	1602	1627	2413	1986
CDK4_chr12_58145497__KIT_chr4_55524164	1071	1117	1235	955	808	1402	917	647
CDK4_chr12_58145497__MAP2K1_chr15_66679728	1989	497	623	403	1134	898	744	374
CDK4_chr12_58145497__MET_chr7_116340207	569	795	935	505	702	1036	721	256
CDK4_chr12_58145497__MTOR_chr1_11319459	747	1477	1830	808	618	620	662	348
CDK4_chr12_58145497__NonTargetingControlGuideForHuman0362	1083	824	942	928	875	1372	1333	649
CDK4_chr12_58145497__NonTargetingControlGuideForHuman0412	983	1118	1285	1047	420	1281	1111	568
