construct_id	Hela_KRAB_CRV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d21_2_S6_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d21_1_S5_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d28_1_S7_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d28_2_S8_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d14_1_S3_trimmed53_len_filtered_counts
BCL2_chr18_60795945__PIK3CA_chr3_178916614	1365	923	717	486	1081	1113	1633	810
BCL2_chr18_60795945__PIK3CA_chr3_178919167	1353	1220	1567	1142	1676	2535	1620	1379
BCL2_chr18_60795945__ROR1_chr1_64240143	1540	1394	844	2412	520	727	909	632
BCL2_chr18_60795945__RPS6KB1_chr17_57970538	684	440	899	352	1578	143	804	997
BCL2_chr18_60795945__RPS6KB1_chr17_57987949	2875	3858	758	625	1172	3268	2803	858
BCL2_chr18_60795945__RRM2_chr2_10262957	1307	758	272	86	1257	321	2395	333
BCL2_chr18_60795945__SMO_chr7_128828974	2781	2736	1042	892	1306	3123	1499	850
BCL2_chr18_60795945__SMO_chr7_128845081	1355	1385	1205	718	522	757	272	622
BCL2_chr18_60795945__SMO_chr7_128845117	787	1181	818	975	985	1484	815	532
BCL2_chr18_60795945__SRC_chr20_36012562	1172	177	384	233	163	236	524	521
BCL2_chr18_60795945__SRC_chr20_36022600	1153	917	1476	1298	838	593	1081	969
BCL2_chr18_60795945__TOP1_chr20_39657693	1855	3050	2958	2303	2213	3706	1972	1340
BCL2_chr18_60795945__TOP1_chr20_39690109	530	597	1377	1646	491	148	1302	773
BCL2_chr18_60795945__TYMS_chr18_659665	1269	1135	1452	2159	1056	608	1956	1599
BCL2_chr18_60795945__VEGFA_chr6_43742077	563	401	36	42	72	88	1	278
BCL2_chr18_60795945__WEE1_chr11_9595462	136	278	0	0	1	756	0	76
BCL2_chr18_60795945__WEE1_chr11_9595542	1123	1713	482	298	639	1912	1054	305
BCL2_chr18_60795960__ABL1_chr9_133589790	71	40	33	0	235	142	549	29
BCL2_chr18_60795960__ABL1_chr9_133738356	460	396	525	817	835	528	1159	327
BCL2_chr18_60795960__ADA_chr20_43257696	378	192	427	697	177	372	591	363
BCL2_chr18_60795960__ADA_chr20_43280245	492	716	503	423	424	447	361	275
BCL2_chr18_60795960__AKT1_chr14_105239686	1114	1288	167	239	448	1234	219	96
BCL2_chr18_60795960__AKT1_chr14_105258968	855	341	1783	1160	663	423	737	791
BCL2_chr18_60795960__ALK_chr2_29541171	496	198	314	161	613	13	195	243
BCL2_chr18_60795960__ALK_chr2_29541172	749	1108	361	115	447	895	357	169
BCL2_chr18_60795960__ATM_chr11_108098402	1000	1017	619	626	717	1245	1070	420
BCL2_chr18_60795960__BRAF_chr7_140534469	604	967	373	458	463	840	671	738
BCL2_chr18_60795960__BRAF_chr7_140624501	253	662	27	116	127	488	178	54
BCL2_chr18_60795960__BRD4_chr19_15376403	806	1678	1023	706	399	1382	551	330
BCL2_chr18_60795960__BRD4_chr19_15383894	324	696	692	636	985	240	784	560
BCL2_chr18_60795960__BTK_chrX_100626613	553	348	441	189	552	160	112	513
BCL2_chr18_60795960__BTK_chrX_100645534	850	2002	851	643	649	2065	1210	490
BCL2_chr18_60795960__CDK4_chr12_58143253	1469	2362	731	739	1871	1666	876	556
BCL2_chr18_60795960__CDK4_chr12_58144705	664	862	878	1809	648	1134	196	755
BCL2_chr18_60795960__CDK4_chr12_58145497	480	807	242	454	304	735	444	211
BCL2_chr18_60795960__CDK6_chr7_92244474	1048	1544	1963	2193	1078	2144	1717	1007
BCL2_chr18_60795960__CDK6_chr7_92252365	2215	2595	785	1007	1021	2667	1519	840
BCL2_chr18_60795960__CHEK1_chr11_125499147	736	430	511	595	283	248	352	501
BCL2_chr18_60795960__CHEK2_chr22_29090029	707	769	626	390	781	142	397	231
BCL2_chr18_60795960__CHEK2_chr22_29130694	2084	1993	1293	1207	694	1627	397	1046
BCL2_chr18_60795960__DHFR_chr5_79949819	824	482	479	455	169	1086	814	472
BCL2_chr18_60795960__EGFR_chr7_55086962	1045	913	1111	631	695	690	854	461
BCL2_chr18_60795960__ERBB2_chr17_37855800	234	54	625	395	506	213	1135	340
BCL2_chr18_60795960__ERBB2_chr17_37868221	577	537	247	358	401	255	1414	472
BCL2_chr18_60795960__ERBB2_chr17_37868292	575	893	386	269	138	956	805	350
BCL2_chr18_60795960__FLT3_chr13_28636172	1399	1478	367	162	747	1361	772	375
BCL2_chr18_60795960__FNTA_chr8_42911471	948	754	1006	893	304	484	418	503
BCL2_chr18_60795960__HDAC1_chr1_32792601	291	1	320	83	51	319	388	277
BCL2_chr18_60795960__HDAC2_chr6_114267214	1069	1724	1342	1845	448	1330	1447	953
BCL2_chr18_60795960__HDAC6_chrX_48661089	578	573	645	1170	268	451	581	281
BCL2_chr18_60795960__HSP90AA1_chr14_102551760	494	311	809	723	588	428	712	501
BCL2_chr18_60795960__HSP90AA1_chr14_102605736	1005	2073	1472	745	1022	1839	719	716
BCL2_chr18_60795960__IGF1R_chr15_99434664	467	600	1	1	128	947	164	32
BCL2_chr18_60795960__JAK2_chr9_5021970	1396	780	417	343	561	718	961	432
BCL2_chr18_60795960__JAK2_chr9_5050721	310	636	277	411	514	333	104	260
BCL2_chr18_60795960__KIT_chr4_55524176	602	270	998	1338	304	249	1506	469
BCL2_chr18_60795960__KIT_chr4_55524229	1462	1574	1783	1793	547	1027	889	1251
BCL2_chr18_60795960__MAP2K1_chr15_66679721	1399	1685	1608	1434	572	1063	886	973
BCL2_chr18_60795960__MAP2K1_chr15_66679756	599	441	457	558	947	684	847	357
BCL2_chr18_60795960__MET_chr7_116339123	1143	1215	558	633	421	1225	952	507
BCL2_chr18_60795960__MTOR_chr1_11317010	246	447	216	66	295	50	169	132
BCL2_chr18_60795960__MTOR_chr1_11317149	358	572	73	12	790	765	875	144
BCL2_chr18_60795960__MTOR_chr1_11319459	467	365	1504	1778	252	29	1389	1223
BCL2_chr18_60795960__NonTargetingControlGuideForHuman0352	1458	2269	1135	836	1877	1938	1376	838
BCL2_chr18_60795960__PARP1_chr1_226578249	319	147	365	235	146	223	456	249
BCL2_chr18_60795960__PIK3CA_chr3_178919070	637	575	316	482	62	441	329	155
BCL2_chr18_60795960__PRKDC_chr8_48686398	218	97	354	80	576	73	531	297
BCL2_chr18_60795960__PRKDC_chr8_48686781	942	1262	718	583	887	1193	716	282
BCL2_chr18_60795960__PRKDC_chr8_48872683	1164	1800	1829	2006	1265	1518	406	637
BCL2_chr18_60795960__ROR1_chr1_64240072	2093	3173	827	728	345	4172	417	451
BCL2_chr18_60795960__ROR1_chr1_64240089	734	935	198	119	708	425	139	387
BCL2_chr18_60795960__ROR1_chr1_64240143	1393	1016	2104	1830	621	487	1285	1878
BCL2_chr18_60795960__RPS6KB1_chr17_57987949	875	1232	599	501	619	1231	482	369
BCL2_chr18_60795960__RRM2_chr2_10262940	669	997	107	97	149	766	165	197
BCL2_chr18_60795960__SMO_chr7_128828974	1839	1528	819	661	912	1636	285	1025
BCL2_chr18_60795960__SMO_chr7_128845117	595	1712	196	388	239	2511	147	242
BCL2_chr18_60795960__SRC_chr20_36012562	632	730	431	676	65	474	200	195
BCL2_chr18_60795960__SRC_chr20_36014563	381	560	1214	1272	598	625	1601	420
BCL2_chr18_60795960__TOP1_chr20_39657693	1577	2501	1500	1453	782	1566	1567	1729
BCL2_chr18_60795960__VEGFA_chr6_43742077	824	1186	239	303	195	614	527	482
BCL2_chr18_60795960__VEGFA_chr6_43742108	1003	694	411	284	429	799	693	226
BCL2_chr18_60795960__WEE1_chr11_9595845	178	122	209	349	1185	1	986	171
BCL2_chr18_60985877__ABL1_chr9_133738283	672	1199	322	244	187	1256	2772	146
BCL2_chr18_60985877__ABL1_chr9_133738356	1	0	115	141	179	1	309	31
BCL2_chr18_60985877__ADA_chr20_43257696	1172	2123	1080	1208	686	1830	1071	1045
BCL2_chr18_60985877__ADA_chr20_43257769	179	218	375	438	505	17	1212	216
BCL2_chr18_60985877__AKT1_chr14_105239609	828	818	547	723	315	621	1277	517
BCL2_chr18_60985877__AKT1_chr14_105239686	1099	1099	481	266	839	584	559	202
BCL2_chr18_60985877__AKT1_chr14_105258968	791	955	907	952	512	873	1306	872
BCL2_chr18_60985877__ALK_chr2_29541171	1370	2170	669	360	448	1232	1524	532
BCL2_chr18_60985877__ALK_chr2_30143522	438	140	591	468	417	196	0	374
BCL2_chr18_60985877__ATM_chr11_108098402	482	240	769	1017	1238	259	1447	519
BCL2_chr18_60985877__BRD4_chr19_15376403	588	698	880	537	444	740	1198	629
BCL2_chr18_60985877__BRD4_chr19_15383894	1464	3102	1405	1263	658	2265	812	1615
BCL2_chr18_60985877__BTK_chrX_100626613	1396	1602	604	428	651	2486	1663	736
BCL2_chr18_60985877__BTK_chrX_100629565	542	768	654	257	313	1283	820	340
BCL2_chr18_60985877__CDK9_chr9_130550235	636	434	1229	1500	764	150	854	745
BCL2_chr18_60985877__DHFR_chr5_79950217	800	956	515	785	741	974	814	541
BCL2_chr18_60985877__EGFR_chr7_55086962	1962	1512	1588	1917	1147	1384	2179	669
BCL2_chr18_60985877__EGFR_chr7_55209986	501	300	287	238	417	281	637	396
BCL2_chr18_60985877__EGFR_chr7_55209992	448	452	434	602	975	151	678	310
BCL2_chr18_60985877__ERBB2_chr17_37855800	828	1043	1336	1062	711	843	1651	721
BCL2_chr18_60985877__ERBB2_chr17_37868292	1254	1435	1532	861	915	1342	755	1004
BCL2_chr18_60985877__FGFR2_chr10_123298118	1324	2336	1957	2661	1759	1958	1039	1402
BCL2_chr18_60985877__FGFR2_chr10_123353328	1078	844	1443	1707	12	1194	1052	1304
BCL2_chr18_60985877__FGFR3_chr4_1795735	1024	2218	760	1315	554	1641	1285	596
BCL2_chr18_60985877__FLT3_chr13_28636131	547	602	473	305	17	697	813	141
BCL2_chr18_60985877__FNTA_chr8_42914260	379	781	985	1271	723	645	492	531
BCL2_chr18_60985877__FNTA_chr8_42924781	570	669	463	285	455	244	515	275
BCL2_chr18_60985877__HDAC1_chr1_32757816	777	1172	795	567	134	1043	227	295
BCL2_chr18_60985877__HDAC1_chr1_32792601	1747	1485	1110	592	799	1046	1105	847
BCL2_chr18_60985877__HDAC1_chr1_32792637	1381	428	1276	1255	320	524	369	849
BCL2_chr18_60985877__HDAC2_chr6_114292056	551	919	351	417	416	959	659	673
BCL2_chr18_60985877__HDAC6_chrX_48661089	1030	482	21	55	0	340	591	114
BCL2_chr18_60985877__HDAC6_chrX_48674389	773	948	1430	2799	497	1341	1107	979
BCL2_chr18_60985877__HSP90AA1_chr14_102551760	1368	1438	2389	2198	1403	1760	1411	1103
BCL2_chr18_60985877__HSP90AA1_chr14_102552141	901	1072	304	0	480	516	202	328
BCL2_chr18_60985877__HSP90AA1_chr14_102605736	1124	1795	410	387	374	1653	548	406
BCL2_chr18_60985877__IGF1R_chr15_99192824	259	129	160	26	283	342	349	84
BCL2_chr18_60985877__IGF1R_chr15_99434664	157	331	77	29	212	301	160	66
BCL2_chr18_60985877__IGF1R_chr15_99434807	602	796	1026	690	546	539	1131	421
BCL2_chr18_60985877__JAK2_chr9_5021970	891	1435	797	790	432	2363	591	607
BCL2_chr18_60985877__JAK2_chr9_5050721	1240	840	588	625	1385	980	889	827
BCL2_chr18_60985877__KIT_chr4_55524176	1618	2240	1046	828	736	2683	1015	887
BCL2_chr18_60985877__MAP2K1_chr15_66679721	778	572	1195	1057	1105	238	1437	780
BCL2_chr18_60985877__MET_chr7_116339123	719	495	467	414	259	386	913	800
BCL2_chr18_60985877__MTOR_chr1_11317149	394	349	55	1	219	225	1045	273
BCL2_chr18_60985877__NonTargetingControlGuideForHuman0352	818	1291	1731	1823	538	1123	724	1071
BCL2_chr18_60985877__PARP1_chr1_226578249	626	570	347	367	385	721	581	335
BCL2_chr18_60985877__PARP1_chr1_226578301	507	305	558	419	73	348	541	344
BCL2_chr18_60985877__PDGFRA_chr4_55124932	988	1392	151	273	661	2077	334	218
BCL2_chr18_60985877__PDGFRA_chr4_55124963	729	809	716	360	745	608	870	923
BCL2_chr18_60985877__PIK3CA_chr3_178919070	319	95	76	375	190	84	782	301
BCL2_chr18_60985877__PIK3CA_chr3_178919167	904	1089	993	897	500	480	688	603
BCL2_chr18_60985877__PRKDC_chr8_48686398	639	501	21	12	781	151	239	134
BCL2_chr18_60985877__ROR1_chr1_64240089	671	335	473	1025	580	286	225	355
BCL2_chr18_60985877__ROR1_chr1_64240143	1996	2782	577	794	589	1967	395	571
BCL2_chr18_60985877__RPS6KB1_chr17_57970538	489	464	476	289	362	288	1592	390
BCL2_chr18_60985877__RPS6KB1_chr17_57987922	434	487	340	481	430	463	639	381
BCL2_chr18_60985877__RRM2_chr2_10262957	636	279	766	383	366	129	3	522
BCL2_chr18_60985877__SMO_chr7_128828974	1285	1007	349	516	661	2164	931	543
BCL2_chr18_60985877__SMO_chr7_128845081	454	232	404	326	203	192	15	316
BCL2_chr18_60985877__SRC_chr20_36012562	966	1262	845	1673	997	1012	416	384
BCL2_chr18_60985877__SRC_chr20_36014563	629	546	803	1001	732	348	813	576
BCL2_chr18_60985877__TOP1_chr20_39657693	421	892	1054	983	666	1175	74	538
BCL2_chr18_60985877__VEGFA_chr6_43738425	635	540	846	1474	1480	126	853	597
BCL2_chr18_60985877__VEGFA_chr6_43742077	103	28	191	353	470	0	114	127
BCL2_chr18_60985877__WEE1_chr11_9595462	40	0	92	35	0	0	345	66
BCL2_chr18_60985877__WEE1_chr11_9595845	626	222	19	75	1303	98	1110	420
BRAF_chr7_140508787__ABL1_chr9_133589790	14	1	113	126	0	117	28	76
BRAF_chr7_140508787__ADA_chr20_43257696	323	469	72	0	98	610	167	76
BRAF_chr7_140508787__AKT1_chr14_105239609	831	1079	550	488	404	1014	926	308
BRAF_chr7_140508787__AKT1_chr14_105258968	478	855	171	22	219	884	62	207
BRAF_chr7_140508787__ATM_chr11_108098350	193	392	785	1035	331	332	483	495
BRAF_chr7_140508787__ATM_chr11_108098390	721	812	338	123	392	831	675	410
BRAF_chr7_140508787__ATM_chr11_108098402	691	345	1039	1492	378	228	12	768
BRAF_chr7_140508787__BCL2_chr18_60795945	473	525	65	32	183	247	236	19
BRAF_chr7_140508787__BCL2_chr18_60795960	681	646	369	366	558	381	1064	487
BRAF_chr7_140508787__BCL2_chr18_60985877	207	470	206	284	0	1522	401	173
BRAF_chr7_140508787__BRD4_chr19_15383894	321	253	610	312	170	204	638	452
BRAF_chr7_140508787__BTK_chrX_100626613	584	631	417	540	232	672	1263	428
BRAF_chr7_140508787__CDK4_chr12_58143253	1078	1067	607	498	534	592	851	629
BRAF_chr7_140508787__CDK4_chr12_58144705	965	617	929	1120	420	439	430	678
BRAF_chr7_140508787__CDK6_chr7_92244474	445	831	272	262	504	693	577	437
BRAF_chr7_140508787__CDK6_chr7_92252365	95	41	153	59	77	108	547	79
BRAF_chr7_140508787__CDK9_chr9_130548998	399	382	596	691	358	495	1366	416
BRAF_chr7_140508787__CHEK2_chr22_29130694	870	1264	659	235	526	1707	980	468
BRAF_chr7_140508787__DHFR_chr5_79949819	1278	1225	686	651	438	983	303	482
BRAF_chr7_140508787__DHFR_chr5_79950217	1411	1116	581	253	685	921	631	637
BRAF_chr7_140508787__ERBB2_chr17_37855800	212	319	145	355	112	356	114	132
BRAF_chr7_140508787__ERBB2_chr17_37868292	661	575	1119	1054	1089	429	572	1131
BRAF_chr7_140508787__FGFR2_chr10_123298215	26	95	30	0	134	103	0	42
BRAF_chr7_140508787__FNTA_chr8_42911471	1488	1753	802	943	352	1276	788	905
BRAF_chr7_140508787__FNTA_chr8_42914260	176	307	499	186	339	93	361	575
BRAF_chr7_140508787__FNTA_chr8_42924781	821	574	867	566	177	158	203	348
BRAF_chr7_140508787__HDAC1_chr1_32757816	123	257	395	372	45	2	0	155
BRAF_chr7_140508787__HDAC1_chr1_32792601	183	60	479	551	68	216	138	510
BRAF_chr7_140508787__HDAC1_chr1_32792637	846	488	254	463	193	544	264	437
BRAF_chr7_140508787__HDAC2_chr6_114266539	492	459	53	240	474	326	828	206
BRAF_chr7_140508787__HDAC6_chrX_48661089	476	317	297	165	538	187	507	173
BRAF_chr7_140508787__HDAC6_chrX_48661385	1444	1139	706	614	689	1403	616	341
BRAF_chr7_140508787__HDAC6_chrX_48674389	334	235	768	837	155	104	407	335
BRAF_chr7_140508787__HSP90AA1_chr14_102605736	372	320	151	13	114	486	1	117
BRAF_chr7_140508787__IGF1R_chr15_99192824	277	312	174	338	274	216	306	416
BRAF_chr7_140508787__IGF1R_chr15_99434807	799	912	328	319	154	999	914	127
BRAF_chr7_140508787__JAK2_chr9_5021970	731	1866	906	1297	239	1703	257	650
BRAF_chr7_140508787__JAK2_chr9_5050721	318	732	926	1509	513	814	1208	403
BRAF_chr7_140508787__KIT_chr4_55524229	318	327	904	1575	508	107	891	284
BRAF_chr7_140508787__MET_chr7_116339123	191	190	318	199	465	371	550	246
BRAF_chr7_140508787__MET_chr7_116340188	135	103	28	0	728	1	575	68
BRAF_chr7_140508787__MTOR_chr1_11317149	150	0	378	174	96	0	50	247
BRAF_chr7_140508787__NonTargetingControlGuideForHuman0362	1140	1101	642	654	831	2635	1157	638
BRAF_chr7_140508787__NonTargetingControlGuideForHuman0412	415	258	124	207	93	213	240	164
BRAF_chr7_140508787__PARP1_chr1_226578249	940	894	183	465	508	411	677	420
BRAF_chr7_140508787__PARP1_chr1_226595581	377	442	738	633	465	259	268	393
BRAF_chr7_140508787__PDGFRA_chr4_55124963	533	1214	204	141	536	837	496	261
BRAF_chr7_140508787__PIK3CA_chr3_178916614	321	133	64	29	279	40	491	203
BRAF_chr7_140508787__PIK3CA_chr3_178919070	229	33	303	20	0	82	117	0
BRAF_chr7_140508787__PRKDC_chr8_48686398	582	682	954	1035	54	278	1343	1039
BRAF_chr7_140508787__PRKDC_chr8_48686781	778	569	1943	1517	592	225	450	812
BRAF_chr7_140508787__PRKDC_chr8_48872683	888	1234	365	758	558	917	842	790
BRAF_chr7_140508787__ROR1_chr1_64240089	742	919	668	367	372	499	444	362
BRAF_chr7_140508787__RPS6KB1_chr17_57987922	332	203	828	913	71	60	1074	625
BRAF_chr7_140508787__RRM2_chr2_10262728	938	545	565	299	730	638	1292	873
BRAF_chr7_140508787__RRM2_chr2_10262940	379	693	216	3	681	455	928	89
BRAF_chr7_140508787__RRM2_chr2_10262957	247	267	489	185	118	48	299	368
BRAF_chr7_140508787__SMO_chr7_128845117	678	1000	267	240	268	587	438	322
BRAF_chr7_140508787__SRC_chr20_36012562	214	146	309	386	178	652	5	218
BRAF_chr7_140508787__SRC_chr20_36022600	836	1214	301	358	135	878	630	526
BRAF_chr7_140508787__TOP1_chr20_39657693	414	926	1093	1006	508	1265	855	1054
BRAF_chr7_140508787__TOP1_chr20_39690109	519	491	421	698	502	375	624	570
BRAF_chr7_140508787__TYMS_chr18_659656	469	184	458	425	300	117	389	148
BRAF_chr7_140508787__TYMS_chr18_659665	1352	1097	1110	1507	1829	972	1004	711
BRAF_chr7_140508787__VEGFA_chr6_43742077	782	841	931	917	275	1269	279	611
BRAF_chr7_140508787__VEGFA_chr6_43742108	643	776	1275	695	367	1096	904	698
BRAF_chr7_140508787__WEE1_chr11_9595462	63	175	52	122	270	23	0	22
BRAF_chr7_140534469__ABL1_chr9_133738356	1388	1989	839	674	273	2120	1186	1012
BRAF_chr7_140534469__ADA_chr20_43257696	1342	1313	1097	1355	855	778	988	1217
BRAF_chr7_140534469__BCL2_chr18_60795945	409	746	291	117	168	868	331	286
BRAF_chr7_140534469__BCL2_chr18_60985877	574	1028	556	423	495	873	724	294
BRAF_chr7_140534469__BRD4_chr19_15376361	962	1755	675	223	773	1844	418	552
BRAF_chr7_140534469__BRD4_chr19_15376403	753	997	1216	909	446	1130	522	706
BRAF_chr7_140534469__BRD4_chr19_15383894	707	598	259	241	726	387	328	375
BRAF_chr7_140534469__BTK_chrX_100645534	569	367	723	380	754	202	813	726
BRAF_chr7_140534469__CDK4_chr12_58145497	1058	1007	479	643	1071	666	491	334
BRAF_chr7_140534469__CDK6_chr7_92462628	368	296	569	409	494	511	743	462
BRAF_chr7_140534469__CDK9_chr9_130548409	902	931	1603	1108	449	564	828	1060
BRAF_chr7_140534469__CDK9_chr9_130548998	572	755	953	645	345	465	484	840
BRAF_chr7_140534469__CHEK1_chr11_125496644	553	412	170	220	333	79	377	116
BRAF_chr7_140534469__CHEK1_chr11_125496687	357	602	847	1029	780	209	260	441
BRAF_chr7_140534469__CHEK1_chr11_125499147	1001	586	824	638	872	262	199	469
BRAF_chr7_140534469__CHEK2_chr22_29085137	1296	1824	376	245	681	1501	425	424
BRAF_chr7_140534469__CHEK2_chr22_29090029	1832	1903	1955	2578	843	866	1523	1092
BRAF_chr7_140534469__CHEK2_chr22_29130694	1223	731	802	637	1034	766	1199	893
BRAF_chr7_140534469__DHFR_chr5_79949819	1326	993	2243	2014	805	711	1786	829
BRAF_chr7_140534469__EGFR_chr7_55209992	1101	731	1120	1469	979	713	584	946
BRAF_chr7_140534469__FGFR2_chr10_123298118	728	932	922	785	111	747	174	578
BRAF_chr7_140534469__FGFR2_chr10_123298215	200	340	45	284	239	144	0	150
BRAF_chr7_140534469__FGFR3_chr4_1795736	270	236	41	23	413	2	642	217
BRAF_chr7_140534469__FLT3_chr13_28674643	795	793	672	581	187	556	815	592
BRAF_chr7_140534469__HDAC2_chr6_114266539	155	88	780	844	661	82	1510	456
BRAF_chr7_140534469__HDAC2_chr6_114267214	2095	2679	556	1191	1404	2763	1535	662
BRAF_chr7_140534469__HDAC2_chr6_114292056	350	200	105	200	928	336	881	259
BRAF_chr7_140534469__HDAC6_chrX_48661089	353	238	220	153	199	37	456	225
BRAF_chr7_140534469__HDAC6_chrX_48661385	1771	3070	1456	1760	790	2303	1366	1013
BRAF_chr7_140534469__HSP90AA1_chr14_102551760	456	351	521	812	88	315	932	662
BRAF_chr7_140534469__IGF1R_chr15_99192824	972	657	301	138	576	445	522	285
BRAF_chr7_140534469__JAK2_chr9_5050721	1068	406	632	661	513	808	1498	693
BRAF_chr7_140534469__KIT_chr4_55524164	547	562	683	565	1074	662	385	758
BRAF_chr7_140534469__KIT_chr4_55524176	1391	2671	1722	1678	1252	2693	1138	757
BRAF_chr7_140534469__MAP2K1_chr15_66679728	593	896	1125	1145	1095	489	765	488
BRAF_chr7_140534469__MAP2K1_chr15_66679756	1137	1904	1045	599	893	1275	2394	1265
BRAF_chr7_140534469__MET_chr7_116339123	1240	1049	541	556	663	1312	1094	318
BRAF_chr7_140534469__MET_chr7_116340188	2366	1671	1254	374	1101	1394	2244	817
BRAF_chr7_140534469__MTOR_chr1_11317010	485	194	781	801	603	208	612	705
BRAF_chr7_140534469__NonTargetingControlGuideForHuman0362	1841	837	1099	519	1748	539	773	744
BRAF_chr7_140534469__NonTargetingControlGuideForHuman0412	1034	1656	1392	1645	1159	1199	1112	563
BRAF_chr7_140534469__PARP1_chr1_226578249	1183	1317	432	508	871	2012	516	424
BRAF_chr7_140534469__PARP1_chr1_226595581	529	780	833	1144	1545	1259	345	727
BRAF_chr7_140534469__PDGFRA_chr4_55129914	749	299	1728	2880	561	291	442	642
BRAF_chr7_140534469__PIK3CA_chr3_178919167	1303	2177	1568	1716	1600	1637	1367	1503
BRAF_chr7_140534469__PRKDC_chr8_48686781	1107	1381	1414	1513	1797	935	1273	1055
BRAF_chr7_140534469__PRKDC_chr8_48872683	929	688	1011	580	427	411	391	452
BRAF_chr7_140534469__ROR1_chr1_64240089	1228	2242	1016	873	31	1393	1476	488
BRAF_chr7_140534469__RPS6KB1_chr17_57970538	586	56	676	770	194	6	154	403
BRAF_chr7_140534469__RPS6KB1_chr17_57987922	786	537	220	241	661	383	1053	142
BRAF_chr7_140534469__RPS6KB1_chr17_57987949	2175	2554	1854	2222	647	2355	2324	871
BRAF_chr7_140534469__RRM2_chr2_10262957	884	692	548	659	1030	271	622	602
BRAF_chr7_140534469__SMO_chr7_128828974	1259	1753	722	623	447	1530	1138	788
BRAF_chr7_140534469__SMO_chr7_128845117	424	731	865	703	1349	128	890	616
BRAF_chr7_140534469__SRC_chr20_36012562	1090	1772	567	231	276	1072	540	470
BRAF_chr7_140534469__SRC_chr20_36014563	897	1315	933	641	927	897	595	501
BRAF_chr7_140534469__TOP1_chr20_39657693	1083	1408	1446	1312	875	1469	686	875
BRAF_chr7_140534469__TOP1_chr20_39690055	1063	888	1201	1901	1030	1358	2205	819
BRAF_chr7_140534469__TOP1_chr20_39690109	1134	1420	1034	832	715	1797	133	802
BRAF_chr7_140534469__VEGFA_chr6_43742108	725	722	935	1122	866	460	2079	1051
BRAF_chr7_140534469__WEE1_chr11_9595845	785	272	500	418	1267	269	1204	1231
BRAF_chr7_140624501__ABL1_chr9_133589790	346	571	534	216	439	1005	130	351
BRAF_chr7_140624501__ABL1_chr9_133738283	66	96	695	534	254	1	0	232
BRAF_chr7_140624501__ADA_chr20_43257769	221	395	378	248	726	183	450	278
BRAF_chr7_140624501__AKT1_chr14_105239686	644	1956	353	342	568	1653	147	358
BRAF_chr7_140624501__ALK_chr2_29541171	536	1010	147	194	713	752	257	261
BRAF_chr7_140624501__ALK_chr2_29541172	190	71	82	35	158	34	54	131
BRAF_chr7_140624501__ATM_chr11_108098390	1075	500	907	967	716	133	803	926
BRAF_chr7_140624501__ATM_chr11_108098402	473	376	894	827	414	574	228	458
BRAF_chr7_140624501__BCL2_chr18_60795945	911	1472	705	642	1317	1153	635	261
BRAF_chr7_140624501__BCL2_chr18_60985877	271	34	109	126	134	137	479	126
BRAF_chr7_140624501__BRD4_chr19_15376361	1621	1752	977	367	554	1557	852	547
BRAF_chr7_140624501__BRD4_chr19_15383894	539	522	396	283	882	247	1094	546
BRAF_chr7_140624501__BTK_chrX_100626613	1018	475	310	301	666	396	170	375
BRAF_chr7_140624501__BTK_chrX_100629565	289	380	157	221	115	280	450	180
BRAF_chr7_140624501__BTK_chrX_100645534	630	605	251	201	99	517	149	205
BRAF_chr7_140624501__CDK6_chr7_92252365	649	383	955	1163	782	670	674	813
BRAF_chr7_140624501__CDK6_chr7_92462628	1055	1370	915	969	647	937	754	696
BRAF_chr7_140624501__CDK9_chr9_130548998	650	434	340	605	1005	264	1015	590
BRAF_chr7_140624501__CHEK1_chr11_125496687	415	593	650	559	302	391	242	501
BRAF_chr7_140624501__CHEK1_chr11_125499147	430	641	593	186	802	317	822	505
BRAF_chr7_140624501__CHEK2_chr22_29130694	394	293	265	352	172	233	669	649
BRAF_chr7_140624501__DHFR_chr5_79949819	552	634	297	271	1104	213	487	253
BRAF_chr7_140624501__DHFR_chr5_79950217	720	611	386	121	363	296	92	392
BRAF_chr7_140624501__EGFR_chr7_55209986	295	725	1420	1079	185	489	411	935
BRAF_chr7_140624501__EGFR_chr7_55209992	392	416	426	323	748	237	86	454
BRAF_chr7_140624501__ERBB2_chr17_37868292	833	804	1039	1027	500	609	1398	761
BRAF_chr7_140624501__FGFR2_chr10_123353328	406	570	638	855	0	411	616	360
BRAF_chr7_140624501__FGFR3_chr4_1795655	5	0	90	1	122	0	0	50
BRAF_chr7_140624501__FLT3_chr13_28636131	482	694	108	63	248	621	374	419
BRAF_chr7_140624501__FLT3_chr13_28636172	713	1066	696	668	796	713	916	593
BRAF_chr7_140624501__FLT3_chr13_28674643	1221	1432	180	255	1187	911	753	492
BRAF_chr7_140624501__FNTA_chr8_42911471	1105	734	702	864	436	836	666	690
