construct_id	LCTBt23_S5_trimmed53_len_filtered_counts	LCTAt23_S4_trimmed53_len_filtered_counts	LPt23_S1_trimmed53_len_filtered_counts	LCAt23_S2_trimmed53_len_filtered_counts	LCBt23_S3_trimmed53_len_filtered_counts
DHFR_chr5_79950216__PIK3CA_chr3_178916614	6853	2085	645	6	1538
DHFR_chr5_79950216__PIK3CA_chr3_178919070	5	1	1	6	325
DHFR_chr5_79950216__PRKDC_chr8_48686398	1354	3	339	5	910
DHFR_chr5_79950216__PRKDC_chr8_48686781	5	226	450	33	1687
DHFR_chr5_79950216__PRKDC_chr8_48872683	2153	1297	1	5	68
DHFR_chr5_79950216__RB1_chr13_48878054	3	1	12	4	3
DHFR_chr5_79950216__RB1_chr13_48934148	4	4	413	1	0
DHFR_chr5_79950216__ROR1_chr1_64240089	3	901	354	3182	982
DHFR_chr5_79950216__RPS6KB1_chr17_57987922	3	2	1	4	598
DHFR_chr5_79950216__RRM2_chr2_10262728	5	1	0	1	120
DHFR_chr5_79950216__RRM2_chr2_10262940	4	3	103	6	3
DHFR_chr5_79950216__RRM2_chr2_10262957	7	5	700	2341	953
DHFR_chr5_79950216__RUNX1_chr21_36252860	4	1161	1	3	1
DHFR_chr5_79950216__SMAD4_chr18_48586241	5	0	336	2	287
DHFR_chr5_79950216__SMARCA4_chr19_11094819	6	1	131	6	1726
DHFR_chr5_79950216__SMARCA4_chr19_11094851	8	1124	2491	5608	1368
DHFR_chr5_79950216__SMARCA4_chr19_11095011	6	3	462	11	1484
DHFR_chr5_79950216__SMARCB1_chr22_24133949	7	2220	703	4280	9
DHFR_chr5_79950216__SMO_chr7_128845117	8	840	1	2	3
DHFR_chr5_79950216__SRC_chr20_36012562	7	1	1	4	3
DHFR_chr5_79950216__SRC_chr20_36022600	1680	3	192	1	632
DHFR_chr5_79950216__TP53_chr17_7578373	2	1	1	1	561
DHFR_chr5_79950216__TP53_chr17_7579881	11	0	1	3	1
DHFR_chr5_79950216__TSC1_chr9_135804256	3	2	2	1	0
DHFR_chr5_79950216__TYMS_chr18_657730	15	3375	1498	4319	308
DHFR_chr5_79950216__TYMS_chr18_659656	9	2	0	8	1232
DHFR_chr5_79950216__TYMS_chr18_659665	2	5	280	5	681
DHFR_chr5_79950216__VEGFA_chr6_43742077	14	6	122	3	56
DHFR_chr5_79950216__VEGFA_chr6_43742108	1	2	448	3	663
DHFR_chr5_79950216__WEE1_chr11_9595462	8	1	1	2073	139
DHFR_chr5_79950216__WEE1_chr11_9595542	1	5	77	1619	1197
DHFR_chr5_79950217__ABL1_chr9_133589790	4	2	1	3	1
DHFR_chr5_79950217__ABL1_chr9_133738356	3503	6278	837	4049	1626
DHFR_chr5_79950217__ADA_chr20_43257696	7	1	2	358	2677
DHFR_chr5_79950217__AKT1_chr14_105239609	4	296	895	7	14
DHFR_chr5_79950217__AKT1_chr14_105239686	8	982	359	7	10
DHFR_chr5_79950217__AKT1_chr14_105258968	14	0	0	4	0
DHFR_chr5_79950217__ALK_chr2_30143522	6	3	0	3	4
DHFR_chr5_79950217__APC_chr5_112102023	2	3	320	0	1
DHFR_chr5_79950217__ARID1A_chr1_27022876	6	4	451	2780	3
DHFR_chr5_79950217__ARID1A_chr1_27056286	8	832	36	1	846
DHFR_chr5_79950217__ARID2_chr12_46123614	5	1302	133	1	0
DHFR_chr5_79950217__ARID2_chr12_46254608	7	2060	993	371	6
DHFR_chr5_79950217__ATM_chr11_108098350	11	2	108	1	329
DHFR_chr5_79950217__ATM_chr11_108098390	6	4	373	6	1971
DHFR_chr5_79950217__BCL2_chr18_60795945	1	4	0	5	2
DHFR_chr5_79950217__BCL2_chr18_60795960	6	446	1	4	3
DHFR_chr5_79950217__BRAF_chr7_140534469	11	2427	6	1446	1022
DHFR_chr5_79950217__BRCA1_chr17_41276018	5	7	1128	3	593
DHFR_chr5_79950217__BRCA2_chr13_32890586	4	4	4	978	1776
DHFR_chr5_79950217__BRD4_chr19_15376403	9	5	535	2	923
DHFR_chr5_79950217__BTK_chrX_100629565	1	2029	3	3	2051
DHFR_chr5_79950217__CASP8_chr2_202131404	6	5	179	7	1664
DHFR_chr5_79950217__CASP8_chr2_202134297	2814	4121	8	7	20
DHFR_chr5_79950217__CDH1_chr16_68771300	10	6	1	5	529
DHFR_chr5_79950217__CDH1_chr16_68772255	2	0	0	2	3
DHFR_chr5_79950217__CDK4_chr12_58144705	9	2	1	6	1586
DHFR_chr5_79950217__CDK4_chr12_58145497	1267	1	268	881	880
DHFR_chr5_79950217__CDK6_chr7_92244474	11	7	7	4	1489
DHFR_chr5_79950217__CDK6_chr7_92462628	7	709	93	3	2
DHFR_chr5_79950217__CDK9_chr9_130548409	1444	1497	9	6	1668
DHFR_chr5_79950217__CDK9_chr9_130548998	3	690	1	1	3
DHFR_chr5_79950217__CDKN2A_chr9_21971100	10	4	1069	6	1575
DHFR_chr5_79950217__CDKN2A_chr9_21994327	4	962	0	1	2
DHFR_chr5_79950217__CHEK1_chr11_125496644	10	3138	378	941	824
DHFR_chr5_79950217__CHEK1_chr11_125496687	3	1024	1	2	2
DHFR_chr5_79950217__CHEK1_chr11_125499147	6	21	425	48	15
DHFR_chr5_79950217__ERBB2_chr17_37855800	7	1	542	3	137
DHFR_chr5_79950217__FGFR3_chr4_1795655	1	2	1480	2	5
DHFR_chr5_79950217__FGFR3_chr4_1795735	5	4	1	3	4
DHFR_chr5_79950217__FLT3_chr13_28636131	15	2148	334	5	201
DHFR_chr5_79950217__FLT3_chr13_28636172	14	1	185	1	3
DHFR_chr5_79950217__FNTA_chr8_42911471	6	0	3	0	382
DHFR_chr5_79950217__FNTA_chr8_42914260	7	1066	2	3449	168
DHFR_chr5_79950217__FNTA_chr8_42924781	3231	6	1	3	1018
DHFR_chr5_79950217__GATA3_chr10_8097722	10	5	171	2	2
DHFR_chr5_79950217__GATA3_chr10_8097790	1985	4	29	4	2685
DHFR_chr5_79950217__HDAC1_chr1_32757816	3159	1759	447	1101	578
DHFR_chr5_79950217__HDAC1_chr1_32792637	16	2025	732	9739	10
DHFR_chr5_79950217__HDAC2_chr6_114267214	3	5	1313	435	1217
DHFR_chr5_79950217__HDAC2_chr6_114292056	8	399	8	3	411
DHFR_chr5_79950217__HDAC6_chrX_48661089	682	102	2	4	1
DHFR_chr5_79950217__HDAC6_chrX_48661385	10	2	829	4	1912
DHFR_chr5_79950217__HSP90AA1_chr14_102605736	7	5	5	4	664
DHFR_chr5_79950217__IGF1R_chr15_99192824	3	1971	3	1696	1437
DHFR_chr5_79950217__JAK2_chr9_5021970	5	3	398	5	5
DHFR_chr5_79950217__JAK2_chr9_5050816	0	2	617	3	2
DHFR_chr5_79950217__KDM5C_chrX_53241022	10	2	48	5	742
DHFR_chr5_79950217__KDM6A_chrX_44820616	5	0	1	2	2
DHFR_chr5_79950217__KIT_chr4_55524176	6	2	3	4	399
DHFR_chr5_79950217__KMT2D_chr12_49448161	5	3523	2	5	944
DHFR_chr5_79950217__KMT2D_chr12_49448168	5	0	1576	12	484
DHFR_chr5_79950217__MAP2K1_chr15_66679721	4	366	536	1	547
DHFR_chr5_79950217__MAP2K1_chr15_66679756	3	4	5	7	8
DHFR_chr5_79950217__MET_chr7_116339123	1035	0	1	3	1926
DHFR_chr5_79950217__MET_chr7_116340188	5	3	148	4	733
DHFR_chr5_79950217__MET_chr7_116340207	7	415	436	2	903
DHFR_chr5_79950217__MLH1_chr3_37038179	4745	7	532	1354	1560
DHFR_chr5_79950217__MSH6_chr2_48010356	6	3045	3	3	812
DHFR_chr5_79950217__MSH6_chr2_48018111	4	2	638	4	1568
DHFR_chr5_79950217__MTOR_chr1_11317010	11	1156	523	1545	8
DHFR_chr5_79950217__MTOR_chr1_11317149	2450	4	777	3	4
DHFR_chr5_79950217__NF1_chr17_29483039	6	515	391	1	4
DHFR_chr5_79950217__NonTargetingControlGuideForHuman0362	3245	3	63	8	214
DHFR_chr5_79950217__NonTargetingControlGuideForHuman0412	11	1061	237	9	4
DHFR_chr5_79950217__PARP1_chr1_226578249	15	2	754	6	1184
DHFR_chr5_79950217__PBRM1_chr3_52702516	1366	968	468	7	4
DHFR_chr5_79950217__PDGFRA_chr4_55124932	3	2	363	11	2294
DHFR_chr5_79950217__PDGFRA_chr4_55124963	13	2105	1209	749	557
DHFR_chr5_79950217__PIK3CA_chr3_178919070	6	4	4	3	4
DHFR_chr5_79950217__PIK3R1_chr5_67576410	4	992	595	237	1993
DHFR_chr5_79950217__PRKDC_chr8_48872683	9	861	264	4	873
DHFR_chr5_79950217__RB1_chr13_48936969	4	3	1266	2	1490
DHFR_chr5_79950217__ROR1_chr1_64240143	12	9	143	6	386
DHFR_chr5_79950217__RPS6KB1_chr17_57987922	0	0	295	5	426
DHFR_chr5_79950217__RPS6KB1_chr17_57987949	814	1605	5	6	1358
DHFR_chr5_79950217__RRM2_chr2_10262728	0	2	11	0	1
DHFR_chr5_79950217__RRM2_chr2_10262957	13	3532	37	7	10
DHFR_chr5_79950217__RUNX1_chr21_36252860	11	0	344	599	3
DHFR_chr5_79950217__RUNX1_chr21_36421144	0	2	1083	1526	5
DHFR_chr5_79950217__SETD2_chr3_47142972	5	806	306	3	460
DHFR_chr5_79950217__SETD2_chr3_47205411	7	5	155	244	3
DHFR_chr5_79950217__SMAD4_chr18_48575673	3	2	1282	0	404
DHFR_chr5_79950217__SMARCA4_chr19_11094851	7	3	8	5	11
DHFR_chr5_79950217__SMARCA4_chr19_11095011	9	2	133	12	624
DHFR_chr5_79950217__SMARCB1_chr22_24133949	17	1330	397	6	5
DHFR_chr5_79950217__SMARCB1_chr22_24133993	6	1283	3	2	617
DHFR_chr5_79950217__SMO_chr7_128845117	5	938	90	1	1
DHFR_chr5_79950217__SRC_chr20_36014563	6	1315	2	1718	36
DHFR_chr5_79950217__SRC_chr20_36022600	3	2	226	5	917
DHFR_chr5_79950217__TOP1_chr20_39657693	15	348	5	326	943
DHFR_chr5_79950217__TOP1_chr20_39690109	4	1614	135	3	952
DHFR_chr5_79950217__TSC1_chr9_135796748	4446	1608	82	12	259
DHFR_chr5_79950217__TSC1_chr9_135796796	12	5	380	1926	1383
DHFR_chr5_79950217__TYMS_chr18_657730	9	2587	361	1814	824
DHFR_chr5_79950217__VEGFA_chr6_43738425	7	5	4	42	869
DHFR_chr5_79950217__VHL_chr3_10183773	3037	5	2	1390	4
DHFR_chr5_79950217__VHL_chr3_10183791	8	3	682	4	286
DHFR_chr5_79950217__WEE1_chr11_9595542	2107	7	1373	3	865
EGFR_chr7_55086962__ABL1_chr9_133589790	2090	4	698	3	183
EGFR_chr7_55086962__ABL1_chr9_133738356	3337	572	356	1228	999
EGFR_chr7_55086962__ADA_chr20_43257696	3233	899	578	1000	1698
EGFR_chr7_55086962__ADA_chr20_43257769	7709	6	112	9	1716
EGFR_chr7_55086962__ADA_chr20_43280245	21	2	1458	2424	1364
EGFR_chr7_55086962__ALK_chr2_29541171	5	814	558	3	2
EGFR_chr7_55086962__ALK_chr2_29541172	8	8	132	4	4
EGFR_chr7_55086962__APC_chr5_112043408	31	2607	1564	9	1692
EGFR_chr7_55086962__APC_chr5_112102023	8	4	717	154	693
EGFR_chr7_55086962__APC_chr5_112102933	9	2214	88	1	614
EGFR_chr7_55086962__ARID1A_chr1_27056286	19	3	899	3	654
EGFR_chr7_55086962__ARID1A_chr1_27056288	9	1118	7	2519	1312
EGFR_chr7_55086962__ARID2_chr12_46123614	8	2	3	1	3
EGFR_chr7_55086962__ARID2_chr12_46205318	2488	6	424	6	8
EGFR_chr7_55086962__ARID2_chr12_46254608	11	2	385	12	821
EGFR_chr7_55086962__ATM_chr11_108098350	11	3	670	3718	4
EGFR_chr7_55086962__ATM_chr11_108098390	1533	567	5	7	3
EGFR_chr7_55086962__BCL2_chr18_60795945	19	4	489	2355	1000
EGFR_chr7_55086962__BRAF_chr7_140508787	27	1112	506	1041	6
EGFR_chr7_55086962__BRAF_chr7_140534469	23	987	4	6	287
EGFR_chr7_55086962__BRAF_chr7_140624501	13	6	610	4540	2
EGFR_chr7_55086962__BRCA2_chr13_32890586	5	3	1	1	1
EGFR_chr7_55086962__BRD4_chr19_15376361	16	7	442	6	782
EGFR_chr7_55086962__BRD4_chr19_15376403	20	2	4	4	7
EGFR_chr7_55086962__BRD4_chr19_15383894	1583	5167	1581	7	987
EGFR_chr7_55086962__BTK_chrX_100629565	11	1	1	5	906
EGFR_chr7_55086962__BTK_chrX_100645534	21	3298	1832	3971	2429
EGFR_chr7_55086962__CASP8_chr2_202131404	7	3	0	2	2
EGFR_chr7_55086962__CDK4_chr12_58143253	18	1	806	1	1
EGFR_chr7_55086962__CDK4_chr12_58144705	5952	11	256	12	710
EGFR_chr7_55086962__CDK4_chr12_58145497	3659	1236	55	6	500
EGFR_chr7_55086962__CDK6_chr7_92462628	18	4	83	6	3
EGFR_chr7_55086962__CDK9_chr9_130548409	7042	5	429	12	2257
EGFR_chr7_55086962__CDK9_chr9_130548998	4136	4	771	4	364
EGFR_chr7_55086962__CDKN1B_chr12_12871196	12	3596	3	7	858
EGFR_chr7_55086962__CDKN2A_chr9_21968726	3	8	903	5	2
EGFR_chr7_55086962__CDKN2A_chr9_21971100	5975	4	1009	7	525
EGFR_chr7_55086962__CHEK1_chr11_125499147	21	6	604	3274	268
EGFR_chr7_55086962__CHEK2_chr22_29090029	8	5	6	2	548
EGFR_chr7_55086962__CHEK2_chr22_29130694	5246	1333	48	3501	1330
EGFR_chr7_55086962__DHFR_chr5_79949819	13	6	2	119	2
EGFR_chr7_55086962__DHFR_chr5_79950217	30	4	2	6	1821
EGFR_chr7_55086962__ERBB2_chr17_37855800	22	2649	140	1996	848
EGFR_chr7_55086962__FGFR2_chr10_123298215	4177	2872	59	7925	854
EGFR_chr7_55086962__FLT3_chr13_28636131	3403	53	630	375	382
EGFR_chr7_55086962__FNTA_chr8_42911471	10	7	133	5	1486
EGFR_chr7_55086962__FNTA_chr8_42914260	19	2	635	6	1896
EGFR_chr7_55086962__FNTA_chr8_42924781	9	2	220	981	403
EGFR_chr7_55086962__GATA3_chr10_8097722	12	374	914	4	2080
EGFR_chr7_55086962__GATA3_chr10_8097790	11	2259	291	452	905
EGFR_chr7_55086962__HDAC1_chr1_32792601	2763	1849	293	10	2387
EGFR_chr7_55086962__HDAC6_chrX_48661089	15	544	2	2345	1769
EGFR_chr7_55086962__HDAC6_chrX_48661385	18	1259	5	8	9
EGFR_chr7_55086962__HDAC6_chrX_48674389	3002	2732	865	3	1636
EGFR_chr7_55086962__HSP90AA1_chr14_102551760	8	5	719	6	892
EGFR_chr7_55086962__HSP90AA1_chr14_102552141	4	2678	15	5	2
EGFR_chr7_55086962__IGF1R_chr15_99192824	1601	3609	1423	7	6
EGFR_chr7_55086962__IGF1R_chr15_99434807	9	6	319	1	90
EGFR_chr7_55086962__JAK2_chr9_5021970	8	4	868	4	2
EGFR_chr7_55086962__JAK2_chr9_5050721	9	8	0	2	5
EGFR_chr7_55086962__JAK2_chr9_5050816	9	4	3	5	1071
EGFR_chr7_55086962__KDM5C_chrX_53241022	18	1221	4	7	4
EGFR_chr7_55086962__KDM6A_chrX_44820616	9	4	198	4747	1390
EGFR_chr7_55086962__KIT_chr4_55524164	12	3	217	1	6
EGFR_chr7_55086962__KIT_chr4_55524176	12	1066	4	6	495
EGFR_chr7_55086962__KIT_chr4_55524229	11	2912	1069	6	853
EGFR_chr7_55086962__KMT2D_chr12_49448161	12	2	3	8	377
EGFR_chr7_55086962__MAP2K1_chr15_66679721	15	5	2398	9	7
EGFR_chr7_55086962__MAP2K1_chr15_66679728	16	3	408	3	888
EGFR_chr7_55086962__MAP2K1_chr15_66679756	11	7	1707	5828	8
EGFR_chr7_55086962__MAP3K1_chr5_56152466	17	3	0	3	840
EGFR_chr7_55086962__MET_chr7_116339123	5351	5186	737	10	867
EGFR_chr7_55086962__MLH1_chr3_37045912	2542	3	295	7	4
EGFR_chr7_55086962__MSH6_chr2_48010356	8	1044	810	1602	290
EGFR_chr7_55086962__MSH6_chr2_48018111	11	6	230	13	1953
EGFR_chr7_55086962__MSH6_chr2_48018154	10	2	0	3003	773
EGFR_chr7_55086962__NF1_chr17_29422308	16	6490	728	4	678
EGFR_chr7_55086962__NonTargetingControlGuideForHuman0352	19	8	473	2	592
EGFR_chr7_55086962__PARP1_chr1_226578249	3860	521	961	9	824
EGFR_chr7_55086962__PBRM1_chr3_52696257	5	5	572	11	2063
EGFR_chr7_55086962__PBRM1_chr3_52702516	17	1	459	4	1413
EGFR_chr7_55086962__PDGFRA_chr4_55124932	1223	3172	134	1837	552
EGFR_chr7_55086962__PDGFRA_chr4_55124963	9	2187	4	7	2416
EGFR_chr7_55086962__PIK3CA_chr3_178916614	18	2	457	6	5
EGFR_chr7_55086962__PIK3CA_chr3_178919070	7	9	2	10	2199
EGFR_chr7_55086962__PIK3CA_chr3_178919167	5281	366	6	1756	959
EGFR_chr7_55086962__PIK3R1_chr5_67522521	11	3151	318	3	274
EGFR_chr7_55086962__RB1_chr13_48936969	4	4	1407	9	1909
EGFR_chr7_55086962__ROR1_chr1_64240089	10	1594	1982	9	1550
EGFR_chr7_55086962__ROR1_chr1_64240143	14	691	2020	3	643
EGFR_chr7_55086962__RPS6KB1_chr17_57970538	10	154	1350	3	4
EGFR_chr7_55086962__RPS6KB1_chr17_57987949	21	5	759	3	871
EGFR_chr7_55086962__RRM2_chr2_10262940	874	7	6	5	6
EGFR_chr7_55086962__RRM2_chr2_10262957	4557	7	2	8	2
EGFR_chr7_55086962__RUNX1_chr21_36252902	7702	161	1	7	1069
EGFR_chr7_55086962__RUNX1_chr21_36421144	11	3	2	0	604
EGFR_chr7_55086962__SETD2_chr3_47142951	11	321	1	4	986
EGFR_chr7_55086962__SMAD4_chr18_48575673	6	7	3	6	6
EGFR_chr7_55086962__SMAD4_chr18_48586241	8	4	366	2236	271
EGFR_chr7_55086962__SMARCA4_chr19_11094851	12	2	4	4	1247
EGFR_chr7_55086962__SMARCA4_chr19_11095011	1984	16	603	4	758
EGFR_chr7_55086962__SMARCB1_chr22_24129339	10	2	49	2	341
EGFR_chr7_55086962__SMARCB1_chr22_24133949	23	3	163	6	1236
EGFR_chr7_55086962__SMARCB1_chr22_24133993	3	1	950	5	906
EGFR_chr7_55086962__SRC_chr20_36012562	3	4	1	8	419
EGFR_chr7_55086962__SRC_chr20_36022600	14	7	6	5	601
EGFR_chr7_55086962__TOP1_chr20_39657693	19	1991	596	6	1056
EGFR_chr7_55086962__TOP1_chr20_39690109	5	1	5	0	0
EGFR_chr7_55086962__TP53_chr17_7578373	1786	3	1015	5	546
EGFR_chr7_55086962__TSC1_chr9_135796748	20	15	933	1766	1553
EGFR_chr7_55086962__TSC1_chr9_135796796	14	8	1	8	388
EGFR_chr7_55086962__TSC1_chr9_135804256	10	404	527	2	600
EGFR_chr7_55086962__TYMS_chr18_659656	8	749	997	4	1018
EGFR_chr7_55086962__VEGFA_chr6_43738425	15	2291	544	1706	821
EGFR_chr7_55086962__VEGFA_chr6_43742077	26	4856	571	12	4056
EGFR_chr7_55086962__VHL_chr3_10183773	27	4	569	4	306
EGFR_chr7_55086962__VHL_chr3_10183791	9	1568	612	3	1457
EGFR_chr7_55086962__WEE1_chr11_9595542	18	725	98	2831	2
EGFR_chr7_55209986__ABL1_chr9_133738283	3	9	827	5	2
EGFR_chr7_55209986__ABL1_chr9_133738356	16	25	521	2689	9
EGFR_chr7_55209986__AKT1_chr14_105239609	3	1278	748	5	311
EGFR_chr7_55209986__AKT1_chr14_105258968	12	1	1127	6	1168
EGFR_chr7_55209986__ALK_chr2_30143522	5	4	442	5	1282
EGFR_chr7_55209986__APC_chr5_112043408	12	1954	1948	1974	1274
EGFR_chr7_55209986__APC_chr5_112102023	11	1	2	1	4
EGFR_chr7_55209986__APC_chr5_112102933	6	11	104	4	238
EGFR_chr7_55209986__ARID2_chr12_46123614	5	3853	295	3	3
EGFR_chr7_55209986__ATM_chr11_108098350	8	764	189	7	878
EGFR_chr7_55209986__ATM_chr11_108098390	9	4	412	5	0
EGFR_chr7_55209986__ATM_chr11_108098402	4	5	393	2281	4
EGFR_chr7_55209986__BCL2_chr18_60795945	1	1	71	3	1367
EGFR_chr7_55209986__BCL2_chr18_60795960	11	6	300	5	640
EGFR_chr7_55209986__BRAF_chr7_140508787	1688	6	699	4508	890
EGFR_chr7_55209986__BRAF_chr7_140534469	14	5	524	12	270
EGFR_chr7_55209986__BRCA1_chr17_41256141	11	1554	1550	342	1142
EGFR_chr7_55209986__BRCA2_chr13_32890586	476	1	506	5	98
EGFR_chr7_55209986__BRCA2_chr13_32912006	15	6	177	10	564
EGFR_chr7_55209986__BRD4_chr19_15376403	11	490	5	5	169
EGFR_chr7_55209986__BTK_chrX_100626613	3	4	1	5	2291
EGFR_chr7_55209986__CASP8_chr2_202123033	3016	3	3	783	395
EGFR_chr7_55209986__CASP8_chr2_202134297	14	5	443	10	3
EGFR_chr7_55209986__CDH1_chr16_68772250	8	2	1	3	5
EGFR_chr7_55209986__CDH1_chr16_68772255	5062	4	5	3660	0
EGFR_chr7_55209986__CDK4_chr12_58143253	4178	0	4	10	3
EGFR_chr7_55209986__CDK4_chr12_58144705	10	885	4	3407	9
EGFR_chr7_55209986__CDK4_chr12_58145497	9	2728	1745	3	1102
EGFR_chr7_55209986__CDK6_chr7_92244474	2700	1624	924	2571	5
EGFR_chr7_55209986__CDK6_chr7_92462628	7	2	5	6	398
EGFR_chr7_55209986__CDK9_chr9_130548409	10	2	243	4018	248
EGFR_chr7_55209986__CDK9_chr9_130550235	9	2	22	5997	1040
EGFR_chr7_55209986__CDKN1B_chr12_12870777	10	1	0	5	498
EGFR_chr7_55209986__CDKN1B_chr12_12871196	12	3094	387	437	5
EGFR_chr7_55209986__CDKN2A_chr9_21971100	14	4362	3	427	2
EGFR_chr7_55209986__CHEK1_chr11_125496644	13	8	655	1486	6
EGFR_chr7_55209986__CHEK2_chr22_29085137	6	1	4	4	987
EGFR_chr7_55209986__CHEK2_chr22_29090029	4	3	1	2110	1492
EGFR_chr7_55209986__DHFR_chr5_79950216	14	6	672	5085	219
EGFR_chr7_55209986__DHFR_chr5_79950217	8	3	645	2772	5
EGFR_chr7_55209986__ERBB2_chr17_37868221	10	459	611	2	5
EGFR_chr7_55209986__FGFR2_chr10_123298118	9	5	309	5612	439
EGFR_chr7_55209986__FGFR2_chr10_123298215	6	3	822	7	1636
EGFR_chr7_55209986__FGFR2_chr10_123353328	8	1384	569	4	5
EGFR_chr7_55209986__FGFR3_chr4_1795735	11	2081	1767	5	1349
EGFR_chr7_55209986__FGFR3_chr4_1795736	7	3000	1482	6	1427
EGFR_chr7_55209986__HDAC2_chr6_114266539	7	3	4	6	5
EGFR_chr7_55209986__HDAC6_chrX_48661089	8	648	636	150	1
EGFR_chr7_55209986__HDAC6_chrX_48661385	11	2	2	7	4
EGFR_chr7_55209986__HDAC6_chrX_48674389	6	0	875	8	214
EGFR_chr7_55209986__HSP90AA1_chr14_102551760	5	4	1058	1265	375
EGFR_chr7_55209986__HSP90AA1_chr14_102552141	5	5	4	1990	335
EGFR_chr7_55209986__IGF1R_chr15_99192824	6	6	733	4406	561
EGFR_chr7_55209986__IGF1R_chr15_99434664	6	12	1596	9	952
EGFR_chr7_55209986__JAK2_chr9_5021970	2	647	12	4	986
EGFR_chr7_55209986__JAK2_chr9_5050721	6	5813	640	2004	1002
EGFR_chr7_55209986__JAK2_chr9_5050816	1666	3	326	11	1557
EGFR_chr7_55209986__KDM6A_chrX_44732838	10	1729	2136	3988	9
EGFR_chr7_55209986__KDM6A_chrX_44820616	12	3	486	2	749
EGFR_chr7_55209986__KIT_chr4_55524164	7	2	110	9	4
EGFR_chr7_55209986__KMT2D_chr12_49448468	7	1050	5	1346	9
EGFR_chr7_55209986__MET_chr7_116340188	5	4	147	1986	8
EGFR_chr7_55209986__MET_chr7_116340207	0	752	205	247	1211
EGFR_chr7_55209986__MLH1_chr3_37035029	13	559	164	4491	1363
EGFR_chr7_55209986__MLH1_chr3_37038179	10	5	3	513	1812
EGFR_chr7_55209986__MSH6_chr2_48018111	9	1566	315	185	602
EGFR_chr7_55209986__MTOR_chr1_11317010	3	5	482	1	758
EGFR_chr7_55209986__MTOR_chr1_11319459	3	782	3	342	7
EGFR_chr7_55209986__NF1_chr17_29483038	4	1501	3	5	2
EGFR_chr7_55209986__NF1_chr17_29483039	1	6	25	3	3
EGFR_chr7_55209986__NonTargetingControlGuideForHuman0362	10	1445	690	6	809
EGFR_chr7_55209986__NonTargetingControlGuideForHuman0412	6	3	3	4	0
EGFR_chr7_55209986__PARP1_chr1_226578249	3715	6	1346	7	65
EGFR_chr7_55209986__PARP1_chr1_226595581	4	4	329	6	1760
EGFR_chr7_55209986__PBRM1_chr3_52702516	9	1606	8	260	2
EGFR_chr7_55209986__PDGFRA_chr4_55124963	2344	1405	1195	5859	3359
EGFR_chr7_55209986__PDGFRA_chr4_55129914	1	3	499	5	1454
EGFR_chr7_55209986__PIK3CA_chr3_178916614	14	3040	29	9011	2606
EGFR_chr7_55209986__PIK3R1_chr5_67576421	4	1305	384	4	8
EGFR_chr7_55209986__PTEN_chr10_89685297	2943	8	8	10	2718
EGFR_chr7_55209986__PTEN_chr10_89711868	11	8	3	6	3
EGFR_chr7_55209986__ROR1_chr1_64240143	9	1883	532	10	450
EGFR_chr7_55209986__RPS6KB1_chr17_57970538	5	837	192	0	228
EGFR_chr7_55209986__RPS6KB1_chr17_57987922	2567	9	1445	4	870
EGFR_chr7_55209986__RPS6KB1_chr17_57987949	5	9	2	6	6
EGFR_chr7_55209986__RRM2_chr2_10262940	7	431	150	5	163
EGFR_chr7_55209986__RUNX1_chr21_36252860	7	4	1347	8	1409
EGFR_chr7_55209986__SETD2_chr3_47142951	4579	1272	207	7	1612
EGFR_chr7_55209986__SETD2_chr3_47205411	7	2127	796	7	10
EGFR_chr7_55209986__SMAD4_chr18_48573460	1596	1797	975	2859	244
EGFR_chr7_55209986__SMARCA4_chr19_11094819	2746	6	110	3724	2905
EGFR_chr7_55209986__SMARCA4_chr19_11095011	8	3457	590	1564	955
EGFR_chr7_55209986__SMARCB1_chr22_24129339	3	3	190	1	4
EGFR_chr7_55209986__SMARCB1_chr22_24133993	2	1259	1	7	1244
EGFR_chr7_55209986__SMO_chr7_128845081	4990	5	260	7	1018
EGFR_chr7_55209986__SMO_chr7_128845117	5	224	602	3	7
EGFR_chr7_55209986__SRC_chr20_36012562	5	2	1072	4	1140
EGFR_chr7_55209986__SRC_chr20_36014563	8	8	465	4	3
EGFR_chr7_55209986__SRC_chr20_36022600	8	2383	1545	2116	1387
EGFR_chr7_55209986__TOP1_chr20_39690055	35	6	1	1311	5
EGFR_chr7_55209986__TOP1_chr20_39690109	10	5	1	4	1701
EGFR_chr7_55209986__TP53_chr17_7577537	2494	1048	433	4	318
EGFR_chr7_55209986__TP53_chr17_7578373	4	2	106	1	3
EGFR_chr7_55209986__TP53_chr17_7579881	9	792	979	7	666
EGFR_chr7_55209986__TSC1_chr9_135804256	6	3	1	0	5
EGFR_chr7_55209986__TYMS_chr18_659656	2	0	25	6	6
EGFR_chr7_55209986__TYMS_chr18_659665	4	6	735	9	1495
EGFR_chr7_55209986__VEGFA_chr6_43742077	12	106	742	3552	657
EGFR_chr7_55209986__VHL_chr3_10183773	10	1251	1836	6	951
EGFR_chr7_55209986__VHL_chr3_10183791	5	1258	10	10	1768
EGFR_chr7_55209986__WEE1_chr11_9595462	9	14	510	3923	1372
EGFR_chr7_55209986__WEE1_chr11_9595542	4	3	1351	6	1140
EGFR_chr7_55209992__ABL1_chr9_133738356	5	2252	71	5	2
