construct_id	U2OS-CAS9B-t28_S4_trimmed53_len_filtered_counts	U2OS-CAS9TREX2A-t14_S1_trimmed53_len_filtered_counts	U2OS-CAS9TREX2A-t28_S5_trimmed53_len_filtered_counts	U2OS-CAS9TREX2B-t14_S2_trimmed53_len_filtered_counts	U2OS-CAS9TREX2B-t28_S6_trimmed53_len_filtered_counts	U2OS-Parent-t28_S3_trimmed53_len_filtered_counts
BRAF_chr7_140624501__MSH6_chr2_48018154	17	2	3	4	1	16
BRAF_chr7_140624501__MTOR_chr1_11317010	10	14	5	9	1	16
BRAF_chr7_140624501__MTOR_chr1_11317149	4	1	9	7	3	6
BRAF_chr7_140624501__NF1_chr17_29422308	146	30	57	29	5	19
BRAF_chr7_140624501__NonTargetingControlGuideForHuman0362	111	7	28	46	50	52
BRAF_chr7_140624501__NonTargetingControlGuideForHuman0412	39	41	20	89	124	46
BRAF_chr7_140624501__PARP1_chr1_226578249	115	13	11	18	24	70
BRAF_chr7_140624501__PARP1_chr1_226578301	81	3	5	3	1	25
BRAF_chr7_140624501__PBRM1_chr3_52696257	2	0	3	10	7	16
BRAF_chr7_140624501__PBRM1_chr3_52702516	17	40	5	24	33	8
BRAF_chr7_140624501__PBRM1_chr3_52713723	18	2	11	0	0	15
BRAF_chr7_140624501__PDGFRA_chr4_55124963	26	76	53	109	686	61
BRAF_chr7_140624501__PDGFRA_chr4_55129914	41	3	8	5	3	32
BRAF_chr7_140624501__PIK3CA_chr3_178916614	61	70	21	7	4	15
BRAF_chr7_140624501__PIK3CA_chr3_178919070	41	28	56	13	1	18
BRAF_chr7_140624501__PIK3CA_chr3_178919167	165	275	90	65	4	15
BRAF_chr7_140624501__PIK3R1_chr5_67576410	18	39	184	25	3	31
BRAF_chr7_140624501__RB1_chr13_48936969	45	35	8	37	88	2
BRAF_chr7_140624501__ROR1_chr1_64240089	18	6	3	3	6	11
BRAF_chr7_140624501__RPS6KB1_chr17_57987922	78	0	3	7	2	0
BRAF_chr7_140624501__RPS6KB1_chr17_57987949	205	90	187	16	8	51
BRAF_chr7_140624501__RRM2_chr2_10262957	40	2	13	3	5	71
BRAF_chr7_140624501__RUNX1_chr21_36252860	16	3	6	2	5	0
BRAF_chr7_140624501__RUNX1_chr21_36421144	55	20	10	1	2	0
BRAF_chr7_140624501__SETD2_chr3_47142951	34	101	73	2	2	17
BRAF_chr7_140624501__SETD2_chr3_47205411	116	19	53	109	85	21
BRAF_chr7_140624501__SMAD4_chr18_48573460	10	12	3	25	40	7
BRAF_chr7_140624501__SMAD4_chr18_48575673	78	57	9	8	2	34
BRAF_chr7_140624501__SMARCA4_chr19_11094851	10	57	38	5	3	50
BRAF_chr7_140624501__SMARCB1_chr22_24129339	74	49	7	13	5	12
BRAF_chr7_140624501__SMARCB1_chr22_24133949	127	41	74	12	2	5
BRAF_chr7_140624501__SMARCB1_chr22_24133993	67	2	2	1	0	12
BRAF_chr7_140624501__SMO_chr7_128828974	105	24	119	49	5	22
BRAF_chr7_140624501__SRC_chr20_36022600	120	32	24	47	1	14
BRAF_chr7_140624501__TOP1_chr20_39690109	5	2	0	1	1	12
BRAF_chr7_140624501__TP53_chr17_7577537	140	171	197	128	85	60
BRAF_chr7_140624501__TSC1_chr9_135796748	14	9	37	9	9	53
BRAF_chr7_140624501__TSC1_chr9_135796796	83	105	245	19	8	21
BRAF_chr7_140624501__TSC1_chr9_135804256	2	1	2	3	5	0
BRAF_chr7_140624501__VEGFA_chr6_43738425	17	2	11	3	94	21
BRAF_chr7_140624501__VEGFA_chr6_43742077	32	41	32	22	8	9
BRAF_chr7_140624501__VEGFA_chr6_43742108	48	210	369	66	4	67
BRAF_chr7_140624501__VHL_chr3_10183791	6	1	0	77	1	0
BRAF_chr7_140624501__WEE1_chr11_9595462	48	18	138	21	4	11
BRAF_chr7_140624501__WEE1_chr11_9595542	8	3	4	3	0	0
BRAF_chr7_140624501__WEE1_chr11_9595845	13	10	4	6	1	29
BRCA1_chr17_41256141__ADA_chr20_43280245	114	19	21	5	2	48
BRCA1_chr17_41256141__AKT1_chr14_105239609	7	11	2	2	90	14
BRCA1_chr17_41256141__ALK_chr2_29541171	10	1	0	2	0	13
BRCA1_chr17_41256141__ALK_chr2_29541172	2	46	3	3	0	32
BRCA1_chr17_41256141__APC_chr5_112102023	2	1	3	2	2	1
BRCA1_chr17_41256141__APC_chr5_112102933	4	3	2	26	0	26
BRCA1_chr17_41256141__ARID1A_chr1_27056286	7	279	247	16	5	39
BRCA1_chr17_41256141__ARID1A_chr1_27056288	5	42	31	18	3	19
BRCA1_chr17_41256141__ARID2_chr12_46123614	6	112	601	2	8	6
BRCA1_chr17_41256141__ATM_chr11_108098350	88	5	1	2	1	12
BRCA1_chr17_41256141__ATM_chr11_108098402	4	0	1	0	0	2
BRCA1_chr17_41256141__BCL2_chr18_60795960	11	1	0	8	2	33
BRCA1_chr17_41256141__BCL2_chr18_60985877	2	2	1	1	0	2
BRCA1_chr17_41256141__BRAF_chr7_140508787	7	49	6	28	1	21
BRCA1_chr17_41256141__BRAF_chr7_140624501	12	7	8	8	0	6
BRCA1_chr17_41256141__BRCA2_chr13_32890586	0	1	1	1	0	1
BRCA1_chr17_41256141__BRCA2_chr13_32912006	42	0	3	4	0	40
BRCA1_chr17_41256141__BRCA2_chr13_32914228	13	2	2	4	1	2
BRCA1_chr17_41256141__BRD4_chr19_15376403	4	0	4	31	2	19
BRCA1_chr17_41256141__BRD4_chr19_15383894	21	4	27	0	0	21
BRCA1_chr17_41256141__CDH1_chr16_68771300	3	3	1	0	2	30
BRCA1_chr17_41256141__CDH1_chr16_68772255	0	2	1	1	0	6
BRCA1_chr17_41256141__CDK4_chr12_58143253	2	3	1	1	0	8
BRCA1_chr17_41256141__CDK6_chr7_92244474	15	62	33	5	0	46
BRCA1_chr17_41256141__CDKN1B_chr12_12871196	3	1	3	13	1	3
BRCA1_chr17_41256141__CDKN2A_chr9_21971100	7	14	5	88	32	19
BRCA1_chr17_41256141__CDKN2A_chr9_21994327	0	3	1	4	1	1
BRCA1_chr17_41256141__CHEK1_chr11_125496644	7	0	1	3	1	10
BRCA1_chr17_41256141__CHEK2_chr22_29085137	2	40	142	9	2	12
BRCA1_chr17_41256141__CHEK2_chr22_29090029	1	0	4	11	1	13
BRCA1_chr17_41256141__CHEK2_chr22_29130694	72	20	49	3	6	44
BRCA1_chr17_41256141__DHFR_chr5_79949819	2	2	2	1	0	12
BRCA1_chr17_41256141__DHFR_chr5_79950216	6	43	28	5	2	17
BRCA1_chr17_41256141__DHFR_chr5_79950217	27	11	2	18	0	33
BRCA1_chr17_41256141__EGFR_chr7_55086962	19	52	12	44	0	50
BRCA1_chr17_41256141__ERBB2_chr17_37868292	35	2	2	4	2	15
BRCA1_chr17_41256141__FGFR2_chr10_123353328	5	109	45	37	1	16
BRCA1_chr17_41256141__FGFR3_chr4_1795736	111	5	3	106	2	25
BRCA1_chr17_41256141__FLT3_chr13_28674643	4	121	34	2	1	29
BRCA1_chr17_41256141__FNTA_chr8_42914260	1	27	38	8	1	32
BRCA1_chr17_41256141__FNTA_chr8_42924781	5	16	2	5	1	4
BRCA1_chr17_41256141__GATA3_chr10_8097612	3	3	6	0	0	0
BRCA1_chr17_41256141__HDAC1_chr1_32757816	21	3	3	13	2	24
BRCA1_chr17_41256141__HDAC1_chr1_32792601	1	7	2	1	0	11
BRCA1_chr17_41256141__HDAC2_chr6_114266539	26	12	6	41	32	32
BRCA1_chr17_41256141__HDAC2_chr6_114267214	1	2	1	3	1	7
BRCA1_chr17_41256141__HDAC6_chrX_48661089	169	5	1	3	0	2
BRCA1_chr17_41256141__HDAC6_chrX_48674389	21	6	4	3	0	31
BRCA1_chr17_41256141__HSP90AA1_chr14_102552141	2	1	7	2	0	6
BRCA1_chr17_41256141__IGF1R_chr15_99434664	0	4	0	1	1	8
BRCA1_chr17_41256141__IGF1R_chr15_99434807	6	2	4	0	2	9
BRCA1_chr17_41256141__JAK2_chr9_5021970	2	8	1	9	1	34
BRCA1_chr17_41256141__JAK2_chr9_5050721	2	1	3	3	0	1
BRCA1_chr17_41256141__JAK2_chr9_5050816	3	1	3	2	2	1
BRCA1_chr17_41256141__KDM5C_chrX_53241021	0	2	1	0	1	0
BRCA1_chr17_41256141__KDM5C_chrX_53254068	29	105	50	5	1	55
BRCA1_chr17_41256141__KDM6A_chrX_44820615	71	48	45	4	1	29
BRCA1_chr17_41256141__KIT_chr4_55524176	3	1	2	3	1	22
BRCA1_chr17_41256141__KIT_chr4_55524229	23	72	6	2	2	13
BRCA1_chr17_41256141__MAP2K1_chr15_66679721	8	10	9	43	1	59
BRCA1_chr17_41256141__MAP2K1_chr15_66679728	3	23	1	2	0	11
BRCA1_chr17_41256141__MAP3K1_chr5_56152485	14	4	4	5	1	6
BRCA1_chr17_41256141__MET_chr7_116339123	27	8	16	1	0	1
BRCA1_chr17_41256141__MET_chr7_116340188	33	2	4	7	2	32
BRCA1_chr17_41256141__MSH6_chr2_48010356	1	3	0	1	1	31
BRCA1_chr17_41256141__MSH6_chr2_48018111	11	1	6	89	184	26
BRCA1_chr17_41256141__MTOR_chr1_11317149	0	3	2	0	1	0
BRCA1_chr17_41256141__MTOR_chr1_11319459	1	16	0	86	1	3
BRCA1_chr17_41256141__NF1_chr17_29422308	58	70	10	3	22	50
BRCA1_chr17_41256141__NF1_chr17_29483038	1	2	8	2	2	62
BRCA1_chr17_41256141__NonTargetingControlGuideForHuman0362	35	16	10	47	2	12
BRCA1_chr17_41256141__NonTargetingControlGuideForHuman0412	70	7	7	23	4	22
BRCA1_chr17_41256141__PARP1_chr1_226578249	17	21	6	14	1	6
BRCA1_chr17_41256141__PBRM1_chr3_52702516	28	2	5	5	2	66
BRCA1_chr17_41256141__PBRM1_chr3_52713723	2	1	4	5	0	22
BRCA1_chr17_41256141__PIK3CA_chr3_178916614	8	36	3	18	21	79
BRCA1_chr17_41256141__PIK3CA_chr3_178919167	0	27	151	4	3	14
BRCA1_chr17_41256141__PIK3R1_chr5_67522521	50	5	2	5	0	69
BRCA1_chr17_41256141__PRKDC_chr8_48686398	16	2	3	39	67	4
BRCA1_chr17_41256141__PRKDC_chr8_48686781	6	0	3	6	1	1
BRCA1_chr17_41256141__PRKDC_chr8_48872683	34	3	1	24	1	6
BRCA1_chr17_41256141__PTEN_chr10_89711868	5	2	4	2	0	20
BRCA1_chr17_41256141__RB1_chr13_48934148	0	0	3	0	0	0
BRCA1_chr17_41256141__RB1_chr13_48936969	4	25	5	7	1	45
BRCA1_chr17_41256141__ROR1_chr1_64240072	30	4	2	3	1	29
BRCA1_chr17_41256141__ROR1_chr1_64240089	46	2	8	1	0	38
BRCA1_chr17_41256141__RRM2_chr2_10262940	18	19	5	2	0	18
BRCA1_chr17_41256141__RUNX1_chr21_36252860	67	4	7	3	1	51
BRCA1_chr17_41256141__SETD2_chr3_47142951	1	34	3	136	48	3
BRCA1_chr17_41256141__SETD2_chr3_47142972	62	4	5	26	1	2
BRCA1_chr17_41256141__SMAD4_chr18_48573460	3	0	2	110	75	0
BRCA1_chr17_41256141__SMAD4_chr18_48586241	18	2	1	5	0	5
BRCA1_chr17_41256141__SMARCB1_chr22_24133993	3	0	1	0	0	4
BRCA1_chr17_41256141__SMO_chr7_128828974	1	9	4	26	1	10
BRCA1_chr17_41256141__SMO_chr7_128845117	3	3	7	11	0	3
BRCA1_chr17_41256141__SRC_chr20_36012562	20	0	3	2	3	16
BRCA1_chr17_41256141__TOP1_chr20_39657693	4	111	13	3	0	48
BRCA1_chr17_41256141__TOP1_chr20_39690055	2	1	4	3	0	1
BRCA1_chr17_41256141__TP53_chr17_7578373	2	19	29	19	0	30
BRCA1_chr17_41256141__TSC1_chr9_135796748	65	12	5	2	1	28
BRCA1_chr17_41256141__TSC1_chr9_135796796	21	2	3	26	18	62
BRCA1_chr17_41256141__TYMS_chr18_657730	78	17	9	7	1	43
BRCA1_chr17_41256141__VEGFA_chr6_43742077	34	37	5	26	34	88
BRCA1_chr17_41256141__VEGFA_chr6_43742108	45	85	97	2	2	1
BRCA1_chr17_41256141__VHL_chr3_10183773	91	60	20	7	3	34
BRCA1_chr17_41256141__WEE1_chr11_9595845	0	0	0	0	0	6
BRCA1_chr17_41267735__ABL1_chr9_133738283	2	2	6	2	2	15
BRCA1_chr17_41267735__ADA_chr20_43257696	2	2	4	3	2	0
BRCA1_chr17_41267735__ADA_chr20_43257769	28	4	6	20	2	43
BRCA1_chr17_41267735__AKT1_chr14_105239686	80	37	6	4	0	30
BRCA1_chr17_41267735__AKT1_chr14_105258968	12	22	8	2	0	22
BRCA1_chr17_41267735__ALK_chr2_29541171	101	1	1	1	2	0
BRCA1_chr17_41267735__ALK_chr2_30143522	1	3	2	40	1	34
BRCA1_chr17_41267735__APC_chr5_112102933	1	5	3	2	1	9
BRCA1_chr17_41267735__BCL2_chr18_60795945	5	1	2	2	0	4
BRCA1_chr17_41267735__BCL2_chr18_60795960	36	14	9	37	2	67
BRCA1_chr17_41267735__BRAF_chr7_140508787	23	2	5	1	0	82
BRCA1_chr17_41267735__BRCA2_chr13_32890586	6	0	3	1	1	31
BRCA1_chr17_41267735__BRCA2_chr13_32912006	2	1	1	2	0	3
BRCA1_chr17_41267735__BRCA2_chr13_32914228	1	0	2	0	0	0
BRCA1_chr17_41267735__BRD4_chr19_15383894	94	4	3	3	1	18
BRCA1_chr17_41267735__BTK_chrX_100626613	1	1	2	9	1	5
BRCA1_chr17_41267735__BTK_chrX_100629565	1	2	7	3	3	66
BRCA1_chr17_41267735__BTK_chrX_100645534	4	0	10	5	0	22
BRCA1_chr17_41267735__CASP8_chr2_202123033	4	16	34	52	66	79
BRCA1_chr17_41267735__CASP8_chr2_202134297	4	7	4	1	0	26
BRCA1_chr17_41267735__CDH1_chr16_68771300	44	8	30	46	1	15
BRCA1_chr17_41267735__CDH1_chr16_68772250	8	6	6	4	1	4
BRCA1_chr17_41267735__CDH1_chr16_68772255	4	3	4	1	0	0
BRCA1_chr17_41267735__CDK6_chr7_92462628	1	0	0	0	0	16
BRCA1_chr17_41267735__CDK9_chr9_130548998	1	1	1	1	0	2
BRCA1_chr17_41267735__CDK9_chr9_130550235	3	2	2	2	1	21
BRCA1_chr17_41267735__CDKN1B_chr12_12870931	102	34	3	28	0	28
BRCA1_chr17_41267735__CDKN2A_chr9_21971100	28	49	67	4	0	70
BRCA1_chr17_41267735__CHEK2_chr22_29090029	2	1	2	1	0	10
BRCA1_chr17_41267735__DHFR_chr5_79950216	71	6	12	19	1	5
BRCA1_chr17_41267735__DHFR_chr5_79950217	19	3	7	1	1	33
BRCA1_chr17_41267735__EGFR_chr7_55086962	2	0	3	7	0	11
BRCA1_chr17_41267735__EGFR_chr7_55209986	35	22	5	3	3	15
BRCA1_chr17_41267735__EGFR_chr7_55209992	76	3	6	5	1	10
BRCA1_chr17_41267735__ERBB2_chr17_37868221	2	2	2	0	0	41
BRCA1_chr17_41267735__FGFR2_chr10_123353328	1	2	5	1	0	15
BRCA1_chr17_41267735__FGFR3_chr4_1795735	17	8	8	428	602	31
BRCA1_chr17_41267735__FGFR3_chr4_1795736	18	29	4	16	30	2
BRCA1_chr17_41267735__FLT3_chr13_28636131	22	3	4	1	0	20
BRCA1_chr17_41267735__FNTA_chr8_42911471	144	1	7	6	1	19
BRCA1_chr17_41267735__FNTA_chr8_42914260	4	0	3	1	0	13
BRCA1_chr17_41267735__HDAC1_chr1_32792601	7	43	35	5	0	19
BRCA1_chr17_41267735__HDAC1_chr1_32792637	4	4	6	1	0	7
BRCA1_chr17_41267735__HDAC2_chr6_114292056	4	30	1	0	1	47
BRCA1_chr17_41267735__HDAC6_chrX_48674389	2	33	4	1	0	4
BRCA1_chr17_41267735__HSP90AA1_chr14_102551760	15	1	5	2	2	8
BRCA1_chr17_41267735__HSP90AA1_chr14_102552141	3	2	2	1	1	2
BRCA1_chr17_41267735__HSP90AA1_chr14_102605736	35	6	12	2	4	35
BRCA1_chr17_41267735__IGF1R_chr15_99192824	4	5	6	26	1	9
BRCA1_chr17_41267735__IGF1R_chr15_99434664	14	24	2	2	2	2
BRCA1_chr17_41267735__IGF1R_chr15_99434807	9	128	85	0	0	58
BRCA1_chr17_41267735__JAK2_chr9_5021970	0	1	1	42	1	7
BRCA1_chr17_41267735__JAK2_chr9_5050721	3	1	4	1	0	12
BRCA1_chr17_41267735__KDM5C_chrX_53241021	0	1	2	0	0	2
BRCA1_chr17_41267735__KDM5C_chrX_53254068	4	29	8	4	0	43
BRCA1_chr17_41267735__KDM6A_chrX_44732838	6	1	2	1	1	6
BRCA1_chr17_41267735__MAP2K1_chr15_66679721	23	20	13	2	2	8
BRCA1_chr17_41267735__MAP2K1_chr15_66679728	2	3	6	27	18	0
BRCA1_chr17_41267735__MAP3K1_chr5_56152466	13	2	2	2	1	0
BRCA1_chr17_41267735__MET_chr7_116339123	25	1	4	2	24	0
BRCA1_chr17_41267735__MLH1_chr3_37035029	1	5	8	1	0	4
BRCA1_chr17_41267735__MLH1_chr3_37038179	96	25	8	8	2	31
BRCA1_chr17_41267735__MLH1_chr3_37045912	8	6	9	161	1156	3
BRCA1_chr17_41267735__MSH6_chr2_48018111	91	3	8	18	0	36
BRCA1_chr17_41267735__MTOR_chr1_11317010	36	0	4	5	1	4
BRCA1_chr17_41267735__MTOR_chr1_11317149	1	3	5	17	0	10
BRCA1_chr17_41267735__NonTargetingControlGuideForHuman0362	7	3	7	11	2	15
BRCA1_chr17_41267735__NonTargetingControlGuideForHuman0412	33	1	5	3	0	27
BRCA1_chr17_41267735__PARP1_chr1_226578301	1	2	0	1	0	17
BRCA1_chr17_41267735__PARP1_chr1_226595581	1	1	2	1	0	46
BRCA1_chr17_41267735__PBRM1_chr3_52696257	14	0	2	0	0	4
BRCA1_chr17_41267735__PBRM1_chr3_52713723	2	3	5	10	0	8
BRCA1_chr17_41267735__PDGFRA_chr4_55124932	5	4	3	0	1	103
BRCA1_chr17_41267735__PDGFRA_chr4_55129914	0	3	3	4	0	17
BRCA1_chr17_41267735__PIK3CA_chr3_178916614	47	135	70	3	4	29
BRCA1_chr17_41267735__PIK3CA_chr3_178919167	7	1	2	2	1	28
BRCA1_chr17_41267735__PIK3R1_chr5_67522521	21	0	4	1	0	11
BRCA1_chr17_41267735__PIK3R1_chr5_67576410	47	1	5	3	0	0
BRCA1_chr17_41267735__PRKDC_chr8_48686781	51	72	38	5	0	68
BRCA1_chr17_41267735__PRKDC_chr8_48872683	64	34	0	36	72	16
BRCA1_chr17_41267735__PTEN_chr10_89653786	4	189	41	2	2	4
BRCA1_chr17_41267735__PTEN_chr10_89685297	18	6	9	2	2	43
BRCA1_chr17_41267735__PTEN_chr10_89711868	22	1	4	3	1	12
BRCA1_chr17_41267735__RB1_chr13_48936969	1	2	7	6	1	53
BRCA1_chr17_41267735__ROR1_chr1_64240089	33	48	5	5	2	55
BRCA1_chr17_41267735__RUNX1_chr21_36252860	26	2	10	45	1	50
BRCA1_chr17_41267735__RUNX1_chr21_36252902	2	1	3	1	0	6
BRCA1_chr17_41267735__RUNX1_chr21_36421144	0	1	10	0	1	14
BRCA1_chr17_41267735__SETD2_chr3_47142972	3	1	6	0	0	4
BRCA1_chr17_41267735__SMAD4_chr18_48573460	4	0	0	5	1	23
BRCA1_chr17_41267735__SMAD4_chr18_48575673	3	71	169	2	2	1
BRCA1_chr17_41267735__SMAD4_chr18_48586241	3	1	2	59	79	10
BRCA1_chr17_41267735__SMARCB1_chr22_24133949	5	1	2	1	0	28
BRCA1_chr17_41267735__SMO_chr7_128828974	2	3	1	3	1	15
BRCA1_chr17_41267735__SRC_chr20_36012562	3	0	0	0	0	0
BRCA1_chr17_41267735__TOP1_chr20_39657693	25	71	27	11	0	18
BRCA1_chr17_41267735__TOP1_chr20_39690055	1	1	5	0	0	0
BRCA1_chr17_41267735__TSC1_chr9_135796748	5	72	36	9	0	24
BRCA1_chr17_41267735__TSC1_chr9_135796796	4	2	7	7	3	20
BRCA1_chr17_41267735__TSC1_chr9_135804256	1	1	1	2	0	0
BRCA1_chr17_41267735__TYMS_chr18_657730	13	5	12	76	186	33
BRCA1_chr17_41267735__TYMS_chr18_659656	18	27	10	37	0	19
BRCA1_chr17_41267735__TYMS_chr18_659665	3	55	5	1	1	41
BRCA1_chr17_41267735__VEGFA_chr6_43738425	13	38	7	2	2	76
BRCA1_chr17_41267735__VEGFA_chr6_43742077	28	3	11	19	0	33
BRCA1_chr17_41267735__VHL_chr3_10183791	1	1	1	2	0	5
BRCA1_chr17_41267735__WEE1_chr11_9595462	6	1	6	2	0	21
BRCA1_chr17_41267735__WEE1_chr11_9595542	22	1	2	34	32	4
BRCA1_chr17_41267735__WEE1_chr11_9595845	0	1	3	0	0	0
BRCA1_chr17_41276018__ABL1_chr9_133589790	14	2	1	1	0	23
BRCA1_chr17_41276018__ABL1_chr9_133738356	9	2	2	52	2	23
BRCA1_chr17_41276018__AKT1_chr14_105239609	16	22	1	3	0	36
BRCA1_chr17_41276018__AKT1_chr14_105239686	10	3	7	0	1	54
BRCA1_chr17_41276018__AKT1_chr14_105258968	5	1	1	1	1	11
BRCA1_chr17_41276018__ALK_chr2_29541172	24	13	80	96	229	230
BRCA1_chr17_41276018__ALK_chr2_30143522	13	4	4	17	0	24
BRCA1_chr17_41276018__APC_chr5_112102023	4	0	1	8	0	27
BRCA1_chr17_41276018__ARID1A_chr1_27056286	6	0	1	17	0	25
BRCA1_chr17_41276018__ARID1A_chr1_27056288	85	12	4	3	1	14
BRCA1_chr17_41276018__ARID2_chr12_46254608	54	1	1	1	0	42
BRCA1_chr17_41276018__ATM_chr11_108098402	0	0	0	2	0	17
BRCA1_chr17_41276018__BCL2_chr18_60985877	34	0	3	1	0	25
BRCA1_chr17_41276018__BRAF_chr7_140508787	50	2	7	7	0	41
BRCA1_chr17_41276018__BRAF_chr7_140534469	45	17	7	0	1	37
BRCA1_chr17_41276018__BRAF_chr7_140624501	8	16	5	3	0	0
BRCA1_chr17_41276018__BRCA2_chr13_32890586	13	21	9	0	0	21
BRCA1_chr17_41276018__BRD4_chr19_15376361	1	0	1	0	1	48
BRCA1_chr17_41276018__BRD4_chr19_15376403	135	39	4	6	2	57
BRCA1_chr17_41276018__BRD4_chr19_15383894	5	3	2	0	0	18
BRCA1_chr17_41276018__BTK_chrX_100626613	1	30	5	1	0	7
BRCA1_chr17_41276018__BTK_chrX_100645534	3	5	2	8	3	0
BRCA1_chr17_41276018__CASP8_chr2_202131404	2	39	2	0	2	21
BRCA1_chr17_41276018__CDH1_chr16_68771300	5	1	6	3	3	13
BRCA1_chr17_41276018__CDK4_chr12_58143253	1	18	0	69	51	19
BRCA1_chr17_41276018__CDK4_chr12_58145497	35	22	13	0	0	75
BRCA1_chr17_41276018__CDK6_chr7_92244474	13	10	37	4	5	50
BRCA1_chr17_41276018__CDK6_chr7_92252365	30	2	2	18	1	53
BRCA1_chr17_41276018__CDK6_chr7_92462628	1	8	0	0	0	19
BRCA1_chr17_41276018__CDK9_chr9_130548409	1	12	1	115	491	53
BRCA1_chr17_41276018__CDK9_chr9_130548998	0	0	0	0	0	17
BRCA1_chr17_41276018__CDK9_chr9_130550235	11	2	3	19	3	63
BRCA1_chr17_41276018__CDKN1B_chr12_12870931	35	1	1	0	0	8
BRCA1_chr17_41276018__CDKN1B_chr12_12871196	191	19	13	4	2	23
BRCA1_chr17_41276018__CDKN2A_chr9_21971100	3	2	4	11	0	105
BRCA1_chr17_41276018__CHEK1_chr11_125496644	24	1	1	3	0	38
BRCA1_chr17_41276018__CHEK1_chr11_125499147	0	2	0	0	0	33
BRCA1_chr17_41276018__CHEK2_chr22_29085137	8	19	3	12	2	102
BRCA1_chr17_41276018__CHEK2_chr22_29090029	43	1	1	0	1	9
BRCA1_chr17_41276018__CHEK2_chr22_29130694	16	0	5	4	1	15
BRCA1_chr17_41276018__DHFR_chr5_79949819	3	13	3	0	0	17
BRCA1_chr17_41276018__DHFR_chr5_79950216	26	3	6	4	1	96
BRCA1_chr17_41276018__EGFR_chr7_55086962	9	1	2	1	0	2
BRCA1_chr17_41276018__EGFR_chr7_55209986	25	0	1	5	2	62
BRCA1_chr17_41276018__EGFR_chr7_55209992	25	0	2	6	1	17
BRCA1_chr17_41276018__ERBB2_chr17_37855800	17	2	2	0	0	25
BRCA1_chr17_41276018__FGFR2_chr10_123298118	6	50	3	10	0	84
BRCA1_chr17_41276018__FGFR2_chr10_123353328	11	1	22	1	1	25
BRCA1_chr17_41276018__FLT3_chr13_28636131	4	2	2	3	0	19
BRCA1_chr17_41276018__FLT3_chr13_28674643	43	29	9	3	1	43
BRCA1_chr17_41276018__GATA3_chr10_8097722	24	46	5	1	1	20
BRCA1_chr17_41276018__HDAC1_chr1_32792601	22	1	2	2	0	10
BRCA1_chr17_41276018__HDAC6_chrX_48661089	3	3	11	21	0	22
BRCA1_chr17_41276018__HDAC6_chrX_48661385	97	6	13	15	2	20
BRCA1_chr17_41276018__HSP90AA1_chr14_102551760	3	0	6	12	1	25
BRCA1_chr17_41276018__HSP90AA1_chr14_102552141	2	1	2	20	84	21
BRCA1_chr17_41276018__HSP90AA1_chr14_102605736	2	19	38	10	2	7
BRCA1_chr17_41276018__IGF1R_chr15_99192824	8	4	3	4	0	25
BRCA1_chr17_41276018__JAK2_chr9_5021970	2	0	4	5	68	5
BRCA1_chr17_41276018__JAK2_chr9_5050816	38	1	4	2	0	19
BRCA1_chr17_41276018__KDM5C_chrX_53241022	6	2	5	4	1	94
BRCA1_chr17_41276018__KDM6A_chrX_44820616	20	0	0	47	1	37
BRCA1_chr17_41276018__KMT2D_chr12_49448161	0	2	1	9	1	27
BRCA1_chr17_41276018__KMT2D_chr12_49448468	70	8	5	6	2	27
BRCA1_chr17_41276018__MAP2K1_chr15_66679721	6	22	77	12	39	24
BRCA1_chr17_41276018__MAP2K1_chr15_66679756	9	3	1	56	104	3
BRCA1_chr17_41276018__MAP3K1_chr5_56152466	5	1	3	1	0	10
BRCA1_chr17_41276018__MAP3K1_chr5_56152485	13	2	5	2	2	37
BRCA1_chr17_41276018__MET_chr7_116340188	8	19	28	5	1	15
BRCA1_chr17_41276018__MET_chr7_116340207	14	3	1	6	1	20
BRCA1_chr17_41276018__MLH1_chr3_37038179	20	2	6	1	1	34
BRCA1_chr17_41276018__MSH6_chr2_48010356	42	146	50	3	1	50
BRCA1_chr17_41276018__MSH6_chr2_48018111	9	8	4	4	2	52
BRCA1_chr17_41276018__MSH6_chr2_48018154	5	0	2	1	0	23
BRCA1_chr17_41276018__MTOR_chr1_11317010	51	15	19	3	1	50
BRCA1_chr17_41276018__MTOR_chr1_11317149	1	2	2	0	0	42
BRCA1_chr17_41276018__NF1_chr17_29483039	49	3	1	0	2	15
BRCA1_chr17_41276018__NonTargetingControlGuideForHuman0362	42	4	4	2	1	12
BRCA1_chr17_41276018__NonTargetingControlGuideForHuman0412	5	3	1	4	0	13
BRCA1_chr17_41276018__PARP1_chr1_226578249	98	37	6	2	4	91
BRCA1_chr17_41276018__PARP1_chr1_226595581	4	32	3	0	2	33
BRCA1_chr17_41276018__PBRM1_chr3_52713723	2	88	26	0	1	1
BRCA1_chr17_41276018__PDGFRA_chr4_55124932	2	19	2	1	1	55
BRCA1_chr17_41276018__PDGFRA_chr4_55124963	6	1	5	5	2	47
BRCA1_chr17_41276018__PIK3CA_chr3_178916614	136	3	2	3	1	18
BRCA1_chr17_41276018__PIK3CA_chr3_178919070	55	2	4	2	0	18
BRCA1_chr17_41276018__PIK3CA_chr3_178919167	33	2	3	4	0	19
BRCA1_chr17_41276018__PIK3R1_chr5_67576410	4	2	3	1	1	73
