construct_id	PGP1_MV4_d14_2_S4_trimmed53_len_filtered_counts	PGP1_MV4_d14_1_S3_trimmed53_len_filtered_counts	PGP1_MV4_d3_1_S1_trimmed53_len_filtered_counts	PGP1_MV4_d21_1_S5_trimmed53_len_filtered_counts	PGP1_MV4_d21_2_S6_trimmed53_len_filtered_counts	PGP1_MV4_d3_2_S2_trimmed53_len_filtered_counts	PGP1_MV4_d28_2_S8_trimmed53_len_filtered_counts	PGP1_MV4_d28_1_S7_trimmed53_len_filtered_counts
ENO3_chr17_4856118__LDHAL6B_chr15_59499219	38	291	824	562	33	692	3	410
ENO3_chr17_4856118__LDHAL6B_chr15_59499223	776	2259	2491	3858	1342	1482	1279	1370
ENO3_chr17_4856118__LDHAL6B_chr15_59499236	309	61	6	0	358	820	333	0
ENO3_chr17_4856118__LDHA_chr11_18418076	68	1	0	0	92	226	124	0
ENO3_chr17_4856118__LDHA_chr11_18418383	0	285	0	480	0	457	1	253
ENO3_chr17_4856118__LDHC_chr11_18434337	0	1	390	0	0	498	0	0
ENO3_chr17_4856118__MDH1_chr2_63816486	25	0	0	0	0	119	0	0
ENO3_chr17_4856118__MDH2_chr7_75677504	0	0	64	0	1	0	0	0
ENO3_chr17_4856118__MDH2_chr7_75687297	2439	330	1689	489	2244	631	1725	470
ENO3_chr17_4856118__ME1_chr6_83947513	1892	232	804	505	2848	483	2774	160
ENO3_chr17_4856118__ME1_chr6_84140670	0	12	913	1	1	469	0	2
ENO3_chr17_4856118__ME2_chr18_48422222	0	0	0	0	0	0	0	0
ENO3_chr17_4856118__ME2_chr18_48439284	0	89	600	294	0	755	0	22
ENO3_chr17_4856118__NonTargetingControlGuideForHuman0039	727	59	2	1	1028	275	1030	0
ENO3_chr17_4856118__NonTargetingControlGuideForHuman0095	2762	4544	1174	5248	1629	2752	1102	2780
ENO3_chr17_4856118__PCK1_chr20_56137848	0	0	416	0	0	0	0	0
ENO3_chr17_4856118__PC_chr11_66638606	136	0	727	0	102	812	129	2
ENO3_chr17_4856118__PC_chr11_66638653	0	57	345	167	2	606	0	85
ENO3_chr17_4856118__PC_chr11_66639617	0	40	935	199	0	107	0	60
ENO3_chr17_4856118__PDHA1_chrX_19368113	1	57	651	1	0	1217	0	0
ENO3_chr17_4856118__PDHB_chr3_58416382	1	98	444	223	0	754	0	31
ENO3_chr17_4856118__PDHB_chr3_58419519	1738	174	1202	334	1877	2347	989	121
ENO3_chr17_4856118__PDHX_chr11_34937907	319	445	560	397	188	189	283	35
ENO3_chr17_4856118__PDHX_chr11_34938260	0	26	619	1	0	1180	1	0
ENO3_chr17_4856118__PDHX_chr11_34938309	240	439	957	185	508	887	768	64
ENO3_chr17_4856118__PFKL_chr21_45719969	0	0	230	1	1	115	0	0
ENO3_chr17_4856118__PFKM_chr12_48501200	3380	597	1941	1023	3809	1189	3530	468
ENO3_chr17_4856118__PFKM_chr12_48501913	0	0	0	1	0	1	0	0
ENO3_chr17_4856118__PFKP_chr10_3124584	87	693	1320	1377	20	965	1	929
ENO3_chr17_4856118__PFKP_chr10_3124604	3	5454	7	15348	3	472	8	15421
ENO3_chr17_4856118__PGAM2_chr7_44102518	0	139	428	606	0	268	0	241
ENO3_chr17_4856118__PGD_chr1_10459156	2153	817	1459	2881	1183	1861	1095	1117
ENO3_chr17_4856118__PGD_chr1_10459684	253	1831	812	3064	7	1424	1	948
ENO3_chr17_4856118__PGK1_chrX_77369291	1	0	755	0	1	603	0	0
ENO3_chr17_4856118__PGK1_chrX_77369386	1	322	871	409	0	879	0	31
ENO3_chr17_4856118__PGK2_chr6_49753783	51	0	520	0	0	955	1	0
ENO3_chr17_4856118__PGK2_chr6_49753896	3442	125	0	90	2902	1	2739	74
ENO3_chr17_4856118__PGLS_chr19_17627020	1593	0	938	6	2573	533	2106	0
ENO3_chr17_4856118__PGLS_chr19_17628116	0	0	124	1	0	7	0	0
ENO3_chr17_4856118__PKLR_chr1_155264502	120	0	0	0	45	1153	93	0
ENO3_chr17_4856118__PKLR_chr1_155271174	417	161	556	259	503	1123	729	351
ENO3_chr17_4856118__PKM_chr15_72492920	2697	1623	1355	3338	2323	1045	1443	1025
ENO3_chr17_4856118__PKM_chr15_72523284	263	66	342	0	114	465	116	1
ENO3_chr17_4856118__RPE_chr2_210874447	0	0	189	0	0	0	0	0
ENO3_chr17_4856118__RPIA_chr2_88991199	2464	163	161	158	2563	336	2227	36
ENO3_chr17_4856118__RPIA_chr2_88991329	226	1	498	0	595	643	345	1
ENO3_chr17_4856118__TALDO1_chr11_747467	1	2029	38	3465	1	348	3	1914
ENO3_chr17_4856118__TALDO1_chr11_755880	88	9	512	1	1	107	0	0
ENO3_chr17_4856118__TKT_chr3_53289952	3	0	852	3	1	511	2	0
ENO3_chr17_4856118__TPI1_chr12_6976836	9	0	0	0	0	412	2	0
ENO3_chr17_4856126__ALDOA_chr16_30078215	0	3642	498	1637	16	389	0	785
ENO3_chr17_4856126__ALDOA_chr16_30078641	0	0	0	0	0	88	0	0
ENO3_chr17_4856126__ALDOB_chr9_104188886	0	0	139	1	0	225	0	0
ENO3_chr17_4856126__ALDOB_chr9_104188893	0	0	1	0	0	370	0	0
ENO3_chr17_4856126__ALDOC_chr17_26901140	499	35	166	14	495	299	150	0
ENO3_chr17_4856126__ALDOC_chr17_26901145	0	0	177	0	2	0	0	0
ENO3_chr17_4856126__DLAT_chr11_111896198	0	0	256	0	0	0	0	0
ENO3_chr17_4856126__DLAT_chr11_111899333	0	0	0	0	0	267	0	0
ENO3_chr17_4856126__DLAT_chr11_111899338	0	0	171	0	0	0	0	0
ENO3_chr17_4856126__DLD_chr7_107531707	0	0	0	0	0	562	0	0
ENO3_chr17_4856126__DLD_chr7_107533653	0	15	0	81	0	0	0	31
ENO3_chr17_4856126__DLD_chr7_107533699	0	0	0	0	0	197	0	0
ENO3_chr17_4856126__ENO1_chr1_8928068	0	0	0	0	0	154	0	0
ENO3_chr17_4856126__ENO1_chr1_8934907	0	2	328	1	0	173	0	0
ENO3_chr17_4856126__FBP1_chr9_97369211	0	1	0	0	0	297	0	0
ENO3_chr17_4856126__FBP2_chr9_97333794	0	0	0	0	0	17	0	0
ENO3_chr17_4856126__FBP2_chr9_97333804	288	0	0	1	0	571	0	0
ENO3_chr17_4856126__FBP2_chr9_97355949	0	0	24	0	1	318	0	0
ENO3_chr17_4856126__G6PC_chr17_41059636	0	0	80	0	0	417	0	0
ENO3_chr17_4856126__G6PD_chrX_153760901	0	0	163	0	0	0	0	0
ENO3_chr17_4856126__G6PD_chrX_153775081	142	0	205	0	93	1	55	0
ENO3_chr17_4856126__GAPDHS_chr19_36027769	0	0	0	0	0	0	0	0
ENO3_chr17_4856126__GAPDHS_chr19_36027833	580	0	5	2	910	0	707	0
ENO3_chr17_4856126__GAPDH_chr12_6645947	0	50	0	0	0	0	0	0
ENO3_chr17_4856126__GCK_chr7_44228532	63	0	2	0	305	78	419	0
ENO3_chr17_4856126__GOT1_chr10_101163300	0	0	0	0	0	336	0	0
ENO3_chr17_4856126__GOT1_chr10_101165936	73	0	150	0	0	188	0	0
ENO3_chr17_4856126__GOT2_chr16_58768033	0	0	86	0	0	19	0	0
ENO3_chr17_4856126__H6PD_chr1_9300071	0	0	199	0	0	503	1	0
ENO3_chr17_4856126__HK2_chr2_75061761	0	0	31	0	1	0	0	0
ENO3_chr17_4856126__HK3_chr5_176318055	1	1	60	0	0	244	0	1
ENO3_chr17_4856126__HK3_chr5_176318178	0	0	817	0	0	0	0	0
ENO3_chr17_4856126__LDHAL6B_chr15_59499223	607	0	0	2	564	2	922	0
ENO3_chr17_4856126__LDHA_chr11_18418076	39	0	27	0	0	0	0	0
ENO3_chr17_4856126__LDHB_chr12_21794888	0	0	215	0	0	0	0	0
ENO3_chr17_4856126__LDHB_chr12_21796959	150	133	475	68	32	223	0	31
ENO3_chr17_4856126__LDHC_chr11_18436748	1	4	129	179	0	303	2	2
ENO3_chr17_4856126__LDHC_chr11_18436754	1	0	304	0	0	72	0	0
ENO3_chr17_4856126__MDH1_chr2_63816175	0	71	70	23	0	482	0	0
ENO3_chr17_4856126__MDH2_chr7_75677504	0	0	34	1	0	0	0	0
ENO3_chr17_4856126__MDH2_chr7_75686735	0	0	68	0	0	532	0	0
ENO3_chr17_4856126__MDH2_chr7_75687297	0	0	24	0	0	380	0	0
ENO3_chr17_4856126__ME1_chr6_83947513	2	872	291	1227	0	553	1	584
ENO3_chr17_4856126__ME1_chr6_84140670	0	0	440	0	1	289	0	0
ENO3_chr17_4856126__ME2_chr18_48434448	0	0	0	0	0	0	0	0
ENO3_chr17_4856126__NonTargetingControlGuideForHuman0654	1356	0	0	0	428	2	314	0
ENO3_chr17_4856126__PCK1_chr20_56136482	0	0	233	0	0	110	0	0
ENO3_chr17_4856126__PC_chr11_66639617	0	0	0	0	0	237	0	0
ENO3_chr17_4856126__PDHA1_chrX_19362137	0	0	0	0	0	84	0	0
ENO3_chr17_4856126__PDHA2_chr4_96761286	0	0	156	0	2	527	0	0
ENO3_chr17_4856126__PDHA2_chr4_96761496	0	55	11	75	1	331	0	23
ENO3_chr17_4856126__PDHB_chr3_58416382	102	0	0	0	16	0	29	0
ENO3_chr17_4856126__PDHX_chr11_34938260	0	0	280	0	0	63	0	0
ENO3_chr17_4856126__PFKL_chr21_45730903	0	0	280	0	0	256	0	0
ENO3_chr17_4856126__PGAM1_chr10_99186190	0	0	0	0	0	0	0	0
ENO3_chr17_4856126__PGAM1_chr10_99186192	0	0	6	0	0	225	1	0
ENO3_chr17_4856126__PGAM2_chr7_44102497	59	0	0	0	75	189	52	0
ENO3_chr17_4856126__PGAM2_chr7_44105108	86	0	59	1	211	0	49	0
ENO3_chr17_4856126__PGD_chr1_10459156	0	0	1	0	0	29	0	0
ENO3_chr17_4856126__PGD_chr1_10459684	0	142	1	204	0	177	0	54
ENO3_chr17_4856126__PGD_chr1_10459752	0	0	338	0	0	0	0	0
ENO3_chr17_4856126__PGK1_chrX_77369386	0	812	203	2913	0	70	0	1225
ENO3_chr17_4856126__PGK2_chr6_49753783	0	0	248	0	0	111	0	0
ENO3_chr17_4856126__PGK2_chr6_49753896	0	42	622	377	0	700	0	87
ENO3_chr17_4856126__PGK2_chr6_49754854	286	0	235	2	1402	1	1141	1
ENO3_chr17_4856126__PGLS_chr19_17627020	0	68	58	0	0	138	0	0
ENO3_chr17_4856126__PGLS_chr19_17628116	0	0	0	0	0	0	0	0
ENO3_chr17_4856126__PKLR_chr1_155264347	32	11	472	0	20	641	1	0
ENO3_chr17_4856126__PKLR_chr1_155264502	0	0	0	0	0	0	0	0
ENO3_chr17_4856126__PKM_chr15_72492804	0	0	0	0	0	22	0	0
ENO3_chr17_4856126__PKM_chr15_72523284	0	3	11	0	0	184	0	0
ENO3_chr17_4856126__RPE_chr2_210874447	0	0	0	0	0	0	0	0
ENO3_chr17_4856126__RPE_chr2_210880741	1082	1	253	0	186	578	84	1
ENO3_chr17_4856126__RPIA_chr2_88991199	0	0	0	0	0	1	0	0
ENO3_chr17_4856126__RPIA_chr2_88991329	2	12	268	6	1	1028	1	1
ENO3_chr17_4856126__TALDO1_chr11_755937	0	289	194	75	0	109	0	58
ENO3_chr17_4856126__TPI1_chr12_6976775	3	0	0	0	2	113	0	0
FBP1_chr9_97369115__ALDOA_chr16_30078215	34	1271	3479	4907	694	1808	781	3234
FBP1_chr9_97369115__ALDOA_chr16_30078583	1057	1	345	0	1037	568	320	0
FBP1_chr9_97369115__ALDOA_chr16_30078641	0	0	1626	0	0	530	0	1
FBP1_chr9_97369115__ALDOB_chr9_104188893	0	191	819	156	1	740	0	32
FBP1_chr9_97369115__ALDOC_chr17_26901140	167	2369	1595	7752	770	1625	419	2598
FBP1_chr9_97369115__ALDOC_chr17_26902525	1	690	912	1478	3	490	1	584
FBP1_chr9_97369115__DLAT_chr11_111896198	632	102	905	0	884	400	537	2
FBP1_chr9_97369115__DLD_chr7_107531707	164	2492	1289	1989	219	1219	311	964
FBP1_chr9_97369115__DLD_chr7_107533653	848	0	953	0	441	809	373	1
FBP1_chr9_97369115__ENO1_chr1_8930510	0	580	643	674	2	961	0	202
FBP1_chr9_97369115__ENO1_chr1_8934907	0	98	161	76	0	1090	0	0
FBP1_chr9_97369115__ENO3_chr17_4855147	800	206	783	272	2200	1057	1935	46
FBP1_chr9_97369115__ENO3_chr17_4856118	517	81	587	1	299	480	292	0
FBP1_chr9_97369115__ENO3_chr17_4856126	990	0	159	0	2025	188	2375	2
FBP1_chr9_97369115__FBP2_chr9_97333794	1	655	339	2208	3	1279	0	849
FBP1_chr9_97369115__FBP2_chr9_97333804	213	0	167	0	224	687	111	0
FBP1_chr9_97369115__FBP2_chr9_97355949	350	247	81	59	291	956	210	4
FBP1_chr9_97369115__G6PD_chrX_153760877	68	91	731	0	0	254	0	0
FBP1_chr9_97369115__G6PD_chrX_153760901	1	182	1003	288	0	296	0	172
FBP1_chr9_97369115__G6PD_chrX_153775081	663	693	2138	526	448	1719	149	240
FBP1_chr9_97369115__GAPDHS_chr19_36024416	659	38	992	2	813	1204	1153	7
FBP1_chr9_97369115__GAPDHS_chr19_36027769	75	22	548	287	236	840	281	79
FBP1_chr9_97369115__GAPDH_chr12_6645859	275	0	975	0	98	1558	85	0
FBP1_chr9_97369115__GCK_chr7_44189577	0	0	0	0	0	0	0	0
FBP1_chr9_97369115__GCK_chr7_44189603	18	0	496	18	11	784	46	0
FBP1_chr9_97369115__GOT1_chr10_101165936	1	0	487	0	0	299	0	0
FBP1_chr9_97369115__GOT1_chr10_101190319	22	0	185	0	0	1289	0	0
FBP1_chr9_97369115__GOT2_chr16_58768033	0	1	384	1	1	20	0	0
FBP1_chr9_97369115__H6PD_chr1_9300071	271	3	106	2	44	371	47	0
FBP1_chr9_97369115__HK1_chr10_71048482	111	7792	421	22141	133	1223	216	9868
FBP1_chr9_97369115__HK1_chr10_71048505	1	0	667	0	147	1584	97	0
FBP1_chr9_97369115__HK2_chr2_75061733	378	0	761	0	226	72	235	0
FBP1_chr9_97369115__HK3_chr5_176318178	0	0	136	0	0	5	0	1
FBP1_chr9_97369115__LDHAL6B_chr15_59499236	0	68	485	27	0	924	0	58
FBP1_chr9_97369115__LDHA_chr11_18418383	643	207	95	175	763	309	446	49
FBP1_chr9_97369115__LDHA_chr11_18418499	18	0	795	0	0	166	0	1
FBP1_chr9_97369115__LDHB_chr12_21794888	0	54	528	1	0	91	0	0
FBP1_chr9_97369115__LDHB_chr12_21796959	121	16	418	1	0	678	0	0
FBP1_chr9_97369115__LDHC_chr11_18434337	1	1	580	0	0	731	0	1
FBP1_chr9_97369115__LDHC_chr11_18436748	325	374	1704	781	652	2026	1281	576
FBP1_chr9_97369115__MDH1_chr2_63821628	446	239	1794	193	617	1035	230	420
FBP1_chr9_97369115__MDH2_chr7_75687297	473	1003	1538	5077	208	1884	393	3655
FBP1_chr9_97369115__ME1_chr6_83947513	680	1809	580	1103	454	921	372	636
FBP1_chr9_97369115__ME1_chr6_84140670	233	0	0	1	600	387	346	3
FBP1_chr9_97369115__ME2_chr18_48422222	0	0	335	0	12	355	25	0
FBP1_chr9_97369115__ME2_chr18_48439284	2	237	156	529	0	939	1	272
FBP1_chr9_97369115__NonTargetingControlGuideForHuman0039	613	906	598	1269	891	60	754	534
FBP1_chr9_97369115__NonTargetingControlGuideForHuman0095	1770	698	1860	722	2825	900	2990	230
FBP1_chr9_97369115__PCK1_chr20_56137848	1	440	723	554	0	198	1	332
FBP1_chr9_97369115__PC_chr11_66638653	100	1	636	0	670	718	1096	1
FBP1_chr9_97369115__PDHA1_chrX_19362137	552	0	372	4	381	237	640	0
FBP1_chr9_97369115__PDHA1_chrX_19368113	0	0	509	2	0	633	0	1
FBP1_chr9_97369115__PDHA2_chr4_96761286	57	72	1285	226	66	375	0	114
FBP1_chr9_97369115__PDHA2_chr4_96761315	0	0	500	0	0	139	1	0
FBP1_chr9_97369115__PDHA2_chr4_96761496	997	287	1252	538	441	878	675	245
FBP1_chr9_97369115__PDHB_chr3_58419519	149	78	1249	96	381	404	273	69
FBP1_chr9_97369115__PDHX_chr11_34937907	679	67	437	329	464	498	346	205
FBP1_chr9_97369115__PDHX_chr11_34938260	14	1	1025	0	1	682	0	1
FBP1_chr9_97369115__PFKL_chr21_45730903	702	1	901	2	1209	912	755	1
FBP1_chr9_97369115__PFKM_chr12_48501913	2	0	252	0	0	108	0	0
FBP1_chr9_97369115__PFKP_chr10_3109771	0	31	833	62	0	323	0	0
FBP1_chr9_97369115__PFKP_chr10_3124584	4	233	2251	587	0	1407	1	251
FBP1_chr9_97369115__PFKP_chr10_3124604	1439	105	636	307	1045	276	2574	111
FBP1_chr9_97369115__PGAM1_chr10_99186191	1	1116	602	1035	1	117	2	303
FBP1_chr9_97369115__PGAM1_chr10_99186192	19	76	1303	138	1	188	0	14
FBP1_chr9_97369115__PGAM2_chr7_44102497	787	130	1424	242	238	2466	305	124
FBP1_chr9_97369115__PGAM2_chr7_44102518	43	37	513	43	0	511	0	20
FBP1_chr9_97369115__PGD_chr1_10459156	141	412	1769	654	45	894	0	116
FBP1_chr9_97369115__PGK1_chrX_77369316	877	330	723	305	56	1734	40	24
FBP1_chr9_97369115__PGK2_chr6_49753783	117	129	277	5	1	1267	0	0
FBP1_chr9_97369115__PGK2_chr6_49753896	23	655	789	1075	26	437	2	592
FBP1_chr9_97369115__PGLS_chr19_17622472	269	696	1702	665	999	2621	1523	265
FBP1_chr9_97369115__PGLS_chr19_17627020	0	572	2055	2070	1	1617	0	959
FBP1_chr9_97369115__PKLR_chr1_155264347	379	285	805	355	409	848	632	253
FBP1_chr9_97369115__PKLR_chr1_155264502	0	23	716	190	1	123	1	108
FBP1_chr9_97369115__PKM_chr15_72492804	0	3	447	170	1	407	1	0
FBP1_chr9_97369115__PKM_chr15_72492920	9966	185	1339	528	5470	1422	4090	159
FBP1_chr9_97369115__RPE_chr2_210867486	0	0	699	0	0	344	0	1
FBP1_chr9_97369115__RPIA_chr2_88991246	156	930	758	1507	0	2760	0	606
FBP1_chr9_97369115__TKT_chr3_53263293	3	0	454	0	0	6	1	0
FBP1_chr9_97369115__TKT_chr3_53289952	78	0	527	0	59	1003	46	1
FBP1_chr9_97369115__TPI1_chr12_6976775	0	0	0	0	0	161	0	0
FBP1_chr9_97369211__ALDOA_chr16_30078583	0	0	0	0	1	340	0	0
FBP1_chr9_97369211__ALDOB_chr9_104188886	1005	26	411	0	491	551	331	1
FBP1_chr9_97369211__ALDOC_chr17_26901140	0	758	465	3010	2	469	0	899
FBP1_chr9_97369211__ALDOC_chr17_26902525	72	0	0	0	36	45	88	0
FBP1_chr9_97369211__DLAT_chr11_111896198	765	0	77	0	872	734	666	4
FBP1_chr9_97369211__DLAT_chr11_111899333	0	0	143	0	0	0	0	0
FBP1_chr9_97369211__DLD_chr7_107533699	0	0	0	0	0	101	0	0
FBP1_chr9_97369211__ENO1_chr1_8928068	0	0	62	0	0	86	0	0
FBP1_chr9_97369211__ENO1_chr1_8934907	0	0	0	0	0	0	0	0
FBP1_chr9_97369211__ENO2_chr12_7025605	1	164	549	214	0	0	0	61
FBP1_chr9_97369211__ENO3_chr17_4855147	1	2041	238	3136	2	321	2	1309
FBP1_chr9_97369211__G6PC_chr17_41052917	0	0	0	0	0	0	0	0
FBP1_chr9_97369211__G6PC_chr17_41055970	0	0	0	0	0	177	0	0
FBP1_chr9_97369211__G6PC_chr17_41059636	39	0	544	0	0	277	0	0
FBP1_chr9_97369211__G6PD_chrX_153760901	156	2150	734	1608	82	382	1	480
FBP1_chr9_97369211__GAPDHS_chr19_36024416	0	103	267	79	0	162	0	0
FBP1_chr9_97369211__GAPDHS_chr19_36027833	2	0	175	0	0	534	0	0
FBP1_chr9_97369211__GAPDH_chr12_6644017	321	383	676	815	218	431	258	373
FBP1_chr9_97369211__GCK_chr7_44189577	0	0	0	0	0	0	0	0
FBP1_chr9_97369211__GOT1_chr10_101163300	0	179	693	94	0	241	0	0
FBP1_chr9_97369211__GOT2_chr16_58750621	2	889	17	1689	4	166	1	331
FBP1_chr9_97369211__GOT2_chr16_58752127	1	0	0	0	1	0	0	0
FBP1_chr9_97369211__H6PD_chr1_9305104	0	154	0	1140	1	224	0	261
FBP1_chr9_97369211__H6PD_chr1_9305432	164	0	408	0	114	546	61	0
FBP1_chr9_97369211__HK1_chr10_71048482	165	110	61	154	150	781	41	116
FBP1_chr9_97369211__HK2_chr2_75061733	0	0	0	0	0	23	0	1
FBP1_chr9_97369211__HK3_chr5_176318178	0	178	195	680	0	171	0	314
FBP1_chr9_97369211__HK3_chr5_176323146	103	553	359	1276	9	464	0	382
FBP1_chr9_97369211__LDHAL6B_chr15_59499236	0	83	0	50	0	465	0	0
FBP1_chr9_97369211__LDHA_chr11_18418383	94	1	494	0	1	666	0	0
FBP1_chr9_97369211__LDHA_chr11_18418499	0	208	187	791	0	75	0	359
FBP1_chr9_97369211__LDHB_chr12_21796959	0	75	0	338	0	401	0	0
FBP1_chr9_97369211__LDHC_chr11_18434337	0	1	165	1	0	0	0	0
FBP1_chr9_97369211__LDHC_chr11_18436748	1709	48	1298	451	1430	1954	1227	232
FBP1_chr9_97369211__MDH1_chr2_63816175	0	0	420	0	0	486	0	1
FBP1_chr9_97369211__MDH1_chr2_63816486	108	92	234	71	85	142	0	37
FBP1_chr9_97369211__MDH2_chr7_75677504	0	0	864	0	0	101	0	0
FBP1_chr9_97369211__MDH2_chr7_75686735	20	156	127	56	36	270	102	0
FBP1_chr9_97369211__MDH2_chr7_75687297	0	207	1	39	0	0	0	6
FBP1_chr9_97369211__ME1_chr6_83947513	1	473	756	1496	1	739	0	866
FBP1_chr9_97369211__ME2_chr18_48422222	0	0	286	0	0	0	0	0
FBP1_chr9_97369211__ME2_chr18_48434448	0	0	314	0	0	217	0	0
FBP1_chr9_97369211__NonTargetingControlGuideForHuman0654	58	397	640	399	94	327	116	131
FBP1_chr9_97369211__PCK1_chr20_56137238	79	168	961	307	155	0	33	82
FBP1_chr9_97369211__PCK1_chr20_56137848	0	0	284	0	0	360	0	0
FBP1_chr9_97369211__PDHA1_chrX_19368113	0	0	0	0	0	140	0	0
FBP1_chr9_97369211__PDHX_chr11_34937907	1	823	215	2874	1	265	2	1731
FBP1_chr9_97369211__PDHX_chr11_34938309	453	874	192	741	313	440	80	277
FBP1_chr9_97369211__PFKL_chr21_45719969	0	0	453	0	2	0	1	0
FBP1_chr9_97369211__PFKL_chr21_45730903	172	0	465	2	155	192	119	0
FBP1_chr9_97369211__PFKM_chr12_48501200	90	1	92	29	5	442	7	0
FBP1_chr9_97369211__PFKM_chr12_48501913	0	106	703	0	1	458	0	0
FBP1_chr9_97369211__PFKM_chr12_48528051	0	0	0	0	0	41	0	0
FBP1_chr9_97369211__PFKP_chr10_3109771	0	203	0	0	1	0	0	0
FBP1_chr9_97369211__PGAM2_chr7_44102497	0	18	77	2	0	583	0	0
FBP1_chr9_97369211__PGAM2_chr7_44105108	0	0	292	0	0	151	0	0
FBP1_chr9_97369211__PGD_chr1_10459156	477	309	1005	331	775	1220	856	171
FBP1_chr9_97369211__PGD_chr1_10459684	88	11	256	2	0	0	0	0
FBP1_chr9_97369211__PGK1_chrX_77369386	1280	94	635	138	1966	858	1980	12
FBP1_chr9_97369211__PGK2_chr6_49754854	1	0	158	1	1	900	0	0
FBP1_chr9_97369211__PGLS_chr19_17622472	41	37	1231	13817	97	434	17	14165
FBP1_chr9_97369211__PGLS_chr19_17627020	6	4306	1	5670	2	1	1	3029
FBP1_chr9_97369211__PGLS_chr19_17628116	0	475	0	690	0	117	0	350
FBP1_chr9_97369211__PKLR_chr1_155264347	132	0	0	0	23	390	5	1
FBP1_chr9_97369211__PKM_chr15_72492920	0	160	0	376	1	400	0	136
FBP1_chr9_97369211__RPE_chr2_210874447	0	0	0	0	0	189	0	0
FBP1_chr9_97369211__RPE_chr2_210880741	860	65	819	2	1038	728	664	1
FBP1_chr9_97369211__RPIA_chr2_88991199	45	23	0	1	0	453	0	0
FBP1_chr9_97369211__RPIA_chr2_88991329	1	1	631	0	2	274	0	0
FBP1_chr9_97369211__TALDO1_chr11_755880	7956	599	1	803	5804	602	4414	536
FBP1_chr9_97369211__TALDO1_chr11_755937	0	0	279	2	0	99	0	0
FBP1_chr9_97369211__TPI1_chr12_6976607	574	445	0	198	418	415	425	72
FBP1_chr9_97369211__TPI1_chr12_6976836	1	625	283	1278	32	546	0	480
FBP1_chr9_97401589__ALDOA_chr16_30078215	478	1109	481	2362	396	1391	331	797
FBP1_chr9_97401589__ALDOA_chr16_30078583	54	0	223	0	28	178	0	0
FBP1_chr9_97401589__ALDOB_chr9_104188886	0	195	343	246	1	602	0	79
FBP1_chr9_97401589__ALDOB_chr9_104188893	0	0	296	0	0	1136	0	1
FBP1_chr9_97401589__ALDOB_chr9_104193156	38	29	114	3	2	231	2	0
FBP1_chr9_97401589__ALDOC_chr17_26901140	445	1520	914	2771	777	433	778	748
FBP1_chr9_97401589__DLAT_chr11_111896198	292	15	334	8	89	558	48	2
FBP1_chr9_97401589__DLAT_chr11_111899333	13	0	189	0	1	207	1	0
FBP1_chr9_97401589__DLD_chr7_107533653	32	12	797	394	64	2	57	237
FBP1_chr9_97401589__DLD_chr7_107533699	459	98	360	110	299	1127	248	37
FBP1_chr9_97401589__ENO1_chr1_8928068	1	0	0	0	3	140	1	1
FBP1_chr9_97401589__ENO1_chr1_8934907	88	24	371	46	54	204	81	30
FBP1_chr9_97401589__ENO2_chr12_7025649	0	0	0	0	0	42	0	2
FBP1_chr9_97401589__ENO3_chr17_4856118	0	256	1401	518	2	352	0	221
FBP1_chr9_97401589__ENO3_chr17_4856126	0	0	225	0	0	30	0	0
FBP1_chr9_97401589__FBP2_chr9_97333794	1747	11	92	11	2179	62	2569	4
FBP1_chr9_97401589__G6PC_chr17_41059636	2	2831	117	11740	3	572	5	7411
FBP1_chr9_97401589__GAPDHS_chr19_36024416	680	1175	794	3656	184	564	215	1611
FBP1_chr9_97401589__GAPDHS_chr19_36027769	161	2245	822	1929	0	275	1	981
FBP1_chr9_97401589__GAPDH_chr12_6644017	53	128	561	105	9	595	12	22
FBP1_chr9_97401589__GCK_chr7_44189577	0	312	0	422	0	0	0	127
FBP1_chr9_97401589__GOT1_chr10_101163300	758	265	211	28	970	243	1675	0
FBP1_chr9_97401589__GOT1_chr10_101190319	0	172	764	26	1	3	0	27
FBP1_chr9_97401589__GOT2_chr16_58752127	112	18	244	504	33	231	49	141
FBP1_chr9_97401589__H6PD_chr1_9305432	1	669	289	1249	2	741	0	609
FBP1_chr9_97401589__HK1_chr10_71048482	6466	793	1519	1139	8448	1497	6300	404
FBP1_chr9_97401589__HK1_chr10_71048517	169	283	1535	2	1	969	19	0
FBP1_chr9_97401589__HK2_chr2_75061761	40	513	957	1785	85	502	24	661
FBP1_chr9_97401589__HK3_chr5_176318055	0	10	655	156	6	158	0	49
FBP1_chr9_97401589__HK3_chr5_176323146	152	1	317	1	2	1030	2	0
FBP1_chr9_97401589__LDHA_chr11_18418076	1	1	0	0	0	0	1	0
FBP1_chr9_97401589__LDHC_chr11_18436754	0	0	124	1	0	0	0	1
FBP1_chr9_97401589__MDH1_chr2_63816486	1283	0	0	1	1219	242	801	0
FBP1_chr9_97401589__MDH1_chr2_63821628	351	510	185	721	189	800	123	354
FBP1_chr9_97401589__MDH2_chr7_75686735	1238	100	357	22	1794	76	993	0
FBP1_chr9_97401589__MDH2_chr7_75687297	10	1837	1148	2289	1	68	2	782
FBP1_chr9_97401589__ME1_chr6_83947541	1763	3862	425	6124	1467	308	845	2447
FBP1_chr9_97401589__ME1_chr6_84140670	294	0	73	0	441	469	587	1
